Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Walid Cheddira,Napoli,2022-2023,24,Bari,it ITA,2. Serie B,3rd,31,30,2495,27.7,17,5,22,12,5,6,4,1,15.5,10.8,3.4,14.2,57,47,203,0.61,0.18,0.79,0.43,0.61,0.56,0.12,0.68,0.39,0.51,Matches
Walid Cheddira,Napoli,2023-2024,25,Frosinone,it ITA,1. Serie A,18th,36,24,2120,23.6,7,1,8,6,1,1,0,0,9.0,8.2,1.4,9.6,31,22,139,0.30,0.04,0.34,0.25,0.30,0.38,0.06,0.44,0.35,0.41,Matches
Walid Cheddira,Napoli,2024-2025,26,Espanyol,es ESP,1. La Liga,14th,22,5,640,7.1,1,1,2,1,0,0,3,0,1.0,1.0,1.2,2.2,8,12,34,0.14,0.14,0.28,0.14,0.28,0.14,0.17,0.31,0.14,0.31,Matches
Walid Cheddira,Napoli,2024-2025,26,Napoli,it ITA,1. Serie A,1st,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches
Walid Cheddira,Napoli,2025-2026,27,Napoli,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Walid Cheddira,Napoli,4 Seasons,4 Seasons,4 Clubs,,3 Leagues,,90,59,5267,58.5,25,7,32,19,6,7,7,1,25.5,19.9,6.1,26.0,96,82,377,0.43,0.12,0.55,0.32,0.44,0.44,0.10,0.54,0.34,0.44,
Walid Cheddira,Napoli,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Walid Cheddira,Napoli,Napoli (2 Seasons),Napoli (2 Seasons),Napoli (2 Seasons),,1 League,,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,
Walid Cheddira,Napoli,Frosinone (1 Season),Frosinone (1 Season),Frosinone (1 Season),,1 League,,36,24,2120,23.6,7,1,8,6,1,1,0,0,9.0,8.2,1.4,9.6,31,22,139,0.30,0.04,0.34,0.25,0.30,0.38,0.06,0.44,0.35,0.41,
Walid Cheddira,Napoli,Bari (1 Season),Bari (1 Season),Bari (1 Season),,1 League,,31,30,2495,27.7,17,5,22,12,5,6,4,1,15.5,10.8,3.4,14.2,57,47,203,0.61,0.18,0.79,0.43,0.61,0.56,0.12,0.68,0.39,0.51,
Walid Cheddira,Napoli,Espanyol (1 Season),Espanyol (1 Season),Espanyol (1 Season),,1 League,,22,5,640,7.1,1,1,2,1,0,0,3,0,1.0,1.0,1.2,2.2,8,12,34,0.14,0.14,0.28,0.14,0.28,0.14,0.17,0.31,0.14,0.31,
Walid Cheddira,Napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walid Cheddira,Napoli,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,37,24,2132,23.7,7,1,8,6,1,1,0,0,9.0,8.2,1.5,9.7,31,23,140,0.30,0.04,0.34,0.25,0.30,0.38,0.06,0.44,0.34,0.41,
Walid Cheddira,Napoli,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,31,30,2495,27.7,17,5,22,12,5,6,4,1,15.5,10.8,3.4,14.2,57,47,203,0.61,0.18,0.79,0.43,0.61,0.56,0.12,0.68,0.39,0.51,
Walid Cheddira,Napoli,La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,22,5,640,7.1,1,1,2,1,0,0,3,0,1.0,1.0,1.2,2.2,8,12,34,0.14,0.14,0.28,0.14,0.28,0.14,0.17,0.31,0.14,0.31,
