Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Adrian Bernabe,Parma,2018-2019,17,Manchester City,eng ENG,Jr. PL2 — Div. 1,8th,16,14,1125,12.5,3,3,6,3,0,0,2,0,,,,,,,,0.24,0.24,0.48,0.24,0.48,,,,,,Matches
Adrian Bernabe,Parma,2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,15,14,1244,13.8,4,6,10,4,0,0,3,0,,,,,,,,0.29,0.43,0.72,0.29,0.72,,,,,,Matches
Adrian Bernabe,Parma,2020-2021,19,Manchester City,eng ENG,1. Premier League,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Adrian Bernabe,Parma,2020-2021,19,Manchester City,eng ENG,Jr. PL2 — Div. 1,1st,14,13,1085,12.1,2,7,9,2,0,0,2,1,,,,,,,,0.17,0.58,0.75,0.17,0.75,,,,,,Matches
Adrian Bernabe,Parma,2021-2022,20,Parma,it ITA,2. Serie B,12th,16,15,1112,12.4,5,1,6,5,0,0,9,0,1.9,1.9,1.6,3.5,19,70,32,0.40,0.08,0.49,0.40,0.49,0.15,0.13,0.28,0.15,0.28,Matches
Adrian Bernabe,Parma,2022-2023,21,Parma,it ITA,2. Serie B,4th,29,25,2105,23.4,1,3,4,1,0,0,5,0,2.3,2.3,3.1,5.4,53,180,80,0.04,0.13,0.17,0.04,0.17,0.10,0.13,0.23,0.10,0.23,Matches
Adrian Bernabe,Parma,2023-2024,22,Parma,it ITA,2. Serie B,1st,35,28,2588,28.8,8,3,11,8,0,0,6,0,4.0,4.0,3.5,7.5,60,272,114,0.28,0.10,0.38,0.28,0.38,0.14,0.12,0.26,0.14,0.26,Matches
Adrian Bernabe,Parma,2024-2025,23,Parma,it ITA,1. Serie A,16th,21,18,1453,16.1,1,1,2,1,0,0,1,0,1.3,1.3,1.1,2.4,37,115,20,0.06,0.06,0.12,0.06,0.12,0.08,0.07,0.15,0.08,0.15,Matches
Adrian Bernabe,Parma,2025-2026,24,Parma,it ITA,1. Serie A,18th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,0,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
Adrian Bernabe,Parma,6 Seasons,6 Seasons,2 Clubs,,3 Leagues,,102,87,7348,81.6,15,8,23,15,0,0,21,0,9.5,9.5,9.3,18.8,171,642,246,0.18,0.10,0.28,0.18,0.28,0.12,0.11,0.23,0.12,0.23,
Adrian Bernabe,Parma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Adrian Bernabe,Parma,Parma (5 Seasons),Parma (5 Seasons),Parma (5 Seasons),,2 Leagues,,102,87,7348,81.6,15,8,23,15,0,0,21,0,9.5,9.5,9.3,18.8,171,642,246,0.18,0.10,0.28,0.18,0.28,0.12,0.11,0.23,0.12,0.23,
Adrian Bernabe,Parma,Manchester City (3 Seasons),Manchester City (3 Seasons),Manchester City (3 Seasons),,1 League,,45,41,3454,38.4,9,16,25,9,0,0,7,1,,,,,,,,0.23,0.42,0.65,0.23,0.65,,,,,,
Adrian Bernabe,Parma,Manchester City (1 Season),Manchester City (1 Season),Manchester City (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Bernabe,Parma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Bernabe,Parma,Serie B (3 Seasons),Serie B (3 Seasons),Serie B (3 Seasons),,,,80,68,5805,64.5,14,7,21,14,0,0,20,0,8.2,8.2,8.2,16.4,132,522,226,0.22,0.11,0.33,0.22,0.33,0.13,0.13,0.25,0.13,0.25,
Adrian Bernabe,Parma,PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),,,,45,41,3454,38.4,9,16,25,9,0,0,7,1,,,,,,,,0.23,0.42,0.65,0.23,0.65,,,,,,
Adrian Bernabe,Parma,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,22,19,1543,17.1,1,1,2,1,0,0,1,0,1.3,1.3,1.1,2.5,39,120,20,0.06,0.06,0.12,0.06,0.12,0.08,0.07,0.14,0.08,0.14,
Adrian Bernabe,Parma,Premier League (1 Season),Premier League (1 Season),Premier League (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
