Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Christian Ordoñez,Parma,2022,17,Vélez Sarsfield,ar ARG,1. Liga Argentina,26th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Christian Ordoñez,Parma,2023,18,Vélez Sarsfield,ar ARG,1. Liga Argentina,25th,18,14,1098,12.2,0,2,2,0,0,0,2,0,0.1,0.1,1.0,1.0,12,33,19,0.00,0.16,0.16,0.00,0.16,0.00,0.08,0.08,0.00,0.08,Matches
Christian Ordoñez,Parma,2024,19,Vélez Sarsfield,ar ARG,1. Liga Argentina,1st,26,25,2008,22.3,0,3,3,0,0,0,3,1,1.2,1.2,2.4,3.5,32,83,74,0.00,0.13,0.13,0.00,0.13,0.05,0.11,0.16,0.05,0.16,Matches
Christian Ordoñez,Parma,2025,20,Vélez Sarsfield,ar ARG,1. Liga Argentina,21st,14,13,1130,12.6,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.6,19,53,44,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Christian Ordoñez,Parma,2025-2026,21,Parma,it ITA,1. Serie A,18th,1,1,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Christian Ordoñez,Parma,4 Seasons,4 Seasons,2 Clubs,,2 Leagues,,59,53,4292,47.7,0,5,5,0,0,0,8,1,1.5,1.5,3.6,5.1,63,169,137,0.00,0.10,0.10,0.00,0.10,0.03,0.07,0.11,0.03,0.11,
Christian Ordoñez,Parma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Christian Ordoñez,Parma,Vélez Sarsfield (4 Seasons),Vélez Sarsfield (4 Seasons),Vélez Sarsfield (4 Seasons),,1 League,,58,52,4236,47.1,0,5,5,0,0,0,8,1,1.5,1.5,3.6,5.1,63,169,137,0.00,0.11,0.11,0.00,0.11,0.03,0.08,0.11,0.03,0.11,
Christian Ordoñez,Parma,Parma (1 Season),Parma (1 Season),Parma (1 Season),,1 League,,1,1,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Christian Ordoñez,Parma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Ordoñez,Parma,Liga Argentina (4 Seasons),Liga Argentina (4 Seasons),Liga Argentina (4 Seasons),,,,58,52,4236,47.1,0,5,5,0,0,0,8,1,1.5,1.5,3.6,5.1,63,169,137,0.00,0.11,0.11,0.00,0.11,0.03,0.08,0.11,0.03,0.11,
Christian Ordoñez,Parma,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
