Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dario Sits,Parma,2021-2022,17,Parma,it ITA,2. Serie B,12th,3,2,118,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,0,1,0.00,0.00,0.00,0.00,0.00,0.18,0.08,0.27,0.18,0.27,Matches
Dario Sits,Parma,2022-2023,18,Parma,it ITA,2. Serie B,4th,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
Dario Sits,Parma,2023-2024,19,Parma,it ITA,2. Serie B,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dario Sits,Parma,2024-2025,20,Helmond Sport,nl NED,2. Eerste Divisie,13th,20,14,1417,15.7,6,3,9,6,0,0,6,1,,,,,,,,0.38,0.19,0.57,0.38,0.57,,,,,,Matches
Dario Sits,Parma,2025-2026,21,Parma,it ITA,1. Serie A,18th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dario Sits,Parma,5 Seasons,5 Seasons,2 Clubs,,3 Leagues,,25,16,1575,17.5,6,3,9,6,0,0,6,1,0.3,0.3,0.1,0.4,1,0,2,0.34,0.17,0.51,0.34,0.51,0.16,0.06,0.22,0.16,0.22,
Dario Sits,Parma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dario Sits,Parma,Parma (4 Seasons),Parma (4 Seasons),Parma (4 Seasons),,2 Leagues,,5,2,158,1.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,0,2,0.00,0.00,0.00,0.00,0.00,0.16,0.06,0.22,0.16,0.22,
Dario Sits,Parma,Helmond Sport (1 Season),Helmond Sport (1 Season),Helmond Sport (1 Season),,1 League,,20,14,1417,15.7,6,3,9,6,0,0,6,1,,,,,,,,0.38,0.19,0.57,0.38,0.57,,,,,,
Dario Sits,Parma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Sits,Parma,Serie B (3 Seasons),Serie B (3 Seasons),Serie B (3 Seasons),,,,5,2,158,1.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,0,2,0.00,0.00,0.00,0.00,0.00,0.16,0.06,0.22,0.16,0.22,
Dario Sits,Parma,Eerste Divisie (1 Season),Eerste Divisie (1 Season),Eerste Divisie (1 Season),,,,20,14,1417,15.7,6,3,9,6,0,0,6,1,,,,,,,,0.38,0.19,0.57,0.38,0.57,,,,,,
Dario Sits,Parma,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
