Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Edoardo Corvi,Parma,2019-2020,18,Parma,it ITA,1. Serie A,11th,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Edoardo Corvi,Parma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Corvi,Parma,2022-2023,21,Parma,it ITA,2. Serie B,4th,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Edoardo Corvi,Parma,2023-2024,22,Parma,it ITA,2. Serie B,1st,2.0,2.0,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Edoardo Corvi,Parma,2024-2025,23,Parma,it ITA,1. Serie A,16th,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Edoardo Corvi,Parma,2025-2026,24,Parma,it ITA,1. Serie A,18th,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Edoardo Corvi,Parma,5 Seasons,5 Seasons,1 Club,,2 Leagues,,7.0,7.0,618.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Edoardo Corvi,Parma,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Corvi,Parma,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,7.0,7.0,618.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
