Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Milan Đurić,Parma,2007-2008,17,Cesena,it ITA,2. Serie B,22nd,24,10,1103,12.3,2,2,4,2,0,0,6,0,,,,,,,,0.16,0.16,0.33,0.16,0.33,,,,,,
Milan Đurić,Parma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milan Đurić,Parma,2009-2010,19,Cesena,it ITA,2. Serie B,2nd,28,16,1497,16.6,3,0,3,3,0,0,6,0,,,,,,,,0.18,0.00,0.18,0.18,0.18,,,,,,
Milan Đurić,Parma,2010-2011,20,Ascoli,it ITA,2. Serie B,17th,17,8,889,9.9,2,2,4,2,0,0,4,0,,,,,,,,0.20,0.20,0.40,0.20,0.40,,,,,,
Milan Đurić,Parma,2010-2011,20,Crotone,it ITA,2. Serie B,11th,16,11,1159,12.9,5,2,7,5,0,0,5,0,,,,,,,,0.39,0.16,0.54,0.39,0.54,,,,,,
Milan Đurić,Parma,2011-2012,21,Crotone,it ITA,2. Serie B,11th,29,17,1732,19.2,2,1,3,2,0,0,7,0,,,,,,,,0.10,0.05,0.16,0.10,0.16,,,,,,
Milan Đurić,Parma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milan Đurić,Parma,2013-2014,23,Cittadella,it ITA,2. Serie B,17th,15,11,1039,11.5,4,1,5,4,0,1,3,1,,,,,,,,0.35,0.09,0.43,0.35,0.43,,,,,,
Milan Đurić,Parma,2013-2014,23,Trapani,it ITA,2. Serie B,14th,13,6,625,6.9,3,0,3,3,0,0,0,1,,,,,,,,0.43,0.00,0.43,0.43,0.43,,,,,,
Milan Đurić,Parma,2014-2015,24,Cesena,it ITA,1. Serie A,19th,28,17,1589,17.7,2,2,4,2,0,0,2,0,,,,,,,,0.11,0.11,0.23,0.11,0.23,,,,,,Matches
Milan Đurić,Parma,2015-2016,25,Istra 1961,hr CRO,1. 1. HNL,9th,26,24,2093,23.3,0,2,2,0,0,0,7,0,,,,,,,,0.00,0.09,0.09,0.00,0.09,,,,,,Matches
Milan Đurić,Parma,2015-2016,25,Cesena,it ITA,2. Serie B,6th,26,22,1906,21.2,7,1,8,6,1,1,2,0,,,,,,,,0.33,0.05,0.38,0.28,0.33,,,,,,Matches
Milan Đurić,Parma,2016-2017,26,Cesena,it ITA,2. Serie B,13th,19,17,1586,17.6,6,2,8,6,0,0,5,0,,,,,,,,0.34,0.11,0.45,0.34,0.45,,,,,,Matches
Milan Đurić,Parma,2016-2017,26,Bristol City,eng ENG,2. Championship,17th,11,3,464,5.2,2,2,4,2,0,0,1,0,,,,,,,,0.39,0.39,0.78,0.39,0.78,,,,,,Matches
Milan Đurić,Parma,2017-2018,27,Bristol City,eng ENG,2. Championship,11th,16,4,552,6.1,3,0,3,3,0,0,1,0,,,,,,,,0.49,0.00,0.49,0.49,0.49,,,,,,Matches
Milan Đurić,Parma,2018-2019,28,Salernitana,it ITA,2. Serie B,16th,26,18,1580,17.6,6,1,7,6,0,0,4,0,5.2,5.2,2.9,8.1,7,39,124,0.34,0.06,0.40,0.34,0.40,0.29,0.16,0.46,0.29,0.46,Matches
Milan Đurić,Parma,2019-2020,29,Salernitana,it ITA,2. Serie B,10th,33,26,2317,25.7,12,1,13,11,1,1,2,0,8.8,8.0,2.3,10.3,10,40,119,0.47,0.04,0.50,0.43,0.47,0.34,0.09,0.43,0.31,0.40,Matches
Milan Đurić,Parma,2020-2021,30,Salernitana,it ITA,2. Serie B,2nd,35,25,2369,26.3,5,2,7,3,2,3,5,0,6.4,4.0,3.8,7.8,8,55,135,0.19,0.08,0.27,0.11,0.19,0.24,0.15,0.39,0.15,0.30,Matches
Milan Đurić,Parma,2021-2022,31,Salernitana,it ITA,1. Serie A,17th,33,23,2165,24.1,5,4,9,4,1,1,6,0,5.3,4.5,3.3,7.7,7,35,100,0.21,0.17,0.37,0.17,0.33,0.22,0.14,0.35,0.19,0.32,Matches
Milan Đurić,Parma,2022-2023,32,Hellas Verona,it ITA,1. Serie A,18th,28,14,1366,15.2,1,1,2,1,0,0,3,0,1.4,1.4,1.3,2.7,2,29,72,0.07,0.07,0.13,0.07,0.13,0.09,0.08,0.18,0.09,0.18,Matches
Milan Đurić,Parma,2023-2024,33,Hellas Verona,it ITA,1. Serie A,13th,20,13,1204,13.4,5,1,6,4,1,3,2,0,4.5,2.2,1.2,3.4,3,15,33,0.37,0.07,0.45,0.30,0.37,0.34,0.09,0.43,0.16,0.25,Matches
Milan Đurić,Parma,2023-2024,33,Monza,it ITA,1. Serie A,12th,17,13,1257,14.0,4,1,5,4,0,0,2,0,3.0,3.0,0.7,3.7,2,8,31,0.29,0.07,0.36,0.29,0.36,0.21,0.05,0.26,0.21,0.26,Matches
Milan Đurić,Parma,2024-2025,34,Monza,it ITA,1. Serie A,20th,18,13,1270,14.1,4,1,5,4,0,0,3,0,2.9,2.9,1.1,4.0,2,21,30,0.28,0.07,0.35,0.28,0.35,0.21,0.08,0.28,0.21,0.28,Matches
Milan Đurić,Parma,2024-2025,34,Parma,it ITA,1. Serie A,16th,9,3,268,3.0,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,0,7,6,0.34,0.00,0.34,0.34,0.34,0.08,0.00,0.08,0.08,0.08,Matches
Milan Đurić,Parma,2025-2026,35,Parma,it ITA,1. Serie A,18th,1,0,3,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,2.09,0.00,2.09,2.09,2.09,Matches
