Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Arturo Calabresi,Pisa,2014-2015,18,Roma,it ITA,1. Serie A,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arturo Calabresi,Pisa,2015-2016,19,Livorno,it ITA,2. Serie B,20th,10,8,683,7.6,1,0,1,1,0,0,2,0,,,,,,,,0.13,0.00,0.13,0.13,0.13,,,,,,Matches
Arturo Calabresi,Pisa,2015-2016,19,Brescia,it ITA,2. Serie B,11th,14,13,1211,13.5,1,2,3,1,0,0,2,1,,,,,,,,0.07,0.15,0.22,0.07,0.22,,,,,,Matches
Arturo Calabresi,Pisa,2016-2017,20,Brescia,it ITA,2. Serie B,15th,30,29,2559,28.4,0,0,0,0,0,0,6,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Arturo Calabresi,Pisa,2017-2018,21,Spezia,it ITA,2. Serie B,10th,2,1,76,0.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Arturo Calabresi,Pisa,2017-2018,21,Foggia,it ITA,2. Serie B,9th,9,9,810,9.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Arturo Calabresi,Pisa,2018-2019,22,Bologna,it ITA,1. Serie A,10th,18,16,1412,15.7,1,0,1,1,0,0,8,0,0.4,0.4,0.4,0.8,13,63,11,0.06,0.00,0.06,0.06,0.06,0.03,0.02,0.05,0.03,0.05,Matches
Arturo Calabresi,Pisa,2019-2020,23,Amiens,fr FRA,1. Ligue 1,19th,21,21,1878,20.9,1,1,2,1,0,0,5,0,0.8,0.8,1.1,1.9,20,68,23,0.05,0.05,0.10,0.05,0.10,0.04,0.05,0.09,0.04,0.09,Matches
Arturo Calabresi,Pisa,2020-2021,24,Bologna,it ITA,1. Serie A,12th,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Arturo Calabresi,Pisa,2020-2021,24,Cagliari,it ITA,1. Serie A,16th,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Arturo Calabresi,Pisa,2021-2022,25,Lecce,it ITA,2. Serie B,1st,31,17,1695,18.8,0,2,2,0,0,0,5,0,1.0,1.0,2.5,3.5,48,111,87,0.00,0.11,0.11,0.00,0.11,0.05,0.13,0.18,0.05,0.18,Matches
Arturo Calabresi,Pisa,2022-2023,26,Pisa,it ITA,2. Serie B,11th,26,24,2021,22.5,0,3,3,0,0,0,9,1,0.9,0.9,1.7,2.6,35,110,37,0.00,0.13,0.13,0.00,0.13,0.04,0.08,0.12,0.04,0.12,Matches
Arturo Calabresi,Pisa,2023-2024,27,Pisa,it ITA,2. Serie B,13th,26,17,1440,16.0,2,2,4,2,0,0,7,1,0.6,0.6,1.1,1.7,25,71,43,0.12,0.12,0.25,0.12,0.25,0.03,0.07,0.10,0.03,0.10,Matches
Arturo Calabresi,Pisa,2024-2025,28,Pisa,it ITA,2. Serie B,2nd,28,10,1090,12.1,0,1,1,0,0,0,4,0,0.1,0.1,0.2,0.3,10,54,19,0.00,0.08,0.08,0.00,0.08,0.01,0.02,0.02,0.01,0.02,Matches
Arturo Calabresi,Pisa,2025-2026,29,Pisa,it ITA,1. Serie A,12th,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Arturo Calabresi,Pisa,12 Seasons,12 Seasons,10 Clubs,,3 Leagues,,219,165,14922,165.8,6,11,17,6,0,0,51,4,3.7,3.7,7.0,10.6,153,479,221,0.04,0.07,0.10,0.04,0.10,0.03,0.07,0.10,0.03,0.10,
Arturo Calabresi,Pisa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Arturo Calabresi,Pisa,Pisa (4 Seasons),Pisa (4 Seasons),Pisa (4 Seasons),,2 Leagues,,81,51,4564,50.7,2,6,8,2,0,0,20,2,1.5,1.5,3.1,4.5,70,235,99,0.04,0.12,0.16,0.04,0.16,0.03,0.06,0.09,0.03,0.09,
Arturo Calabresi,Pisa,Brescia (2 Seasons),Brescia (2 Seasons),Brescia (2 Seasons),,1 League,,44,42,3770,41.9,1,2,3,1,0,0,8,2,,,,,,,,0.02,0.05,0.07,0.02,0.07,,,,,,
Arturo Calabresi,Pisa,Bologna (2 Seasons),Bologna (2 Seasons),Bologna (2 Seasons),,1 League,,19,16,1432,15.9,1,0,1,1,0,0,8,0,0.4,0.4,0.4,0.8,13,63,11,0.06,0.00,0.06,0.06,0.06,0.03,0.02,0.05,0.03,0.05,
Arturo Calabresi,Pisa,Lecce (1 Season),Lecce (1 Season),Lecce (1 Season),,1 League,,31,17,1695,18.8,0,2,2,0,0,0,5,0,1.0,1.0,2.5,3.5,48,111,87,0.00,0.11,0.11,0.00,0.11,0.05,0.13,0.18,0.05,0.18,
Arturo Calabresi,Pisa,Amiens (1 Season),Amiens (1 Season),Amiens (1 Season),,1 League,,21,21,1878,20.9,1,1,2,1,0,0,5,0,0.8,0.8,1.1,1.9,20,68,23,0.05,0.05,0.10,0.05,0.10,0.04,0.05,0.09,0.04,0.09,
Arturo Calabresi,Pisa,Livorno (1 Season),Livorno (1 Season),Livorno (1 Season),,1 League,,10,8,683,7.6,1,0,1,1,0,0,2,0,,,,,,,,0.13,0.00,0.13,0.13,0.13,,,,,,
Arturo Calabresi,Pisa,Foggia (1 Season),Foggia (1 Season),Foggia (1 Season),,1 League,,9,9,810,9.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Arturo Calabresi,Pisa,Spezia (1 Season),Spezia (1 Season),Spezia (1 Season),,1 League,,2,1,76,0.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Arturo Calabresi,Pisa,Cagliari (1 Season),Cagliari (1 Season),Cagliari (1 Season),,1 League,,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Arturo Calabresi,Pisa,Roma (1 Season),Roma (1 Season),Roma (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arturo Calabresi,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arturo Calabresi,Pisa,Serie B (7 Seasons),Serie B (7 Seasons),Serie B (7 Seasons),,,,176,128,11585,128.7,4,10,14,4,0,0,38,4,2.5,2.5,5.5,8.0,118,346,186,0.03,0.08,0.11,0.03,0.11,0.04,0.08,0.12,0.04,0.12,
Arturo Calabresi,Pisa,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,22,16,1459,16.2,1,0,1,1,0,0,8,0,0.4,0.4,0.4,0.8,15,65,12,0.06,0.00,0.06,0.06,0.06,0.03,0.02,0.05,0.03,0.05,
Arturo Calabresi,Pisa,Ligue 1 (1 Season),Ligue 1 (1 Season),Ligue 1 (1 Season),,,,21,21,1878,20.9,1,1,2,1,0,0,5,0,0.8,0.8,1.1,1.9,20,68,23,0.05,0.05,0.10,0.05,0.10,0.04,0.05,0.09,0.04,0.09,
