Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ebenezer Akinsanmiro,Pisa,2022-2023,17,Inter,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ebenezer Akinsanmiro,Pisa,2023-2024,18,Inter,it ITA,1. Serie A,1st,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,Matches
Ebenezer Akinsanmiro,Pisa,2024-2025,19,Sampdoria,it ITA,2. Serie B,17th,35,14,1530,17.0,1,1,2,1,0,0,4,1,1.6,1.6,2.7,4.3,44,97,81,0.06,0.06,0.12,0.06,0.12,0.09,0.16,0.25,0.09,0.25,Matches
Ebenezer Akinsanmiro,Pisa,2025-2026,20,Pisa,it ITA,1. Serie A,12th,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Ebenezer Akinsanmiro,Pisa,4 Seasons,4 Seasons,3 Clubs,,2 Leagues,,37,14,1574,17.5,1,1,2,1,0,0,4,1,1.6,1.6,2.7,4.4,44,100,82,0.06,0.06,0.11,0.06,0.11,0.09,0.16,0.25,0.09,0.25,
Ebenezer Akinsanmiro,Pisa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ebenezer Akinsanmiro,Pisa,Inter (2 Seasons),Inter (2 Seasons),Inter (2 Seasons),,1 League,,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,
Ebenezer Akinsanmiro,Pisa,Sampdoria (1 Season),Sampdoria (1 Season),Sampdoria (1 Season),,1 League,,35,14,1530,17.0,1,1,2,1,0,0,4,1,1.6,1.6,2.7,4.3,44,97,81,0.06,0.06,0.12,0.06,0.12,0.09,0.16,0.25,0.09,0.25,
Ebenezer Akinsanmiro,Pisa,Pisa (1 Season),Pisa (1 Season),Pisa (1 Season),,1 League,,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,
Ebenezer Akinsanmiro,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebenezer Akinsanmiro,Pisa,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,3,1,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.12,0.05,0.12,
Ebenezer Akinsanmiro,Pisa,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,35,14,1530,17.0,1,1,2,1,0,0,4,1,1.6,1.6,2.7,4.3,44,97,81,0.06,0.06,0.12,0.06,0.12,0.09,0.16,0.25,0.09,0.25,
