Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marius Marin,Pisa,2016-2017,17,Sassuolo,it ITA,1. Serie A,12th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marius Marin,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marius Marin,Pisa,2019-2020,20,Pisa,it ITA,2. Serie B,9th,29,24,2117,23.5,1,3,4,1,0,0,8,1,1.1,1.1,1.6,2.7,39,85,64,0.04,0.13,0.17,0.04,0.17,0.05,0.07,0.11,0.05,0.11,Matches
Marius Marin,Pisa,2020-2021,21,Pisa,it ITA,2. Serie B,14th,33,24,2140,23.8,2,3,5,2,0,0,9,1,2.0,2.0,1.2,3.2,56,101,72,0.08,0.13,0.21,0.08,0.21,0.08,0.05,0.13,0.08,0.13,Matches
Marius Marin,Pisa,2021-2022,22,Pisa,it ITA,2. Serie B,3rd,35,32,2805,31.2,0,0,0,0,0,0,12,0,1.0,1.0,1.6,2.6,52,147,70,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
Marius Marin,Pisa,2022-2023,23,Pisa,it ITA,2. Serie B,11th,33,29,2481,27.6,1,0,1,1,0,0,15,1,1.0,1.0,0.7,1.6,40,120,43,0.04,0.00,0.04,0.04,0.04,0.03,0.02,0.06,0.03,0.06,Matches
Marius Marin,Pisa,2023-2024,24,Pisa,it ITA,2. Serie B,13th,33,33,2787,31.0,2,2,4,2,0,0,13,1,1.0,1.0,1.4,2.5,45,178,33,0.06,0.06,0.13,0.06,0.13,0.03,0.05,0.08,0.03,0.08,Matches
Marius Marin,Pisa,2024-2025,25,Pisa,it ITA,2. Serie B,2nd,34,31,2641,29.3,1,2,3,1,0,1,9,1,2.1,1.3,2.4,3.7,44,175,40,0.03,0.07,0.10,0.03,0.10,0.07,0.08,0.15,0.04,0.13,Matches
Marius Marin,Pisa,2025-2026,26,Pisa,it ITA,1. Serie A,12th,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marius Marin,Pisa,8 Seasons,8 Seasons,2 Clubs,,2 Leagues,,198,174,15048,167.2,7,10,17,7,0,1,66,5,8.2,7.4,8.8,16.2,276,809,324,0.04,0.06,0.10,0.04,0.10,0.05,0.05,0.10,0.04,0.10,
Marius Marin,Pisa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marius Marin,Pisa,Pisa (7 Seasons),Pisa (7 Seasons),Pisa (7 Seasons),,2 Leagues,,198,174,15048,167.2,7,10,17,7,0,1,66,5,8.2,7.4,8.8,16.2,276,809,324,0.04,0.06,0.10,0.04,0.10,0.05,0.05,0.10,0.04,0.10,
Marius Marin,Pisa,Sassuolo (1 Season),Sassuolo (1 Season),Sassuolo (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marius Marin,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marius Marin,Pisa,Serie B (6 Seasons),Serie B (6 Seasons),Serie B (6 Seasons),,,,197,173,14971,166.3,7,10,17,7,0,1,66,5,8.2,7.4,8.8,16.2,276,806,322,0.04,0.06,0.10,0.04,0.10,0.05,0.05,0.10,0.04,0.10,
Marius Marin,Pisa,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
