Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Simone Scuffet,Pisa,2013-2014,17,Udinese,it ITA,1. Serie A,13th,16,16,1440,16.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Simone Scuffet,Pisa,2014-2015,18,Udinese,it ITA,1. Serie A,16th,2,1,153,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Simone Scuffet,Pisa,2015-2016,19,Como,it ITA,2. Serie B,22nd,35,35,3150,35.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Simone Scuffet,Pisa,2016-2017,20,Udinese,it ITA,1. Serie A,13th,6,5,462,5.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Simone Scuffet,Pisa,2017-2018,21,Udinese,it ITA,1. Serie A,14th,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Simone Scuffet,Pisa,2018-2019,22,Udinese,it ITA,1. Serie A,12th,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Simone Scuffet,Pisa,2018-2019,22,Kasımpaşa,tr TUR,1. Süper Lig,14th,10,9,872,9.7,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Simone Scuffet,Pisa,2019-2020,23,Spezia,it ITA,2. Serie B,3rd,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Simone Scuffet,Pisa,2020-2021,24,Udinese,it ITA,1. Serie A,14th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Simone Scuffet,Pisa,2021-2022,25,Udinese,it ITA,1. Serie A,12th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Simone Scuffet,Pisa,2022-2023,26,CFR Cluj,ro ROU,1. Liga I,3rd,34,34,3060,34.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Simone Scuffet,Pisa,2023-2024,27,Cagliari,it ITA,1. Serie A,16th,31,31,2789,31.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Simone Scuffet,Pisa,2024-2025,28,Cagliari,it ITA,1. Serie A,15th,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Simone Scuffet,Pisa,2024-2025,28,Napoli,it ITA,1. Serie A,1st,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Simone Scuffet,Pisa,2025-2026,29,Pisa,it ITA,1. Serie A,12th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Simone Scuffet,Pisa,13 Seasons,13 Seasons,8 Clubs,,4 Leagues,,196,193,17506,194.5,0,0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Simone Scuffet,Pisa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Simone Scuffet,Pisa,Udinese (7 Seasons),Udinese (7 Seasons),Udinese (7 Seasons),,1 League,,40,38,3495,38.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Simone Scuffet,Pisa,Cagliari (2 Seasons),Cagliari (2 Seasons),Cagliari (2 Seasons),,1 League,,44,44,3959,44.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Simone Scuffet,Pisa,Como (1 Season),Como (1 Season),Como (1 Season),,1 League,,35,35,3150,35.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Simone Scuffet,Pisa,CFR Cluj (1 Season),CFR Cluj (1 Season),CFR Cluj (1 Season),,1 League,,34,34,3060,34.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
