Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Angeliño,Roma,2014-2015,17,Manchester City,eng ENG,1. Premier League,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Angeliño,Roma,2015,18,NYCFC,us USA,1. MLS,17th,14,10,994,11.0,0,3,3,0,0,0,0,0,,,,,,,,0.00,0.27,0.27,0.00,0.27,,,,,,Matches
Angeliño,Roma,2015-2016,18,Manchester City,eng ENG,1. Premier League,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Angeliño,Roma,2016-2017,19,Mallorca,es ESP,2. La Liga 2,20th,16,14,1237,13.7,0,3,3,0,0,0,6,0,,,,,,,,0.00,0.22,0.22,0.00,0.22,,,,,,Matches
Angeliño,Roma,2016-2017,19,Manchester City,eng ENG,Jr. PL2 — Div. 1,2nd,6,6,540,6.0,0,1,1,0,0,0,3,0,,,,,,,,0.00,0.17,0.17,0.00,0.17,,,,,,Matches
Angeliño,Roma,2017-2018,20,NAC Breda,nl NED,1. Eredivisie,14th,34,34,3060,34.0,3,6,9,3,0,0,3,0,,,,,,,,0.09,0.18,0.26,0.09,0.26,,,,,,Matches
Angeliño,Roma,2018-2019,21,PSV Eindhoven,nl NED,1. Eredivisie,2nd,34,34,3048,33.9,1,9,10,1,0,0,3,0,2.0,2.0,10.8,12.8,143,194,274,0.03,0.27,0.30,0.03,0.30,0.06,0.32,0.38,0.06,0.38,Matches
Angeliño,Roma,2019-2020,22,Manchester City,eng ENG,1. Premier League,2nd,6,4,423,4.7,0,0,0,0,0,0,1,0,0.2,0.2,1.5,1.7,21,41,70,0.00,0.00,0.00,0.00,0.00,0.05,0.32,0.36,0.05,0.36,Matches
Angeliño,Roma,2019-2020,22,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Angeliño,Roma,2019-2020,22,RB Leipzig,de GER,1. Bundesliga,3rd,13,12,1095,12.2,1,2,3,1,0,0,2,0,0.9,0.9,2.0,2.9,24,56,92,0.08,0.16,0.25,0.08,0.25,0.07,0.16,0.24,0.07,0.24,Matches
Angeliño,Roma,2020-2021,23,RB Leipzig,de GER,1. Bundesliga,2nd,26,24,2161,24.0,4,4,8,4,0,0,2,0,4.2,4.2,5.5,9.7,47,93,242,0.17,0.17,0.33,0.17,0.33,0.17,0.23,0.40,0.17,0.40,Matches
Angeliño,Roma,2021-2022,24,RB Leipzig,de GER,1. Bundesliga,4th,29,26,2298,25.5,2,5,7,2,0,0,3,0,1.2,1.2,5.2,6.4,35,73,177,0.08,0.20,0.27,0.08,0.27,0.05,0.20,0.25,0.05,0.25,Matches
Angeliño,Roma,2022-2023,25,Hoffenheim,de GER,1. Bundesliga,12th,33,30,2617,29.1,0,8,8,0,0,0,2,0,1.1,1.1,7.2,8.3,24,108,120,0.00,0.28,0.28,0.00,0.28,0.04,0.25,0.28,0.04,0.28,Matches
Angeliño,Roma,2023-2024,26,Galatasaray,tr TUR,1. Süper Lig,1st,8,7,603,6.7,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.15,0.15,0.00,0.15,,,,,,Matches
Angeliño,Roma,2023-2024,26,Roma,it ITA,1. Serie A,6th,16,14,1141,12.7,0,1,1,0,0,0,2,0,0.2,0.2,1.6,1.7,12,40,55,0.00,0.08,0.08,0.00,0.08,0.01,0.12,0.14,0.01,0.14,Matches
Angeliño,Roma,2024-2025,27,Roma,it ITA,1. Serie A,5th,38,36,3177,35.3,2,1,3,2,0,0,1,0,1.4,1.4,3.7,5.1,66,172,172,0.06,0.03,0.08,0.06,0.08,0.04,0.10,0.15,0.04,0.15,Matches
Angeliño,Roma,2025-2026,28,Roma,it ITA,1. Serie A,6th,1,1,82,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
Angeliño,Roma,12 Seasons,12 Seasons,9 Clubs,,7 Leagues,,268,246,21936,243.7,13,43,56,13,0,0,26,0,11.2,11.2,37.5,48.7,372,779,1208,0.05,0.18,0.23,0.05,0.23,0.06,0.21,0.27,0.06,0.27,
Angeliño,Roma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Angeliño,Roma,RB Leipzig (3 Seasons),RB Leipzig (3 Seasons),RB Leipzig (3 Seasons),,1 League,,68,62,5554,61.7,7,11,18,7,0,0,7,0,6.3,6.3,12.7,19.0,106,222,511,0.11,0.18,0.29,0.11,0.29,0.10,0.21,0.31,0.10,0.31,
Angeliño,Roma,Roma (3 Seasons),Roma (3 Seasons),Roma (3 Seasons),,1 League,,55,51,4400,48.9,2,2,4,2,0,0,3,0,1.6,1.6,5.3,6.9,78,214,233,0.04,0.04,0.08,0.04,0.08,0.03,0.11,0.14,0.03,0.14,
Angeliño,Roma,Manchester City (3 Seasons),Manchester City (3 Seasons),Manchester City (3 Seasons),,1 League,,6,4,423,4.7,0,0,0,0,0,0,1,0,0.2,0.2,1.5,1.7,21,41,70,0.00,0.00,0.00,0.00,0.00,0.05,0.32,0.36,0.05,0.36,
Angeliño,Roma,Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,7,7,630,7.0,0,1,1,0,0,0,3,0,,,,,,,,0.00,0.14,0.14,0.00,0.14,,,,,,
Angeliño,Roma,NAC Breda (1 Season),NAC Breda (1 Season),NAC Breda (1 Season),,1 League,,34,34,3060,34.0,3,6,9,3,0,0,3,0,,,,,,,,0.09,0.18,0.26,0.09,0.26,,,,,,
Angeliño,Roma,PSV Eindhoven (1 Season),PSV Eindhoven (1 Season),PSV Eindhoven (1 Season),,1 League,,34,34,3048,33.9,1,9,10,1,0,0,3,0,2.0,2.0,10.8,12.8,143,194,274,0.03,0.27,0.30,0.03,0.30,0.06,0.32,0.38,0.06,0.38,
Angeliño,Roma,Hoffenheim (1 Season),Hoffenheim (1 Season),Hoffenheim (1 Season),,1 League,,33,30,2617,29.1,0,8,8,0,0,0,2,0,1.1,1.1,7.2,8.3,24,108,120,0.00,0.28,0.28,0.00,0.28,0.04,0.25,0.28,0.04,0.28,
Angeliño,Roma,Mallorca (1 Season),Mallorca (1 Season),Mallorca (1 Season),,1 League,,16,14,1237,13.7,0,3,3,0,0,0,6,0,,,,,,,,0.00,0.22,0.22,0.00,0.22,,,,,,
Angeliño,Roma,NYCFC (1 Season),NYCFC (1 Season),NYCFC (1 Season),,1 League,,14,10,994,11.0,0,3,3,0,0,0,0,0,,,,,,,,0.00,0.27,0.27,0.00,0.27,,,,,,
Angeliño,Roma,Galatasaray (1 Season),Galatasaray (1 Season),Galatasaray (1 Season),,1 League,,8,7,603,6.7,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.15,0.15,0.00,0.15,,,,,,
Angeliño,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angeliño,Roma,Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,101,92,8171,90.8,7,19,26,7,0,0,9,0,7.4,7.4,19.9,27.3,130,330,631,0.08,0.21,0.29,0.08,0.29,0.08,0.22,0.30,0.08,0.30,
Angeliño,Roma,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,55,51,4400,48.9,2,2,4,2,0,0,3,0,1.6,1.6,5.3,6.9,78,214,233,0.04,0.04,0.08,0.04,0.08,0.03,0.11,0.14,0.03,0.14,
Angeliño,Roma,Premier League (3 Seasons),Premier League (3 Seasons),Premier League (3 Seasons),,,,6,4,423,4.7,0,0,0,0,0,0,1,0,0.2,0.2,1.5,1.7,21,41,70,0.00,0.00,0.00,0.00,0.00,0.05,0.32,0.36,0.05,0.36,
Angeliño,Roma,Eredivisie (2 Seasons),Eredivisie (2 Seasons),Eredivisie (2 Seasons),,,,68,68,6108,67.9,4,15,19,4,0,0,6,0,2.0,2.0,10.8,12.8,143,194,274,0.06,0.22,0.28,0.06,0.28,0.06,0.32,0.38,0.06,0.38,
