Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Artem Dovbyk,Roma,2016-2017,19,FC Dnipro,ua UKR,1. Premier League,11th,21,16,1351,15.0,5,0,5,5,0,0,2,0,,,,,,,,0.33,0.00,0.33,0.33,0.33,,,,,,Matches
Artem Dovbyk,Roma,2017-2018,20,Midtjylland,dk DEN,1. Danish Superliga,1st,10,2,256,2.8,1,1,2,1,0,0,0,0,,,,,,,,0.35,0.35,0.70,0.35,0.70,,,,,,Matches
Artem Dovbyk,Roma,2018-2019,21,Midtjylland,dk DEN,1. Danish Superliga,2nd,5,2,200,2.2,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Artem Dovbyk,Roma,2019-2020,22,Midtjylland,dk DEN,1. Danish Superliga,1st,3,0,51,0.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Artem Dovbyk,Roma,2019-2020,22,SønderjyskE,dk DEN,1. Danish Superliga,8th,18,1,397,4.4,2,0,2,2,0,0,3,0,,,,,,,,0.45,0.00,0.45,0.45,0.45,,,,,,Matches
Artem Dovbyk,Roma,2020-2021,23,SK Dnipro-1,ua UKR,1. Premier League,7th,24,22,1811,20.1,6,1,7,4,2,3,3,1,,,,,,,,0.30,0.05,0.35,0.20,0.25,,,,,,Matches
Artem Dovbyk,Roma,2021-2022,24,SK Dnipro-1,ua UKR,1. Premier League,3rd,17,17,1506,16.7,14,4,18,11,3,4,2,0,,,,,,,,0.84,0.24,1.08,0.66,0.90,,,,,,Matches
Artem Dovbyk,Roma,2022-2023,25,SK Dnipro-1,ua UKR,1. Premier League,2nd,30,29,2625,29.2,24,5,29,16,8,9,1,0,,,,,,,,0.82,0.17,0.99,0.55,0.72,,,,,,Matches
Artem Dovbyk,Roma,2023-2024,26,Girona,es ESP,1. La Liga,3rd,36,32,2587,28.7,24,8,32,17,7,8,2,0,24.2,17.9,6.2,24.1,18,26,118,0.83,0.28,1.11,0.59,0.87,0.84,0.21,1.05,0.62,0.84,Matches
