Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniele Ghilardi,Roma,2023-2024,20,Sampdoria,it ITA,2. Serie B,7th,37,35,3188,35.4,2,0,2,2,0,0,8,0,1.7,1.7,0.7,2.4,18,82,6,0.06,0.00,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,Matches
Daniele Ghilardi,Roma,2024-2025,21,Hellas Verona,it ITA,1. Serie A,14th,24,21,2029,22.5,0,0,0,0,0,0,7,1,0.6,0.6,0.2,0.8,16,57,7,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Daniele Ghilardi,Roma,2025-2026,22,Roma,it ITA,1. Serie A,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniele Ghilardi,Roma,3 Seasons,3 Seasons,3 Clubs,,2 Leagues,,61,56,5217,58.0,2,0,2,2,0,0,15,1,2.3,2.3,1.0,3.2,34,139,13,0.03,0.00,0.03,0.03,0.03,0.04,0.02,0.06,0.04,0.06,
Daniele Ghilardi,Roma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniele Ghilardi,Roma,Sampdoria (1 Season),Sampdoria (1 Season),Sampdoria (1 Season),,1 League,,37,35,3188,35.4,2,0,2,2,0,0,8,0,1.7,1.7,0.7,2.4,18,82,6,0.06,0.00,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,
Daniele Ghilardi,Roma,Hellas Verona (1 Season),Hellas Verona (1 Season),Hellas Verona (1 Season),,1 League,,24,21,2029,22.5,0,0,0,0,0,0,7,1,0.6,0.6,0.2,0.8,16,57,7,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,
Daniele Ghilardi,Roma,Roma (1 Season),Roma (1 Season),Roma (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniele Ghilardi,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniele Ghilardi,Roma,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,24,21,2029,22.5,0,0,0,0,0,0,7,1,0.6,0.6,0.2,0.8,16,57,7,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,
Daniele Ghilardi,Roma,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,37,35,3188,35.4,2,0,2,2,0,0,8,0,1.7,1.7,0.7,2.4,18,82,6,0.06,0.00,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,
