Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Devyne Rensch,Roma,2020-2021,17,Ajax,nl NED,1. Eredivisie,1st,18,12,893,9.9,3,2,5,3,0,0,0,0,1.7,1.7,2.2,3.9,29,52,51,0.30,0.20,0.50,0.30,0.50,0.17,0.22,0.40,0.17,0.40,Matches
Devyne Rensch,Roma,2020-2021,17,Jong Ajax,nl NED,2. Eerste Divisie,16th,11,11,896,10.0,3,2,5,3,0,0,0,0,,,,,,,,0.30,0.20,0.50,0.30,0.50,,,,,,Matches
Devyne Rensch,Roma,2021-2022,18,Jong Ajax,nl NED,2. Eerste Divisie,7th,5,5,312,3.5,0,0,0,0,0,0,3,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Devyne Rensch,Roma,2021-2022,18,Ajax,nl NED,1. Eredivisie,1st,19,8,801,8.9,1,1,2,1,0,0,1,0,0.2,0.2,1.7,1.9,22,63,51,0.11,0.11,0.22,0.11,0.22,0.02,0.20,0.22,0.02,0.22,Matches
Devyne Rensch,Roma,2022-2023,19,Ajax,nl NED,1. Eredivisie,3rd,26,26,2029,22.5,3,1,4,3,0,0,2,1,1.9,1.9,1.0,2.9,32,142,142,0.13,0.04,0.18,0.13,0.18,0.08,0.05,0.13,0.08,0.13,Matches
Devyne Rensch,Roma,2023-2024,20,Ajax,nl NED,1. Eredivisie,5th,28,26,2212,24.6,2,4,6,2,0,0,2,1,1.2,1.2,2.5,3.7,39,120,66,0.08,0.16,0.24,0.08,0.24,0.05,0.10,0.15,0.05,0.15,Matches
Devyne Rensch,Roma,2024-2025,21,Ajax,nl NED,1. Eredivisie,2nd,14,13,1113,12.4,1,0,1,1,0,0,2,0,1.2,1.2,1.7,2.9,16,72,47,0.08,0.00,0.08,0.08,0.08,0.10,0.13,0.23,0.10,0.23,Matches
Devyne Rensch,Roma,2024-2025,21,Roma,it ITA,1. Serie A,5th,14,5,469,5.2,0,1,1,0,0,0,0,0,0.3,0.3,0.8,1.0,2,14,25,0.00,0.19,0.19,0.00,0.19,0.05,0.15,0.20,0.05,0.20,Matches
Devyne Rensch,Roma,2025-2026,22,Roma,it ITA,1. Serie A,6th,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Devyne Rensch,Roma,6 Seasons,6 Seasons,3 Clubs,,3 Leagues,,136,106,8733,97.0,13,11,24,13,0,0,10,3,6.5,6.5,9.9,16.4,141,463,382,0.13,0.11,0.25,0.13,0.25,0.08,0.12,0.20,0.08,0.20,
Devyne Rensch,Roma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Devyne Rensch,Roma,Ajax (5 Seasons),Ajax (5 Seasons),Ajax (5 Seasons),,1 League,,105,85,7048,78.3,10,8,18,10,0,0,7,2,6.2,6.2,9.1,15.3,138,449,357,0.13,0.10,0.23,0.13,0.23,0.08,0.12,0.20,0.08,0.20,
Devyne Rensch,Roma,Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),,1 League,,16,16,1208,13.4,3,2,5,3,0,0,3,1,,,,,,,,0.22,0.15,0.37,0.22,0.37,,,,,,
Devyne Rensch,Roma,Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,15,5,477,5.3,0,1,1,0,0,0,0,0,0.3,0.3,0.8,1.0,3,14,25,0.00,0.19,0.19,0.00,0.19,0.05,0.14,0.19,0.05,0.19,
Devyne Rensch,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devyne Rensch,Roma,Eredivisie (5 Seasons),Eredivisie (5 Seasons),Eredivisie (5 Seasons),,,,105,85,7048,78.3,10,8,18,10,0,0,7,2,6.2,6.2,9.1,15.3,138,449,357,0.13,0.10,0.23,0.13,0.23,0.08,0.12,0.20,0.08,0.20,
Devyne Rensch,Roma,Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),,,,16,16,1208,13.4,3,2,5,3,0,0,3,1,,,,,,,,0.22,0.15,0.37,0.22,0.37,,,,,,
Devyne Rensch,Roma,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,15,5,477,5.3,0,1,1,0,0,0,0,0,0.3,0.3,0.8,1.0,3,14,25,0.00,0.19,0.19,0.00,0.19,0.05,0.14,0.19,0.05,0.19,
