Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Evan Ferguson,Roma,2020-2021,15,Brighton,eng ENG,Jr. PL2 — Div. 1,9th,11,7,659,7.3,3,1,4,3,0,0,0,0,,,,,,,,0.41,0.14,0.55,0.41,0.55,,,,,,Matches
Evan Ferguson,Roma,2021-2022,16,Brighton,eng ENG,Jr. PL2 — Div. 1,10th,17,12,1152,12.8,8,0,8,6,2,2,0,0,,,,,,,,0.62,0.00,0.62,0.47,0.47,,,,,,Matches
Evan Ferguson,Roma,2021-2022,16,Brighton,eng ENG,1. Premier League,9th,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Evan Ferguson,Roma,2022-2023,17,Brighton,eng ENG,Jr. PL2 — Div. 1,6th,6,6,510,5.7,5,1,6,5,0,0,1,0,,,,,,,,0.88,0.18,1.06,0.88,1.06,,,,,,Matches
Evan Ferguson,Roma,2022-2023,17,Brighton,eng ENG,1. Premier League,6th,19,10,950,10.6,6,2,8,6,0,0,1,0,5.3,5.3,0.7,6.1,11,14,58,0.57,0.19,0.76,0.57,0.76,0.51,0.07,0.57,0.51,0.57,Matches
Evan Ferguson,Roma,2023-2024,18,Brighton,eng ENG,1. Premier League,11th,27,15,1367,15.2,6,0,6,6,0,0,1,0,4.6,4.6,0.5,5.1,13,15,62,0.40,0.00,0.40,0.40,0.40,0.30,0.04,0.34,0.30,0.34,Matches
Evan Ferguson,Roma,2024-2025,19,Brighton,eng ENG,1. Premier League,8th,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.4,1.0,2,1,9,0.37,0.00,0.37,0.37,0.37,0.20,0.15,0.35,0.20,0.35,Matches
Evan Ferguson,Roma,2024-2025,19,West Ham,eng ENG,1. Premier League,14th,8,1,156,1.7,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,1,1,7,0.00,0.00,0.00,0.00,0.00,0.32,0.17,0.50,0.32,0.50,Matches
Evan Ferguson,Roma,2025-2026,20,Roma,it ITA,1. Serie A,6th,1,1,73,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,4,0,4,0.00,0.00,0.00,0.00,0.00,0.26,0.90,1.16,0.26,1.16,Matches
Evan Ferguson,Roma,5 Seasons,5 Seasons,3 Clubs,,2 Leagues,,69,29,2815,31.3,13,2,15,13,0,0,2,0,11.3,11.3,2.7,14.0,31,31,141,0.42,0.06,0.48,0.42,0.48,0.36,0.09,0.45,0.36,0.45,
Evan Ferguson,Roma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Evan Ferguson,Roma,Brighton (4 Seasons),Brighton (4 Seasons),Brighton (4 Seasons),,1 League,,60,27,2586,28.7,13,2,15,13,0,0,2,0,10.5,10.5,1.7,12.2,26,30,130,0.45,0.07,0.52,0.45,0.52,0.37,0.06,0.42,0.37,0.42,
Evan Ferguson,Roma,Brighton (2 Seasons),Brighton (2 Seasons),Brighton (2 Seasons),,1 League,,28,19,1811,20.1,11,1,12,9,2,2,0,0,,,,,,,,0.55,0.05,0.60,0.45,0.50,,,,,,
Evan Ferguson,Roma,West Ham (1 Season),West Ham (1 Season),West Ham (1 Season),,1 League,,8,1,156,1.7,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,1,1,7,0.00,0.00,0.00,0.00,0.00,0.32,0.17,0.50,0.32,0.50,
Evan Ferguson,Roma,Brighton (1 Season),Brighton (1 Season),Brighton (1 Season),,1 League,,6,6,510,5.7,5,1,6,5,0,0,1,0,,,,,,,,0.88,0.18,1.06,0.88,1.06,,,,,,
Evan Ferguson,Roma,Roma (1 Season),Roma (1 Season),Roma (1 Season),,1 League,,1,1,73,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,4,0,4,0.00,0.00,0.00,0.00,0.00,0.26,0.90,1.16,0.26,1.16,
Evan Ferguson,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Ferguson,Roma,Premier League (4 Seasons),Premier League (4 Seasons),Premier League (4 Seasons),,,,68,28,2742,30.5,13,2,15,13,0,0,2,0,11.0,11.0,2.0,13.0,27,31,137,0.43,0.07,0.49,0.43,0.49,0.36,0.07,0.43,0.36,0.43,
Evan Ferguson,Roma,PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),,,,34,25,2321,25.8,16,2,18,14,2,2,1,0,,,,,,,,0.62,0.08,0.70,0.54,0.62,,,,,,
Evan Ferguson,Roma,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,73,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,4,0,4,0.00,0.00,0.00,0.00,0.00,0.26,0.90,1.16,0.26,1.16,
