Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mario Hermoso,Roma,2015-2016,20,Valladolid,es ESP,2. La Liga 2,16th,31,30,2673,29.7,0,2,2,0,0,0,8,0,,,,,,,,0.00,0.07,0.07,0.00,0.07,,,,,,Matches
Mario Hermoso,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Hermoso,Roma,2017-2018,22,Espanyol,es ESP,1. La Liga,11th,22,22,1928,21.4,1,0,1,1,0,0,6,1,1.0,1.0,0.2,1.2,7,49,2,0.05,0.00,0.05,0.05,0.05,0.05,0.01,0.06,0.05,0.06,Matches
Mario Hermoso,Roma,2018-2019,23,Espanyol,es ESP,1. La Liga,7th,32,31,2806,31.2,3,0,3,3,0,0,7,0,2.6,2.6,0.4,3.0,21,84,11,0.10,0.00,0.10,0.10,0.10,0.08,0.01,0.10,0.08,0.10,Matches
Mario Hermoso,Roma,2019-2020,24,Atlético Madrid,es ESP,1. La Liga,3rd,17,15,1217,13.5,0,0,0,0,0,0,3,1,0.3,0.3,0.1,0.4,6,42,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Mario Hermoso,Roma,2020-2021,25,Atlético Madrid,es ESP,1. La Liga,1st,31,30,2578,28.6,1,1,2,1,0,0,6,0,1.1,1.1,0.6,1.6,30,172,23,0.03,0.03,0.07,0.03,0.07,0.04,0.02,0.06,0.04,0.06,Matches
Mario Hermoso,Roma,2021-2022,26,Atlético Madrid,es ESP,1. La Liga,3rd,26,21,1865,20.7,2,1,3,2,0,0,6,1,2.2,2.2,0.8,2.9,38,123,21,0.10,0.05,0.14,0.10,0.14,0.10,0.04,0.14,0.10,0.14,Matches
Mario Hermoso,Roma,2022-2023,27,Atlético Madrid,es ESP,1. La Liga,3rd,26,24,2110,23.4,3,2,5,3,0,0,7,2,2.1,2.1,1.4,3.5,23,115,17,0.13,0.09,0.21,0.13,0.21,0.09,0.06,0.15,0.09,0.15,Matches
Mario Hermoso,Roma,2023-2024,28,Atlético Madrid,es ESP,1. La Liga,4th,31,29,2557,28.4,0,1,1,0,0,0,9,0,1.4,1.4,0.8,2.2,39,177,61,0.00,0.04,0.04,0.00,0.04,0.05,0.03,0.08,0.05,0.08,Matches
Mario Hermoso,Roma,2024-2025,29,Leverkusen,de GER,1. Bundesliga,2nd,4,3,293,3.3,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,2,20,3,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.17,0.11,0.17,Matches
Mario Hermoso,Roma,2024-2025,29,Roma,it ITA,1. Serie A,5th,8,2,251,2.8,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,3,14,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Mario Hermoso,Roma,2025-2026,30,Roma,it ITA,1. Serie A,6th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mario Hermoso,Roma,10 Seasons,10 Seasons,5 Clubs,,4 Leagues,,229,208,18368,204.1,10,7,17,10,0,0,54,6,11.0,11.0,4.6,15.5,170,799,145,0.05,0.03,0.08,0.05,0.08,0.06,0.03,0.09,0.06,0.09,
Mario Hermoso,Roma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mario Hermoso,Roma,Atlético Madrid (5 Seasons),Atlético Madrid (5 Seasons),Atlético Madrid (5 Seasons),,1 League,,131,119,10327,114.7,6,5,11,6,0,0,31,4,7.0,7.0,3.7,10.7,136,629,124,0.05,0.04,0.10,0.05,0.10,0.06,0.03,0.09,0.06,0.09,
Mario Hermoso,Roma,Espanyol (2 Seasons),Espanyol (2 Seasons),Espanyol (2 Seasons),,1 League,,54,53,4734,52.6,4,0,4,4,0,0,13,1,3.6,3.6,0.6,4.2,28,133,13,0.08,0.00,0.08,0.08,0.08,0.07,0.01,0.08,0.07,0.08,
Mario Hermoso,Roma,Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,9,3,341,3.8,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,4,17,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,
Mario Hermoso,Roma,Valladolid (1 Season),Valladolid (1 Season),Valladolid (1 Season),,1 League,,31,30,2673,29.7,0,2,2,0,0,0,8,0,,,,,,,,0.00,0.07,0.07,0.00,0.07,,,,,,
