Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matìas Soulé,Roma,2021-2022,18,Juventus,it ITA,1. Serie A,4th,2,0,5,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,1,0.00,0.00,0.00,0.00,0.00,1.47,0.00,1.47,1.47,1.47,Matches
Matìas Soulé,Roma,2022-2023,19,Juventus,it ITA,1. Serie A,7th,13,4,420,4.7,1,0,1,1,0,0,0,0,1.5,1.5,0.8,2.3,12,15,33,0.21,0.00,0.21,0.21,0.21,0.33,0.18,0.50,0.33,0.50,Matches
Matìas Soulé,Roma,2023-2024,20,Juventus,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matìas Soulé,Roma,2023-2024,20,Frosinone,it ITA,1. Serie A,18th,36,36,3121,34.7,11,3,14,6,5,6,4,0,10.5,5.7,6.6,12.3,115,198,211,0.32,0.09,0.40,0.17,0.26,0.30,0.19,0.49,0.17,0.36,Matches
Matìas Soulé,Roma,2024-2025,21,Roma,it ITA,1. Serie A,5th,27,22,1781,19.8,5,5,10,5,0,0,3,0,3.0,3.0,5.2,8.3,84,89,191,0.25,0.25,0.51,0.25,0.51,0.15,0.26,0.42,0.15,0.42,Matches
Matìas Soulé,Roma,2025-2026,22,Roma,it ITA,1. Serie A,6th,1,1,73,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,2,4,0.00,0.00,0.00,0.00,0.00,0.09,0.35,0.44,0.09,0.44,Matches
Matìas Soulé,Roma,5 Seasons,5 Seasons,3 Clubs,,1 League,,79,63,5400,60.0,17,8,25,12,5,6,7,0,15.2,10.4,12.9,23.4,214,306,440,0.28,0.13,0.42,0.20,0.33,0.25,0.22,0.47,0.17,0.39,
Matìas Soulé,Roma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matìas Soulé,Roma,Juventus (3 Seasons),Juventus (3 Seasons),Juventus (3 Seasons),,1 League,,15,4,425,4.7,1,0,1,1,0,0,0,0,1.6,1.6,0.8,2.4,13,17,34,0.21,0.00,0.21,0.21,0.21,0.34,0.17,0.52,0.34,0.52,
Matìas Soulé,Roma,Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,28,23,1854,20.6,5,5,10,5,0,0,3,0,3.1,3.1,5.5,8.6,86,91,195,0.24,0.24,0.49,0.24,0.49,0.15,0.27,0.42,0.15,0.42,
Matìas Soulé,Roma,Frosinone (1 Season),Frosinone (1 Season),Frosinone (1 Season),,1 League,,36,36,3121,34.7,11,3,14,6,5,6,4,0,10.5,5.7,6.6,12.3,115,198,211,0.32,0.09,0.40,0.17,0.26,0.30,0.19,0.49,0.17,0.36,
