Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Obite N'Dicka,Roma,2016-2017,16,Auxerre,fr FRA,2. Ligue 2,17th,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Obite N'Dicka,Roma,2017-2018,17,Auxerre,fr FRA,2. Ligue 2,11th,12,10,890,9.9,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Obite N'Dicka,Roma,2018-2019,18,Eint Frankfurt,de GER,1. Bundesliga,7th,27,24,2304,25.6,1,1,2,1,0,0,3,0,1.1,1.1,0.1,1.3,30,105,9,0.04,0.04,0.08,0.04,0.08,0.04,0.01,0.05,0.04,0.05,Matches
Obite N'Dicka,Roma,2019-2020,19,Eint Frankfurt,de GER,1. Bundesliga,9th,22,20,1721,19.1,1,1,2,1,0,0,3,0,0.7,0.7,1.1,1.8,31,75,43,0.05,0.05,0.10,0.05,0.10,0.04,0.06,0.09,0.04,0.09,Matches
Obite N'Dicka,Roma,2020-2021,20,Eint Frankfurt,de GER,1. Bundesliga,5th,23,23,2044,22.7,3,1,4,3,0,0,10,0,1.4,1.4,0.4,1.8,43,95,29,0.13,0.04,0.18,0.13,0.18,0.06,0.02,0.08,0.06,0.08,Matches
Obite N'Dicka,Roma,2021-2022,21,Eint Frankfurt,de GER,1. Bundesliga,11th,32,32,2857,31.7,4,4,8,4,0,0,3,0,2.6,2.6,1.5,4.1,37,114,11,0.13,0.13,0.25,0.13,0.25,0.08,0.05,0.13,0.08,0.13,Matches
Obite N'Dicka,Roma,2022-2023,22,Eint Frankfurt,de GER,1. Bundesliga,7th,30,30,2692,29.9,1,0,1,1,0,0,4,0,1.4,1.4,0.2,1.6,16,94,5,0.03,0.00,0.03,0.03,0.03,0.05,0.01,0.05,0.05,0.05,Matches
Obite N'Dicka,Roma,2023-2024,23,Roma,it ITA,1. Serie A,6th,25,25,2168,24.1,0,3,3,0,0,0,6,0,1.0,1.0,1.0,2.0,26,87,11,0.00,0.12,0.12,0.00,0.12,0.04,0.04,0.09,0.04,0.09,Matches
Obite N'Dicka,Roma,2024-2025,24,Roma,it ITA,1. Serie A,5th,38,38,3420,38.0,0,1,1,0,0,0,2,0,1.0,1.0,0.7,1.8,29,107,5,0.00,0.03,0.03,0.00,0.03,0.03,0.02,0.05,0.03,0.05,Matches
Obite N'Dicka,Roma,2025-2026,25,Roma,it ITA,1. Serie A,6th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Obite N'Dicka,Roma,10 Seasons,10 Seasons,3 Clubs,,3 Leagues,,212,205,18366,204.1,10,11,21,10,0,0,32,0,9.2,9.2,5.0,14.3,212,678,113,0.05,0.05,0.10,0.05,0.10,0.05,0.03,0.07,0.05,0.07,
Obite N'Dicka,Roma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Obite N'Dicka,Roma,Eint Frankfurt (5 Seasons),Eint Frankfurt (5 Seasons),Eint Frankfurt (5 Seasons),,1 League,,134,129,11618,129.1,10,7,17,10,0,0,23,0,7.2,7.2,3.3,10.5,157,483,97,0.08,0.05,0.13,0.08,0.13,0.06,0.03,0.08,0.06,0.08,
Obite N'Dicka,Roma,Roma (3 Seasons),Roma (3 Seasons),Roma (3 Seasons),,1 League,,64,64,5678,63.1,0,4,4,0,0,0,8,0,2.1,2.1,1.8,3.8,55,195,16,0.00,0.06,0.06,0.00,0.06,0.03,0.03,0.06,0.03,0.06,
Obite N'Dicka,Roma,Auxerre (2 Seasons),Auxerre (2 Seasons),Auxerre (2 Seasons),,1 League,,14,12,1070,11.9,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Obite N'Dicka,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obite N'Dicka,Roma,Bundesliga (5 Seasons),Bundesliga (5 Seasons),Bundesliga (5 Seasons),,,,134,129,11618,129.1,10,7,17,10,0,0,23,0,7.2,7.2,3.3,10.5,157,483,97,0.08,0.05,0.13,0.08,0.13,0.06,0.03,0.08,0.06,0.08,
Obite N'Dicka,Roma,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,64,64,5678,63.1,0,4,4,0,0,0,8,0,2.1,2.1,1.8,3.8,55,195,16,0.00,0.06,0.06,0.00,0.06,0.03,0.03,0.06,0.03,0.06,
Obite N'Dicka,Roma,Ligue 2 (2 Seasons),Ligue 2 (2 Seasons),Ligue 2 (2 Seasons),,,,14,12,1070,11.9,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
