Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tommaso Baldanzi,Roma,2020-2021,17,Empoli,it ITA,2. Serie B,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tommaso Baldanzi,Roma,2021-2022,18,Empoli,it ITA,1. Serie A,14th,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches
Tommaso Baldanzi,Roma,2022-2023,19,Empoli,it ITA,1. Serie A,14th,26,24,1772,19.7,4,0,4,4,0,0,2,0,2.4,2.4,1.8,4.2,57,69,94,0.20,0.00,0.20,0.20,0.20,0.12,0.09,0.21,0.12,0.21,Matches
Tommaso Baldanzi,Roma,2023-2024,20,Empoli,it ITA,1. Serie A,17th,14,8,745,8.3,2,0,2,2,0,0,1,0,2.1,2.1,1.0,3.1,20,30,40,0.24,0.00,0.24,0.24,0.24,0.25,0.13,0.38,0.25,0.38,Matches
Tommaso Baldanzi,Roma,2023-2024,20,Roma,it ITA,1. Serie A,6th,13,6,518,5.8,0,0,0,0,0,0,2,0,0.9,0.9,0.7,1.5,18,14,54,0.00,0.00,0.00,0.00,0.00,0.15,0.12,0.27,0.15,0.27,Matches
Tommaso Baldanzi,Roma,2024-2025,21,Roma,it ITA,1. Serie A,5th,31,5,832,9.2,1,1,2,1,0,0,2,0,1.4,1.4,1.0,2.4,39,23,57,0.11,0.11,0.22,0.11,0.22,0.16,0.10,0.26,0.16,0.26,Matches
Tommaso Baldanzi,Roma,2025-2026,22,Roma,it ITA,1. Serie A,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tommaso Baldanzi,Roma,6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,85,43,3885,43.2,7,1,8,7,0,0,7,0,6.7,6.7,4.5,11.2,134,136,247,0.16,0.02,0.19,0.16,0.19,0.16,0.10,0.26,0.16,0.26,
Tommaso Baldanzi,Roma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tommaso Baldanzi,Roma,Empoli (4 Seasons),Empoli (4 Seasons),Empoli (4 Seasons),,2 Leagues,,41,32,2535,28.2,6,0,6,6,0,0,3,0,4.4,4.4,2.9,7.3,77,99,136,0.21,0.00,0.21,0.21,0.21,0.16,0.10,0.26,0.16,0.26,
Tommaso Baldanzi,Roma,Roma (3 Seasons),Roma (3 Seasons),Roma (3 Seasons),,1 League,,44,11,1350,15.0,1,1,2,1,0,0,4,0,2.3,2.3,1.6,3.9,57,37,111,0.07,0.07,0.13,0.07,0.13,0.15,0.11,0.26,0.15,0.26,
Tommaso Baldanzi,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommaso Baldanzi,Roma,Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,85,43,3885,43.2,7,1,8,7,0,0,7,0,6.7,6.7,4.5,11.2,134,136,247,0.16,0.02,0.19,0.16,0.19,0.16,0.10,0.26,0.16,0.26,
Tommaso Baldanzi,Roma,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
