Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Wesley,Roma,2021,17,Flamengo,br BRA,1. Série A,2nd,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,10,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Wesley,Roma,2022,18,Flamengo,br BRA,1. Série A,5th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Wesley,Roma,2023,19,Flamengo,br BRA,1. Série A,4th,35,27,2514,27.9,1,1,2,1,0,0,3,0,1.1,1.1,3.1,4.2,50,109,289,0.04,0.04,0.07,0.04,0.07,0.04,0.11,0.15,0.04,0.15,Matches
Wesley,Roma,2024,20,Flamengo,br BRA,1. Série A,3rd,31,25,2344,26.0,0,2,2,0,0,0,1,0,1.3,1.3,2.4,3.6,68,96,233,0.00,0.08,0.08,0.00,0.08,0.05,0.09,0.14,0.05,0.14,Matches
Wesley,Roma,2025,21,Flamengo,br BRA,1. Série A,1st,11,11,982,10.9,1,2,3,1,0,0,4,0,0.3,0.3,1.0,1.4,35,46,124,0.09,0.18,0.27,0.09,0.27,0.03,0.10,0.13,0.03,0.13,Matches
Wesley,Roma,2025-2026,21,Roma,it ITA,1. Serie A,6th,1,1,90,1.0,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,2,3,6,1.00,0.00,1.00,1.00,1.00,0.25,0.04,0.30,0.25,0.30,Matches
Wesley,Roma,5 Seasons,5 Seasons,2 Clubs,,2 Leagues,,79,65,6020,66.9,3,5,8,3,0,0,8,0,3.0,3.0,6.5,9.5,156,257,662,0.04,0.07,0.12,0.04,0.12,0.04,0.10,0.14,0.04,0.14,
Wesley,Roma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Wesley,Roma,Flamengo (5 Seasons),Flamengo (5 Seasons),Flamengo (5 Seasons),,1 League,,78,64,5930,65.9,2,5,7,2,0,0,8,0,2.7,2.7,6.5,9.2,154,254,656,0.03,0.08,0.11,0.03,0.11,0.04,0.10,0.14,0.04,0.14,
Wesley,Roma,Roma (1 Season),Roma (1 Season),Roma (1 Season),,1 League,,1,1,90,1.0,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,2,3,6,1.00,0.00,1.00,1.00,1.00,0.25,0.04,0.30,0.25,0.30,
Wesley,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley,Roma,Série A (5 Seasons),Série A (5 Seasons),Série A (5 Seasons),,,,78,64,5930,65.9,2,5,7,2,0,0,8,0,2.7,2.7,6.5,9.2,154,254,656,0.03,0.08,0.11,0.03,0.11,0.04,0.10,0.14,0.04,0.14,
Wesley,Roma,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,90,1.0,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,2,3,6,1.00,0.00,1.00,1.00,1.00,0.25,0.04,0.30,0.25,0.30,
