Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Agustín Álvarez,Sassuolo,2020,18,Peñarol,uy URU,1. Uruguayan Primera División,3rd,23,16,1412,15.7,3,,,3,0,0,2,0,,,,,,,,0.19,,,0.19,,,,,,,Matches
Agustín Álvarez,Sassuolo,2021,19,Peñarol,uy URU,1. Uruguayan Primera División,1st,25,22,2006,22.3,13,0,13,13,0,0,5,0,,,,,,,,0.58,0.00,0.58,0.58,0.58,,,,,,Matches
Agustín Álvarez,Sassuolo,2022,20,Peñarol,uy URU,1. Uruguayan Primera División,6th,14,12,974,10.8,1,,,1,0,0,1,0,,,,,,,,0.09,,,0.09,,,,,,,Matches
Agustín Álvarez,Sassuolo,2022-2023,21,Sassuolo,it ITA,1. Serie A,13th,22,1,368,4.1,1,1,2,1,0,0,1,0,1.5,1.5,0.4,1.9,2,6,19,0.24,0.24,0.49,0.24,0.49,0.36,0.10,0.46,0.36,0.46,Matches
Agustín Álvarez,Sassuolo,2023-2024,22,Sassuolo,it ITA,1. Serie A,19th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Agustín Álvarez,Sassuolo,2023-2024,22,Sampdoria,it ITA,2. Serie B,7th,14,9,772,8.6,1,0,1,1,0,0,0,0,1.7,1.7,0.6,2.4,7,18,54,0.12,0.00,0.12,0.12,0.12,0.20,0.07,0.28,0.20,0.28,Matches
Agustín Álvarez,Sassuolo,2024-2025,23,Elche,es ESP,2. La Liga 2,2nd,37,27,2333,25.9,8,2,10,8,0,1,7,0,,,,,,,,0.31,0.08,0.39,0.31,0.39,,,,,,Matches
Agustín Álvarez,Sassuolo,2025-2026,24,Sassuolo,it ITA,1. Serie A,19th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Agustín Álvarez,Sassuolo,6 Seasons,6 Seasons,4 Clubs,,4 Leagues,,135,87,7865,87.4,27,3,26,27,0,1,16,0,3.2,3.2,1.0,4.2,9,24,73,0.31,0.05,0.43,0.31,0.43,0.26,0.08,0.34,0.26,0.34,
Agustín Álvarez,Sassuolo,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Agustín Álvarez,Sassuolo,Peñarol (3 Seasons),Peñarol (3 Seasons),Peñarol (3 Seasons),,1 League,,62,50,4392,48.8,17,0,13,17,0,0,8,0,,,,,,,,0.35,0.00,0.58,0.35,0.58,,,,,,
Agustín Álvarez,Sassuolo,Sassuolo (3 Seasons),Sassuolo (3 Seasons),Sassuolo (3 Seasons),,1 League,,22,1,368,4.1,1,1,2,1,0,0,1,0,1.5,1.5,0.4,1.9,2,6,19,0.24,0.24,0.49,0.24,0.49,0.36,0.10,0.46,0.36,0.46,
Agustín Álvarez,Sassuolo,Elche (1 Season),Elche (1 Season),Elche (1 Season),,1 League,,37,27,2333,25.9,8,2,10,8,0,1,7,0,,,,,,,,0.31,0.08,0.39,0.31,0.39,,,,,,
Agustín Álvarez,Sassuolo,Sampdoria (1 Season),Sampdoria (1 Season),Sampdoria (1 Season),,1 League,,14,9,772,8.6,1,0,1,1,0,0,0,0,1.7,1.7,0.6,2.4,7,18,54,0.12,0.00,0.12,0.12,0.12,0.20,0.07,0.28,0.20,0.28,
Agustín Álvarez,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agustín Álvarez,Sassuolo,Uruguayan Primera División (3 Seasons),Uruguayan Primera División (3 Seasons),Uruguayan Primera División (3 Seasons),,,,62,50,4392,48.8,17,0,13,17,0,0,8,0,,,,,,,,0.35,0.00,0.58,0.35,0.58,,,,,,
Agustín Álvarez,Sassuolo,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,22,1,368,4.1,1,1,2,1,0,0,1,0,1.5,1.5,0.4,1.9,2,6,19,0.24,0.24,0.49,0.24,0.49,0.36,0.10,0.46,0.36,0.46,
Agustín Álvarez,Sassuolo,La Liga 2 (1 Season),La Liga 2 (1 Season),La Liga 2 (1 Season),,,,37,27,2333,25.9,8,2,10,8,0,1,7,0,,,,,,,,0.31,0.08,0.39,0.31,0.39,,,,,,
Agustín Álvarez,Sassuolo,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,14,9,772,8.6,1,0,1,1,0,0,0,0,1.7,1.7,0.6,2.4,7,18,54,0.12,0.00,0.12,0.12,0.12,0.20,0.07,0.28,0.20,0.28,
