Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Fali Candé,Sassuolo,2018-2019,20,Portimonense,pt POR,1. Primeira Liga,12th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Fali Candé,Sassuolo,2019-2020,21,Portimonense,pt POR,1. Primeira Liga,17th,9,8,622,6.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,9,25,21,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Fali Candé,Sassuolo,2020-2021,22,Portimonense,pt POR,1. Primeira Liga,14th,22,15,1358,15.1,2,0,2,2,0,0,5,0,1.3,1.3,0.9,2.1,18,45,53,0.13,0.00,0.13,0.13,0.13,0.08,0.06,0.14,0.08,0.14,Matches
Fali Candé,Sassuolo,2021-2022,23,Portimonense,pt POR,1. Primeira Liga,13th,16,14,1310,14.6,1,2,3,1,0,0,5,0,0.4,0.4,2.0,2.4,23,46,51,0.07,0.14,0.21,0.07,0.21,0.03,0.14,0.16,0.03,0.16,Matches
Fali Candé,Sassuolo,2021-2022,23,Metz,fr FRA,1. Ligue 1,19th,11,11,973,10.8,0,2,2,0,0,0,2,0,0.3,0.3,1.5,1.7,13,20,41,0.00,0.18,0.18,0.00,0.18,0.03,0.14,0.16,0.03,0.16,Matches
Fali Candé,Sassuolo,2022-2023,24,Metz,fr FRA,2. Ligue 2,2nd,38,37,3353,37.3,1,0,1,1,0,0,4,0,,,,,,,,0.03,0.00,0.03,0.03,0.03,,,,,,Matches
Fali Candé,Sassuolo,2023-2024,25,Metz,fr FRA,1. Ligue 1,16th,25,20,1849,20.5,0,1,1,0,0,0,4,0,0.8,0.8,0.5,1.3,4,38,3,0.00,0.05,0.05,0.00,0.05,0.04,0.02,0.06,0.04,0.06,Matches
Fali Candé,Sassuolo,2024-2025,26,Metz,fr FRA,2. Ligue 2,3rd,8,6,505,5.6,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.18,0.18,0.00,0.18,,,,,,Matches
Fali Candé,Sassuolo,2024-2025,26,Venezia,it ITA,1. Serie A,19th,17,17,1530,17.0,1,1,2,1,0,0,4,0,1.1,1.1,0.6,1.7,5,47,3,0.06,0.06,0.12,0.06,0.12,0.07,0.03,0.10,0.07,0.10,Matches
