Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Filippo Missori,Sassuolo,2021-2022,17,Roma,it ITA,1. Serie A,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Filippo Missori,Sassuolo,2022-2023,18,Roma,it ITA,1. Serie A,6th,3,2,181,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Filippo Missori,Sassuolo,2023-2024,19,Sassuolo,it ITA,1. Serie A,19th,8,2,266,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,5,8,7,0.00,0.00,0.00,0.00,0.00,0.10,0.02,0.11,0.10,0.11,Matches
Filippo Missori,Sassuolo,2024-2025,20,Sassuolo,it ITA,2. Serie B,1st,4,1,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Filippo Missori,Sassuolo,2025-2026,21,Sassuolo,it ITA,1. Serie A,19th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Filippo Missori,Sassuolo,5 Seasons,5 Seasons,2 Clubs,,2 Leagues,,15,5,604,6.7,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,7,13,19,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,
Filippo Missori,Sassuolo,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Filippo Missori,Sassuolo,Sassuolo (3 Seasons),Sassuolo (3 Seasons),Sassuolo (3 Seasons),,2 Leagues,,12,3,423,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,6,13,16,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,
Filippo Missori,Sassuolo,Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,3,2,181,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Filippo Missori,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filippo Missori,Sassuolo,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,11,4,447,5.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,6,8,10,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,
Filippo Missori,Sassuolo,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,4,1,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
