Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Josh Doig,Sassuolo,2020-2021,18,Hibernian,sct SCO,1. Premiership,3rd,28,25,2000,22.2,1,3,4,1,0,0,2,0,,,,,,,,0.05,0.14,0.18,0.05,0.18,,,,,,Matches
Josh Doig,Sassuolo,2021-2022,19,Hibernian,sct SCO,1. Premiership,8th,34,31,2729,30.3,0,2,2,0,0,0,1,0,,,,,,,,0.00,0.07,0.07,0.00,0.07,,,,,,Matches
Josh Doig,Sassuolo,2022-2023,20,Hellas Verona,it ITA,1. Serie A,18th,22,15,1354,15.0,2,3,5,2,0,0,1,0,1.8,1.8,1.2,3.0,41,27,61,0.13,0.20,0.33,0.13,0.33,0.12,0.08,0.20,0.12,0.20,Matches
Josh Doig,Sassuolo,2023-2024,21,Hellas Verona,it ITA,1. Serie A,13th,12,11,830,9.2,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,23,15,22,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
Josh Doig,Sassuolo,2023-2024,21,Sassuolo,it ITA,1. Serie A,19th,16,15,1343,14.9,0,2,2,0,0,0,5,0,0.2,0.2,1.1,1.3,30,33,45,0.00,0.13,0.13,0.00,0.13,0.01,0.08,0.09,0.01,0.09,Matches
Josh Doig,Sassuolo,2024-2025,22,Sassuolo,it ITA,2. Serie B,1st,29,25,2189,24.3,1,1,2,1,0,0,4,0,1.4,1.4,1.7,3.1,73,90,93,0.04,0.04,0.08,0.04,0.08,0.06,0.07,0.13,0.06,0.13,Matches
Josh Doig,Sassuolo,2025-2026,23,Sassuolo,it ITA,1. Serie A,19th,1,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Josh Doig,Sassuolo,6 Seasons,6 Seasons,3 Clubs,,3 Leagues,,142,123,10525,116.9,4,11,15,4,0,0,15,0,3.7,3.7,4.4,8.1,168,168,222,0.03,0.09,0.13,0.03,0.13,0.06,0.07,0.13,0.06,0.13,
Josh Doig,Sassuolo,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Josh Doig,Sassuolo,Sassuolo (3 Seasons),Sassuolo (3 Seasons),Sassuolo (3 Seasons),,2 Leagues,,46,41,3612,40.1,1,3,4,1,0,0,9,0,1.7,1.7,2.8,4.5,104,126,139,0.02,0.07,0.10,0.02,0.10,0.04,0.07,0.11,0.04,0.11,
Josh Doig,Sassuolo,Hibernian (2 Seasons),Hibernian (2 Seasons),Hibernian (2 Seasons),,1 League,,62,56,4729,52.5,1,5,6,1,0,0,3,0,,,,,,,,0.02,0.10,0.11,0.02,0.11,,,,,,
Josh Doig,Sassuolo,Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),,1 League,,34,26,2184,24.3,2,3,5,2,0,0,3,0,2.0,2.0,1.6,3.6,64,42,83,0.08,0.12,0.21,0.08,0.21,0.08,0.06,0.15,0.08,0.15,
Josh Doig,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Doig,Sassuolo,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,51,42,3607,40.1,2,5,7,2,0,0,8,0,2.3,2.3,2.7,4.9,95,78,129,0.05,0.12,0.17,0.05,0.17,0.06,0.07,0.12,0.06,0.12,
Josh Doig,Sassuolo,Premiership (2 Seasons),Premiership (2 Seasons),Premiership (2 Seasons),,,,62,56,4729,52.5,1,5,6,1,0,0,3,0,,,,,,,,0.02,0.10,0.11,0.02,0.11,,,,,,
Josh Doig,Sassuolo,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,29,25,2189,24.3,1,1,2,1,0,0,4,0,1.4,1.4,1.7,3.1,73,90,93,0.04,0.04,0.08,0.04,0.08,0.06,0.07,0.13,0.06,0.13,
