Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Luca Moro,Sassuolo,2018-2019,17,Padova,it ITA,2. Serie B,18th,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luca Moro,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Moro,Sassuolo,2020-2021,19,SPAL,it ITA,2. Serie B,9th,8,1,136,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,0,10,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches
Luca Moro,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Moro,Sassuolo,2022-2023,21,Frosinone,it ITA,2. Serie B,1st,34,23,1807,20.1,6,0,6,6,0,0,2,0,5.5,5.5,1.6,7.1,19,29,123,0.30,0.00,0.30,0.30,0.30,0.27,0.08,0.35,0.27,0.35,Matches
Luca Moro,Sassuolo,2023-2024,22,Spezia,it ITA,2. Serie B,15th,26,10,1008,11.2,4,0,4,3,1,2,3,0,4.1,2.6,0.7,3.3,7,3,68,0.36,0.00,0.36,0.27,0.27,0.37,0.07,0.43,0.23,0.30,Matches
Luca Moro,Sassuolo,2024-2025,23,Sassuolo,it ITA,2. Serie B,1st,25,11,1060,11.8,7,1,8,5,2,2,2,0,4.8,3.2,0.6,3.8,3,18,56,0.59,0.08,0.68,0.42,0.51,0.40,0.05,0.46,0.27,0.32,Matches
Luca Moro,Sassuolo,2025-2026,24,Sassuolo,it ITA,1. Serie A,19th,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luca Moro,Sassuolo,6 Seasons,6 Seasons,5 Clubs,,2 Leagues,,96,46,4078,45.3,17,1,18,14,3,4,7,0,14.8,11.7,3.0,14.6,30,50,263,0.38,0.02,0.40,0.31,0.33,0.33,0.07,0.39,0.26,0.32,
Luca Moro,Sassuolo,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Luca Moro,Sassuolo,Sassuolo (2 Seasons),Sassuolo (2 Seasons),Sassuolo (2 Seasons),,2 Leagues,,26,11,1061,11.8,7,1,8,5,2,2,2,0,4.8,3.2,0.6,3.8,3,18,57,0.59,0.08,0.68,0.42,0.51,0.40,0.05,0.45,0.27,0.32,
Luca Moro,Sassuolo,Frosinone (1 Season),Frosinone (1 Season),Frosinone (1 Season),,1 League,,34,23,1807,20.1,6,0,6,6,0,0,2,0,5.5,5.5,1.6,7.1,19,29,123,0.30,0.00,0.30,0.30,0.30,0.27,0.08,0.35,0.27,0.35,
Luca Moro,Sassuolo,Spezia (1 Season),Spezia (1 Season),Spezia (1 Season),,1 League,,26,10,1008,11.2,4,0,4,3,1,2,3,0,4.1,2.6,0.7,3.3,7,3,68,0.36,0.00,0.36,0.27,0.27,0.37,0.07,0.43,0.23,0.30,
Luca Moro,Sassuolo,SPAL (1 Season),SPAL (1 Season),SPAL (1 Season),,1 League,,8,1,136,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,0,10,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,
Luca Moro,Sassuolo,Padova (1 Season),Padova (1 Season),Padova (1 Season),,1 League,,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Luca Moro,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Moro,Sassuolo,Serie B (5 Seasons),Serie B (5 Seasons),Serie B (5 Seasons),,,,95,46,4077,45.3,17,1,18,14,3,4,7,0,14.8,11.7,3.0,14.6,30,50,262,0.38,0.02,0.40,0.31,0.33,0.33,0.07,0.39,0.26,0.32,
Luca Moro,Sassuolo,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
