Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alberto Paleari,Torino,2016-2017,23,Cittadella,it ITA,2. Serie B,6th,2,1,164,1.8,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Alberto Paleari,Torino,2017-2018,24,Cittadella,it ITA,2. Serie B,6th,13,11,1070,11.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Alberto Paleari,Torino,2018-2019,25,Cittadella,it ITA,2. Serie B,7th,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alberto Paleari,Torino,2019-2020,26,Cittadella,it ITA,2. Serie B,5th,36,36,3240,36.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alberto Paleari,Torino,2020-2021,27,Cittadella,it ITA,2. Serie B,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alberto Paleari,Torino,2020-2021,27,Genoa,it ITA,1. Serie A,11th,3,2,206,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alberto Paleari,Torino,2021-2022,28,Benevento,it ITA,2. Serie B,7th,35,35,3082,34.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alberto Paleari,Torino,2022-2023,29,Benevento,it ITA,2. Serie B,20th,33,33,2835,31.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alberto Paleari,Torino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
