Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ali Dembélé,Torino,2022-2023,18,Torino,it ITA,1. Serie A,10th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ali Dembélé,Torino,2023-2024,19,Venezia,it ITA,2. Serie B,3rd,14,0,171,1.9,1,0,1,1,0,0,3,0,0.3,0.3,0.1,0.4,17,7,20,0.53,0.00,0.53,0.53,0.53,0.16,0.06,0.22,0.16,0.22,Matches
Ali Dembélé,Torino,2023-2024,19,Torino,it ITA,1. Serie A,9th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ali Dembélé,Torino,2024-2025,20,Torino,it ITA,1. Serie A,11th,15,4,388,4.3,1,0,1,1,0,0,4,1,0.4,0.4,0.1,0.5,8,12,8,0.23,0.00,0.23,0.23,0.23,0.08,0.02,0.10,0.08,0.10,Matches
Ali Dembélé,Torino,2025-2026,21,Torino,it ITA,1. Serie A,20th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ali Dembélé,Torino,4 Seasons,4 Seasons,2 Clubs,,2 Leagues,,29,4,559,6.2,2,0,2,2,0,0,7,1,0.7,0.7,0.2,0.9,25,19,28,0.32,0.00,0.32,0.32,0.32,0.11,0.03,0.14,0.11,0.14,
Ali Dembélé,Torino,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ali Dembélé,Torino,Torino (4 Seasons),Torino (4 Seasons),Torino (4 Seasons),,1 League,,15,4,388,4.3,1,0,1,1,0,0,4,1,0.4,0.4,0.1,0.5,8,12,8,0.23,0.00,0.23,0.23,0.23,0.08,0.02,0.10,0.08,0.10,
Ali Dembélé,Torino,Venezia (1 Season),Venezia (1 Season),Venezia (1 Season),,1 League,,14,0,171,1.9,1,0,1,1,0,0,3,0,0.3,0.3,0.1,0.4,17,7,20,0.53,0.00,0.53,0.53,0.53,0.16,0.06,0.22,0.16,0.22,
Ali Dembélé,Torino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Dembélé,Torino,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,15,4,388,4.3,1,0,1,1,0,0,4,1,0.4,0.4,0.1,0.5,8,12,8,0.23,0.00,0.23,0.23,0.23,0.08,0.02,0.10,0.08,0.10,
Ali Dembélé,Torino,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,14,0,171,1.9,1,0,1,1,0,0,3,0,0.3,0.3,0.1,0.4,17,7,20,0.53,0.00,0.53,0.53,0.53,0.16,0.06,0.22,0.16,0.22,
