Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Cyril Ngonge,Torino,2018-2019,18,Club Brugge,be BEL,1. First Division A,2nd,4,1,141,1.6,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,2,3,8,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,0.35,0.35,Matches
Cyril Ngonge,Torino,2019-2020,19,Jong PSV,nl NED,2. Eerste Divisie,18th,22,19,1802,20.0,7,3,10,5,2,2,4,0,,,,,,,,0.35,0.15,0.50,0.25,0.40,,,,,,Matches
Cyril Ngonge,Torino,2019-2020,19,PSV Eindhoven,nl NED,1. Eredivisie,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Cyril Ngonge,Torino,2020-2021,20,RKC Waalwijk,nl NED,1. Eredivisie,15th,20,15,1170,13.0,5,2,7,4,1,1,2,0,2.4,1.7,2.0,3.6,31,30,87,0.38,0.15,0.54,0.31,0.46,0.18,0.15,0.34,0.13,0.28,Matches
Cyril Ngonge,Torino,2021-2022,21,Groningen,nl NED,1. Eredivisie,12th,31,19,1663,18.5,7,1,8,7,0,0,4,0,5.0,5.0,1.4,6.5,25,27,77,0.38,0.05,0.43,0.38,0.43,0.27,0.08,0.35,0.27,0.35,Matches
Cyril Ngonge,Torino,2022-2023,22,Groningen,nl NED,1. Eredivisie,18th,12,8,655,7.3,3,2,5,3,0,0,0,0,2.3,2.3,2.0,4.3,23,25,53,0.41,0.27,0.69,0.41,0.69,0.31,0.28,0.59,0.31,0.59,Matches
Cyril Ngonge,Torino,2022-2023,22,Hellas Verona,it ITA,1. Serie A,18th,14,9,745,8.3,3,1,4,3,0,0,2,0,2.0,2.0,0.6,2.5,18,13,40,0.36,0.12,0.48,0.36,0.48,0.24,0.07,0.31,0.24,0.31,Matches
Cyril Ngonge,Torino,2023-2024,23,Hellas Verona,it ITA,1. Serie A,13th,19,17,1431,15.9,6,2,8,6,0,0,4,0,4.2,3.4,1.7,5.1,53,44,117,0.38,0.13,0.50,0.38,0.50,0.27,0.11,0.37,0.21,0.32,Matches
Cyril Ngonge,Torino,2023-2024,23,Napoli,it ITA,1. Serie A,10th,13,1,315,3.5,1,0,1,1,0,0,2,0,1.0,1.0,0.8,1.8,18,11,43,0.29,0.00,0.29,0.29,0.29,0.29,0.22,0.51,0.29,0.51,Matches
