Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Arthur Atta,Udinese,2022-2023,19,Metz,fr FRA,2. Ligue 2,2nd,16,4,463,5.1,1,0,1,1,0,0,1,0,,,,,,,,0.19,0.00,0.19,0.19,0.19,,,,,,Matches
Arthur Atta,Udinese,2023-2024,20,Metz,fr FRA,1. Ligue 1,16th,21,10,924,10.3,1,2,3,1,0,0,0,0,0.6,0.6,1.3,1.9,16,48,22,0.10,0.19,0.29,0.10,0.29,0.06,0.13,0.18,0.06,0.18,Matches
Arthur Atta,Udinese,2024-2025,21,Metz,fr FRA,2. Ligue 2,3rd,2,0,49,0.5,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Arthur Atta,Udinese,2024-2025,21,Udinese,it ITA,1. Serie A,12th,27,12,1251,13.9,0,1,1,0,0,0,5,0,1.3,1.3,1.4,2.8,31,57,77,0.00,0.07,0.07,0.00,0.07,0.10,0.10,0.20,0.10,0.20,Matches
Arthur Atta,Udinese,2025-2026,22,Udinese,it ITA,1. Serie A,8th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,11,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
Arthur Atta,Udinese,4 Seasons,4 Seasons,2 Clubs,,3 Leagues,,67,27,2777,30.9,2,3,5,2,0,0,7,0,1.9,1.9,2.8,4.7,47,108,110,0.06,0.10,0.16,0.06,0.16,0.08,0.11,0.19,0.08,0.19,
Arthur Atta,Udinese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Arthur Atta,Udinese,Metz (3 Seasons),Metz (3 Seasons),Metz (3 Seasons),,2 Leagues,,39,14,1436,16.0,2,2,4,2,0,0,2,0,0.6,0.6,1.3,1.9,16,48,22,0.13,0.13,0.25,0.13,0.25,0.06,0.13,0.18,0.06,0.18,
Arthur Atta,Udinese,Udinese (2 Seasons),Udinese (2 Seasons),Udinese (2 Seasons),,1 League,,28,13,1341,14.9,0,1,1,0,0,0,5,0,1.4,1.4,1.5,2.9,31,60,88,0.00,0.07,0.07,0.00,0.07,0.09,0.10,0.19,0.09,0.19,
Arthur Atta,Udinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Atta,Udinese,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,28,13,1341,14.9,0,1,1,0,0,0,5,0,1.4,1.4,1.5,2.9,31,60,88,0.00,0.07,0.07,0.00,0.07,0.09,0.10,0.19,0.09,0.19,
Arthur Atta,Udinese,Ligue 2 (2 Seasons),Ligue 2 (2 Seasons),Ligue 2 (2 Seasons),,,,18,4,512,5.7,1,0,1,1,0,0,2,0,,,,,,,,0.18,0.00,0.18,0.18,0.18,,,,,,
Arthur Atta,Udinese,Ligue 1 (1 Season),Ligue 1 (1 Season),Ligue 1 (1 Season),,,,21,10,924,10.3,1,2,3,1,0,0,0,0,0.6,0.6,1.3,1.9,16,48,22,0.10,0.19,0.29,0.10,0.29,0.06,0.13,0.18,0.06,0.18,
