Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Iker Bravo,Udinese,2021-2022,16,Leverkusen,de GER,Jr. U17 Bundesliga,39th,3,3,270,3.0,3,,,3,0,0,3,0,,,,,,,,1.00,,,1.00,,,,,,,Matches
Iker Bravo,Udinese,2021-2022,16,Leverkusen,de GER,1. Bundesliga,3rd,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Iker Bravo,Udinese,2021-2022,16,Leverkusen,de GER,Jr. U19 Bundesliga,13th,12,12,1011,11.2,4,,,3,1,1,5,0,,,,,,,,0.36,,,0.27,,,,,,,Matches
Iker Bravo,Udinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iker Bravo,Udinese,2024-2025,19,Udinese,it ITA,1. Serie A,12th,29,4,682,7.6,2,1,3,2,0,0,3,0,0.9,0.9,0.4,1.3,7,18,39,0.26,0.13,0.40,0.26,0.40,0.12,0.06,0.18,0.12,0.18,Matches
Iker Bravo,Udinese,2025-2026,20,Udinese,it ITA,1. Serie A,8th,1,1,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3,3,7,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,Matches
Iker Bravo,Udinese,3 Seasons,3 Seasons,2 Clubs,,2 Leagues,,31,5,754,8.4,2,1,3,2,0,0,4,0,0.9,0.9,0.6,1.5,10,21,46,0.24,0.12,0.36,0.24,0.36,0.11,0.07,0.18,0.11,0.18,
Iker Bravo,Udinese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Iker Bravo,Udinese,Udinese (2 Seasons),Udinese (2 Seasons),Udinese (2 Seasons),,1 League,,30,5,742,8.2,2,1,3,2,0,0,4,0,0.9,0.9,0.6,1.5,10,21,46,0.24,0.12,0.36,0.24,0.36,0.11,0.07,0.18,0.11,0.18,
Iker Bravo,Udinese,Leverkusen (1 Season),Leverkusen (1 Season),Leverkusen (1 Season),,1 League,,12,12,1011,11.2,4,,,3,1,1,5,0,,,,,,,,0.36,,,0.27,,,,,,,
Iker Bravo,Udinese,Leverkusen (1 Season),Leverkusen (1 Season),Leverkusen (1 Season),,1 League,,3,3,270,3.0,3,,,3,0,0,3,0,,,,,,,,1.00,,,1.00,,,,,,,
Iker Bravo,Udinese,Leverkusen (1 Season),Leverkusen (1 Season),Leverkusen (1 Season),,1 League,,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Iker Bravo,Udinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iker Bravo,Udinese,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,30,5,742,8.2,2,1,3,2,0,0,4,0,0.9,0.9,0.6,1.5,10,21,46,0.24,0.12,0.36,0.24,0.36,0.11,0.07,0.18,0.11,0.18,
Iker Bravo,Udinese,U19 Bundesliga (1 Season),U19 Bundesliga (1 Season),U19 Bundesliga (1 Season),,,,12,12,1011,11.2,4,,,3,1,1,5,0,,,,,,,,0.36,,,0.27,,,,,,,
Iker Bravo,Udinese,U17 Bundesliga (1 Season),U17 Bundesliga (1 Season),U17 Bundesliga (1 Season),,,,3,3,270,3.0,3,,,3,0,0,3,0,,,,,,,,1.00,,,1.00,,,,,,,
Iker Bravo,Udinese,Bundesliga (1 Season),Bundesliga (1 Season),Bundesliga (1 Season),,,,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
