Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Kingsley Ehizibue,Udinese,2014-2015,19,Zwolle,nl NED,1. Eredivisie,6th,2,0,7,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Kingsley Ehizibue,Udinese,2015-2016,20,Zwolle,nl NED,1. Eredivisie,8th,26,17,1617,18.0,4,2,6,4,0,0,2,0,,,,,,,,0.22,0.11,0.33,0.22,0.33,,,,,,Matches
Kingsley Ehizibue,Udinese,2016-2017,21,Zwolle,nl NED,1. Eredivisie,14th,29,24,1865,20.7,2,2,4,2,0,0,4,0,,,,,,,,0.10,0.10,0.19,0.10,0.19,,,,,,Matches
Kingsley Ehizibue,Udinese,2017-2018,22,Zwolle,nl NED,1. Eredivisie,9th,33,33,2943,32.7,1,1,2,1,0,0,7,0,,,,,,,,0.03,0.03,0.06,0.03,0.06,,,,,,Matches
Kingsley Ehizibue,Udinese,2018-2019,23,Zwolle,nl NED,1. Eredivisie,13th,32,32,2843,31.6,1,7,8,1,0,0,10,0,1.9,1.9,4.7,6.6,121,84,227,0.03,0.22,0.25,0.03,0.25,0.06,0.15,0.21,0.06,0.21,Matches
Kingsley Ehizibue,Udinese,2019-2020,24,Köln,de GER,1. Bundesliga,14th,31,29,2329,25.9,1,1,2,1,0,0,6,1,1.3,1.3,1.3,2.6,65,65,96,0.04,0.04,0.08,0.04,0.08,0.05,0.05,0.10,0.05,0.10,Matches
Kingsley Ehizibue,Udinese,2020-2021,25,Köln,de GER,1. Bundesliga,16th,21,15,1133,12.6,0,1,1,0,0,0,5,0,0.6,0.6,0.6,1.2,25,30,44,0.00,0.08,0.08,0.00,0.08,0.05,0.05,0.10,0.05,0.10,Matches
Kingsley Ehizibue,Udinese,2021-2022,26,Köln,de GER,1. Bundesliga,7th,16,6,681,7.6,0,1,1,0,0,0,2,0,0.2,0.2,1.0,1.2,22,22,22,0.00,0.13,0.13,0.00,0.13,0.03,0.13,0.16,0.03,0.16,Matches
Kingsley Ehizibue,Udinese,2022-2023,27,Köln,de GER,1. Bundesliga,11th,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Kingsley Ehizibue,Udinese,2022-2023,27,Udinese,it ITA,1. Serie A,12th,27,16,1535,17.1,2,0,2,2,0,0,7,0,2.0,2.0,0.9,3.0,29,40,69,0.12,0.00,0.12,0.12,0.12,0.12,0.06,0.17,0.12,0.17,Matches
Kingsley Ehizibue,Udinese,2023-2024,28,Udinese,it ITA,1. Serie A,15th,23,11,955,10.6,0,1,1,0,0,0,4,0,1.3,1.3,0.7,2.0,18,15,44,0.00,0.09,0.09,0.00,0.09,0.12,0.07,0.19,0.12,0.19,Matches
