Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolò Bertola,Udinese,2020-2021,17,Spezia,it ITA,1. Serie A,15th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolò Bertola,Udinese,2021-2022,18,Spezia,it ITA,1. Serie A,16th,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Nicolò Bertola,Udinese,2022-2023,19,Spezia,it ITA,1. Serie A,17th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolò Bertola,Udinese,2023-2024,20,Spezia,it ITA,2. Serie B,15th,16,13,1129,12.5,1,0,1,1,0,0,5,1,1.5,1.5,0.3,1.8,6,35,2,0.08,0.00,0.08,0.08,0.08,0.12,0.02,0.14,0.12,0.14,Matches
Nicolò Bertola,Udinese,2024-2025,21,Spezia,it ITA,2. Serie B,3rd,28,23,2090,23.2,3,1,4,3,0,0,5,1,1.4,1.4,1.7,3.0,34,72,24,0.13,0.04,0.17,0.13,0.17,0.06,0.07,0.13,0.06,0.13,Matches
Nicolò Bertola,Udinese,2025-2026,22,Udinese,it ITA,1. Serie A,8th,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Nicolò Bertola,Udinese,6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,47,37,3344,37.2,4,1,5,4,0,0,11,2,2.9,2.9,2.0,4.9,44,113,29,0.11,0.03,0.13,0.11,0.13,0.08,0.05,0.13,0.08,0.13,
Nicolò Bertola,Udinese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolò Bertola,Udinese,Spezia (5 Seasons),Spezia (5 Seasons),Spezia (5 Seasons),,2 Leagues,,46,36,3254,36.2,4,1,5,4,0,0,10,2,2.9,2.9,2.0,4.9,41,107,26,0.11,0.03,0.14,0.11,0.14,0.08,0.05,0.13,0.08,0.13,
Nicolò Bertola,Udinese,Udinese (1 Season),Udinese (1 Season),Udinese (1 Season),,1 League,,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,
Nicolò Bertola,Udinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolò Bertola,Udinese,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,3,1,125,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,6,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,
Nicolò Bertola,Udinese,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,44,36,3219,35.8,4,1,5,4,0,0,10,2,2.9,2.9,2.0,4.8,40,107,26,0.11,0.03,0.14,0.11,0.14,0.08,0.06,0.14,0.08,0.14,
