Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Oumar Solet,Udinese,2017-2018,17,Lyon,fr FRA,1. Ligue 1,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Oumar Solet,Udinese,2018-2019,18,Lyon,fr FRA,1. Ligue 1,3rd,1,1,59,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Oumar Solet,Udinese,2019-2020,19,Lyon,fr FRA,1. Ligue 1,7th,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Oumar Solet,Udinese,2020-2021,20,RB Salzburg,at AUT,1. Bundesliga,1st,10,7,674,7.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Oumar Solet,Udinese,2021-2022,21,RB Salzburg,at AUT,1. Bundesliga,1st,22,21,1657,18.4,1,1,2,1,0,0,0,0,,,,,,,,0.05,0.05,0.11,0.05,0.11,,,,,,Matches
Oumar Solet,Udinese,2022-2023,22,RB Salzburg,at AUT,1. Bundesliga,1st,25,25,2180,24.2,1,1,2,1,0,0,4,0,,,,,,,,0.04,0.04,0.08,0.04,0.08,,,,,,Matches
Oumar Solet,Udinese,2023-2024,23,RB Salzburg,at AUT,1. Bundesliga,2nd,21,19,1613,17.9,1,1,2,1,0,0,2,0,,,,,,,,0.06,0.06,0.11,0.06,0.11,,,,,,Matches
Oumar Solet,Udinese,2024-2025,24,Udinese,it ITA,1. Serie A,12th,19,19,1672,18.6,1,2,3,1,0,0,3,1,0.8,0.8,1.2,2.0,20,65,6,0.05,0.11,0.16,0.05,0.16,0.04,0.07,0.11,0.04,0.11,Matches
Oumar Solet,Udinese,2025-2026,25,Udinese,it ITA,1. Serie A,8th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,12,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Oumar Solet,Udinese,9 Seasons,9 Seasons,3 Clubs,,3 Leagues,,100,93,7954,88.4,4,5,9,4,0,0,10,1,0.8,0.8,1.2,2.0,24,84,7,0.05,0.06,0.10,0.05,0.10,0.04,0.06,0.10,0.04,0.10,
Oumar Solet,Udinese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Oumar Solet,Udinese,RB Salzburg (4 Seasons),RB Salzburg (4 Seasons),RB Salzburg (4 Seasons),,1 League,,78,72,6124,68.0,3,3,6,3,0,0,6,0,,,,,,,,0.04,0.04,0.09,0.04,0.09,,,,,,
Oumar Solet,Udinese,Lyon (3 Seasons),Lyon (3 Seasons),Lyon (3 Seasons),,1 League,,2,1,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Oumar Solet,Udinese,Udinese (2 Seasons),Udinese (2 Seasons),Udinese (2 Seasons),,1 League,,20,20,1762,19.6,1,2,3,1,0,0,3,1,0.8,0.8,1.2,2.0,23,77,6,0.05,0.10,0.15,0.05,0.15,0.04,0.06,0.10,0.04,0.10,
Oumar Solet,Udinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oumar Solet,Udinese,Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,78,72,6124,68.0,3,3,6,3,0,0,6,0,,,,,,,,0.04,0.04,0.09,0.04,0.09,,,,,,
Oumar Solet,Udinese,Ligue 1 (3 Seasons),Ligue 1 (3 Seasons),Ligue 1 (3 Seasons),,,,2,1,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Oumar Solet,Udinese,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,20,20,1762,19.6,1,2,3,1,0,0,3,1,0.8,0.8,1.2,2.0,23,77,6,0.05,0.10,0.15,0.05,0.15,0.04,0.06,0.10,0.04,0.10,
