Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Razvan Sava,Udinese,2019-2020,17,Lecce,it ITA,1. Serie A,18th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Razvan Sava,Udinese,2020-2021,18,Torino,it ITA,1. Serie A,17th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Razvan Sava,Udinese,2021-2022,19,CFR Cluj,ro ROU,1. Liga I,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Razvan Sava,Udinese,2022-2023,20,CFR Cluj,ro ROU,1. Liga I,3rd,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Razvan Sava,Udinese,2023-2024,21,CFR Cluj,ro ROU,1. Liga I,2nd,40,40,3600,40.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Razvan Sava,Udinese,2024-2025,22,CFR Cluj,ro ROU,1. Liga I,2nd,5,5,450,5.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Razvan Sava,Udinese,2024-2025,22,Udinese,it ITA,1. Serie A,12th,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Razvan Sava,Udinese,2025-2026,23,Udinese,it ITA,1. Serie A,8th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Razvan Sava,Udinese,7 Seasons,7 Seasons,4 Clubs,,2 Leagues,,61,61,5490,61.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Razvan Sava,Udinese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Razvan Sava,Udinese,CFR Cluj (4 Seasons),CFR Cluj (4 Seasons),CFR Cluj (4 Seasons),,1 League,,48,48,4320,48.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Razvan Sava,Udinese,Udinese (2 Seasons),Udinese (2 Seasons),Udinese (2 Seasons),,1 League,,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Razvan Sava,Udinese,Torino (1 Season),Torino (1 Season),Torino (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razvan Sava,Udinese,Lecce (1 Season),Lecce (1 Season),Lecce (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razvan Sava,Udinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razvan Sava,Udinese,Liga I (4 Seasons),Liga I (4 Seasons),Liga I (4 Seasons),,,,48,48,4320,48.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Razvan Sava,Udinese,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
