Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sandi Lovrić,Udinese,2014-2015,16,Sturm Graz,at AUT,1. Bundesliga,4th,8,2,198,2.2,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Sandi Lovrić,Udinese,2015-2016,17,Sturm Graz,at AUT,1. Bundesliga,5th,8,5,405,4.5,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.22,0.22,0.00,0.22,,,,,,Matches
Sandi Lovrić,Udinese,2016-2017,18,Sturm Graz,at AUT,1. Bundesliga,3rd,3,2,81,0.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Sandi Lovrić,Udinese,2017-2018,19,Sturm Graz,at AUT,1. Bundesliga,2nd,25,16,1405,15.6,0,1,1,0,0,0,6,2,,,,,,,,0.00,0.06,0.06,0.00,0.06,,,,,,Matches
Sandi Lovrić,Udinese,2018-2019,20,Sturm Graz,at AUT,1. Bundesliga,5th,20,15,1348,15.0,1,3,4,1,0,0,2,0,,,,,,,,0.07,0.20,0.27,0.07,0.27,,,,,,Matches
Sandi Lovrić,Udinese,2019-2020,21,Lugano,ch SUI,1. Super Lg,5th,27,17,1658,18.4,3,7,10,3,0,0,4,0,,,,,,,,0.16,0.38,0.54,0.16,0.54,,,,,,Matches
Sandi Lovrić,Udinese,2020-2021,22,Lugano,ch SUI,1. Super Lg,4th,33,32,2570,28.6,2,5,7,2,0,0,8,1,,,,,,,,0.07,0.18,0.25,0.07,0.25,,,,,,Matches
Sandi Lovrić,Udinese,2021-2022,23,Lugano,ch SUI,1. Super Lg,4th,33,32,2697,30.0,4,6,10,4,0,0,4,0,,,,,,,,0.13,0.20,0.33,0.13,0.33,,,,,,Matches
Sandi Lovrić,Udinese,2022-2023,24,Udinese,it ITA,1. Serie A,12th,37,28,2335,25.9,5,6,11,5,0,0,4,0,4.8,4.8,3.2,8.0,42,105,90,0.19,0.23,0.42,0.19,0.42,0.18,0.12,0.31,0.18,0.31,Matches
Sandi Lovrić,Udinese,2023-2024,25,Udinese,it ITA,1. Serie A,15th,29,21,1987,22.1,1,3,4,1,0,0,1,1,3.5,3.5,3.3,6.8,52,80,80,0.05,0.14,0.18,0.05,0.18,0.16,0.15,0.31,0.16,0.31,Matches
Sandi Lovrić,Udinese,2024-2025,26,Udinese,it ITA,1. Serie A,12th,36,31,2308,25.6,2,3,5,2,0,0,5,0,2.6,2.6,3.4,6.0,60,120,71,0.08,0.12,0.19,0.08,0.19,0.10,0.13,0.24,0.10,0.24,Matches
Sandi Lovrić,Udinese,2025-2026,27,Udinese,it ITA,1. Serie A,8th,1,1,60,0.7,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,3,7,3,0.00,1.50,1.50,0.00,1.50,0.16,0.33,0.49,0.16,0.49,Matches
Sandi Lovrić,Udinese,12 Seasons,12 Seasons,3 Clubs,,3 Leagues,,260,202,17052,189.5,18,36,54,18,0,0,36,4,11.1,11.1,10.0,21.1,157,312,244,0.10,0.19,0.29,0.10,0.29,0.15,0.14,0.28,0.15,0.28,
Sandi Lovrić,Udinese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sandi Lovrić,Udinese,Sturm Graz (5 Seasons),Sturm Graz (5 Seasons),Sturm Graz (5 Seasons),,1 League,,64,40,3437,38.2,1,5,6,1,0,0,10,2,,,,,,,,0.03,0.13,0.16,0.03,0.16,,,,,,
Sandi Lovrić,Udinese,Udinese (4 Seasons),Udinese (4 Seasons),Udinese (4 Seasons),,1 League,,103,81,6690,74.3,8,13,21,8,0,0,10,1,11.1,11.1,10.0,21.1,157,312,244,0.11,0.17,0.28,0.11,0.28,0.15,0.14,0.28,0.15,0.28,
Sandi Lovrić,Udinese,Lugano (3 Seasons),Lugano (3 Seasons),Lugano (3 Seasons),,1 League,,93,81,6925,76.9,9,18,27,9,0,0,16,1,,,,,,,,0.12,0.23,0.35,0.12,0.35,,,,,,
Sandi Lovrić,Udinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandi Lovrić,Udinese,Bundesliga (5 Seasons),Bundesliga (5 Seasons),Bundesliga (5 Seasons),,,,64,40,3437,38.2,1,5,6,1,0,0,10,2,,,,,,,,0.03,0.13,0.16,0.03,0.16,,,,,,
