Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniel Maldini,Atalanta,2019-2020,17,Milan,it ITA,1. Serie A,6th,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Maldini,Atalanta,2020-2021,18,Milan,it ITA,1. Serie A,2nd,5,0,29,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,3,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches
Daniel Maldini,Atalanta,2021-2022,19,Milan,it ITA,1. Serie A,1st,8,2,148,1.6,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.5,7,3,8,0.61,0.00,0.61,0.61,0.61,0.26,0.04,0.30,0.26,0.30,Matches
Daniel Maldini,Atalanta,2022-2023,20,Spezia,it ITA,1. Serie A,17th,18,4,628,7.0,2,0,2,2,0,0,1,0,1.2,1.2,0.5,1.7,13,10,34,0.29,0.00,0.29,0.29,0.29,0.17,0.07,0.24,0.17,0.24,Matches
Daniel Maldini,Atalanta,2023-2024,21,Empoli,it ITA,1. Serie A,17th,7,3,263,2.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,7,10,10,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.12,0.10,0.12,Matches
Daniel Maldini,Atalanta,2023-2024,21,Monza,it ITA,1. Serie A,12th,11,2,333,3.7,4,1,5,4,0,0,0,0,1.3,1.3,1.2,2.4,15,10,22,1.08,0.27,1.35,1.08,1.35,0.34,0.31,0.65,0.34,0.65,Matches
Daniel Maldini,Atalanta,2024-2025,22,Monza,it ITA,1. Serie A,20th,20,16,1306,14.5,3,0,3,3,0,0,5,0,4.8,4.8,0.9,5.7,41,34,66,0.21,0.00,0.21,0.21,0.21,0.33,0.06,0.39,0.33,0.39,Matches
Daniel Maldini,Atalanta,2024-2025,22,Atalanta,it ITA,1. Serie A,3rd,10,2,258,2.9,3,0,3,3,0,0,0,0,1.9,1.9,0.2,2.1,12,7,30,1.05,0.00,1.05,1.05,1.05,0.66,0.09,0.74,0.66,0.74,Matches
Daniel Maldini,Atalanta,2025-2026,23,Atalanta,it ITA,1. Serie A,9th,1,1,70,0.8,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,4,4,3,0.00,0.00,0.00,0.00,0.00,0.53,0.11,0.63,0.53,0.63,Matches
Daniel Maldini,Atalanta,7 Seasons,7 Seasons,5 Clubs,,1 League,,82,30,3062,34.0,13,1,14,13,0,0,9,0,10.3,10.3,3.0,13.3,102,81,177,0.38,0.03,0.41,0.38,0.41,0.30,0.09,0.39,0.30,0.39,
Daniel Maldini,Atalanta,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniel Maldini,Atalanta,Milan (3 Seasons),Milan (3 Seasons),Milan (3 Seasons),,1 League,,15,2,204,2.3,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,10,6,12,0.44,0.00,0.44,0.44,0.44,0.22,0.03,0.25,0.22,0.25,
Daniel Maldini,Atalanta,Monza (2 Seasons),Monza (2 Seasons),Monza (2 Seasons),,1 League,,31,18,1639,18.2,7,1,8,7,0,0,5,0,6.0,6.0,2.1,8.1,56,44,88,0.38,0.05,0.44,0.38,0.44,0.33,0.11,0.44,0.33,0.44,
Daniel Maldini,Atalanta,Atalanta (2 Seasons),Atalanta (2 Seasons),Atalanta (2 Seasons),,1 League,,11,3,328,3.6,3,0,3,3,0,0,1,0,2.3,2.3,0.3,2.6,16,11,33,0.82,0.00,0.82,0.82,0.82,0.63,0.09,0.72,0.63,0.72,
Daniel Maldini,Atalanta,Spezia (1 Season),Spezia (1 Season),Spezia (1 Season),,1 League,,18,4,628,7.0,2,0,2,2,0,0,1,0,1.2,1.2,0.5,1.7,13,10,34,0.29,0.00,0.29,0.29,0.29,0.17,0.07,0.24,0.17,0.24,
Daniel Maldini,Atalanta,Empoli (1 Season),Empoli (1 Season),Empoli (1 Season),,1 League,,7,3,263,2.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,7,10,10,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.12,0.10,0.12,
