Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gianluca Scamacca,Atalanta,2015-2016,16,Jong PSV,nl NED,2. Eerste Divisie,11th,2,0,34,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Gianluca Scamacca,Atalanta,2016-2017,17,Jong PSV,nl NED,2. Eerste Divisie,4th,1,0,3,0.0,0,0,0,0,0,0,0,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Gianluca Scamacca,Atalanta,2017-2018,18,Cremonese,it ITA,2. Serie B,14th,14,4,468,5.2,1,0,1,1,0,0,0,0,,,,,,,,0.19,0.00,0.19,0.19,0.19,,,,,,Matches
Gianluca Scamacca,Atalanta,2017-2018,18,Sassuolo,it ITA,1. Serie A,11th,3,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0,4,6,0.00,0.00,0.00,0.00,0.00,0.26,1.73,1.99,0.26,1.99,Matches
Gianluca Scamacca,Atalanta,2018-2019,19,Sassuolo,it ITA,1. Serie A,11th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gianluca Scamacca,Atalanta,2018-2019,19,Zwolle,nl NED,1. Eredivisie,13th,8,1,249,2.8,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,4,8,14,0.00,0.00,0.00,0.00,0.00,0.26,0.04,0.30,0.26,0.30,Matches
Gianluca Scamacca,Atalanta,2019-2020,20,Ascoli,it ITA,2. Serie B,14th,33,26,2344,26.0,9,1,10,9,0,0,3,0,10.4,10.4,2.3,12.7,40,49,191,0.35,0.04,0.38,0.35,0.38,0.40,0.09,0.49,0.40,0.49,Matches
Gianluca Scamacca,Atalanta,2020-2021,21,Genoa,it ITA,1. Serie A,11th,26,13,1352,15.0,8,2,10,6,2,2,1,0,7.8,6.2,2.7,8.9,20,18,87,0.53,0.13,0.67,0.40,0.53,0.52,0.18,0.69,0.41,0.59,Matches
Gianluca Scamacca,Atalanta,2020-2021,21,Sassuolo,it ITA,1. Serie A,8th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
