Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Isak Hien,Atalanta,2021,22,Vasalund,se SWE,2. Superettan,15th,12,12,1080,12.0,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Isak Hien,Atalanta,2021,22,Djurgården,se SWE,1. Allsvenskan,3rd,5,0,35,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Isak Hien,Atalanta,2022,23,Djurgården,se SWE,1. Allsvenskan,2nd,17,14,1274,14.2,2,1,3,2,0,0,2,0,,,,,,,,0.14,0.07,0.21,0.14,0.21,,,,,,Matches
Isak Hien,Atalanta,2022-2023,23,Hellas Verona,it ITA,1. Serie A,18th,32,28,2607,29.0,0,0,0,0,0,0,9,0,0.3,0.3,0.1,0.4,17,54,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Isak Hien,Atalanta,2023-2024,24,Hellas Verona,it ITA,1. Serie A,13th,10,9,864,9.6,0,0,0,0,0,0,1,1,0.4,0.4,0.0,0.4,8,26,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Isak Hien,Atalanta,2023-2024,24,Atalanta,it ITA,1. Serie A,4th,16,9,937,10.4,0,1,1,0,0,0,3,0,0.2,0.2,0.1,0.3,0,24,0,0.00,0.10,0.10,0.00,0.10,0.02,0.01,0.03,0.02,0.03,Matches
Isak Hien,Atalanta,2024-2025,25,Atalanta,it ITA,1. Serie A,3rd,30,27,2327,25.9,0,0,0,0,0,0,10,0,1.0,1.0,0.1,1.1,7,51,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Isak Hien,Atalanta,2025-2026,26,Atalanta,it ITA,1. Serie A,9th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Isak Hien,Atalanta,5 Seasons,5 Seasons,4 Clubs,,3 Leagues,,123,100,9214,102.4,2,2,4,2,0,0,29,1,1.9,1.9,0.3,2.2,32,158,7,0.02,0.02,0.04,0.02,0.04,0.03,0.00,0.03,0.03,0.03,
Isak Hien,Atalanta,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Isak Hien,Atalanta,Atalanta (3 Seasons),Atalanta (3 Seasons),Atalanta (3 Seasons),,1 League,,47,37,3354,37.3,0,1,1,0,0,0,13,0,1.2,1.2,0.2,1.4,7,78,4,0.00,0.03,0.03,0.00,0.03,0.03,0.00,0.04,0.03,0.04,
Isak Hien,Atalanta,Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),,1 League,,42,37,3471,38.6,0,0,0,0,0,0,10,1,0.7,0.7,0.1,0.8,25,80,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,
Isak Hien,Atalanta,Djurgården (2 Seasons),Djurgården (2 Seasons),Djurgården (2 Seasons),,1 League,,22,14,1309,14.5,2,1,3,2,0,0,2,0,,,,,,,,0.14,0.07,0.21,0.14,0.21,,,,,,
Isak Hien,Atalanta,Vasalund (1 Season),Vasalund (1 Season),Vasalund (1 Season),,1 League,,12,12,1080,12.0,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Isak Hien,Atalanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isak Hien,Atalanta,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,89,74,6825,75.8,0,1,1,0,0,0,23,1,1.9,1.9,0.3,2.2,32,158,7,0.00,0.01,0.01,0.00,0.01,0.03,0.00,0.03,0.03,0.03,
Isak Hien,Atalanta,Allsvenskan (2 Seasons),Allsvenskan (2 Seasons),Allsvenskan (2 Seasons),,,,22,14,1309,14.5,2,1,3,2,0,0,2,0,,,,,,,,0.14,0.07,0.21,0.14,0.21,,,,,,
Isak Hien,Atalanta,Superettan (1 Season),Superettan (1 Season),Superettan (1 Season),,,,12,12,1080,12.0,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
