Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Kamaldeen Sulemana,Atalanta,2019-2020,17,Nordsjælland,dk DEN,1. Danish Superliga,6th,13,6,577,6.4,4,0,4,4,0,0,5,0,,,,,,,,0.62,0.00,0.62,0.62,0.62,,,,,,Matches
Kamaldeen Sulemana,Atalanta,2020-2021,18,Nordsjælland,dk DEN,1. Danish Superliga,5th,29,29,2465,27.4,10,5,15,9,1,2,9,1,,,,,,,,0.37,0.18,0.55,0.33,0.51,,,,,,Matches
Kamaldeen Sulemana,Atalanta,2021-2022,19,Rennes,fr FRA,1. Ligue 1,4th,20,11,1015,11.3,4,2,6,4,0,0,3,0,2.3,2.3,1.9,4.2,56,42,96,0.35,0.18,0.53,0.35,0.53,0.20,0.17,0.37,0.20,0.37,Matches
Kamaldeen Sulemana,Atalanta,2022-2023,20,Rennes,fr FRA,1. Ligue 1,4th,14,2,326,3.6,1,0,1,1,0,0,1,0,1.4,1.4,0.6,1.9,17,18,57,0.28,0.00,0.28,0.28,0.28,0.38,0.16,0.54,0.38,0.54,Matches
Kamaldeen Sulemana,Atalanta,2022-2023,20,Southampton,eng ENG,1. Premier League,20th,18,10,966,10.7,2,1,3,2,0,0,1,0,1.7,1.7,1.3,3.0,32,36,80,0.19,0.09,0.28,0.19,0.28,0.16,0.12,0.27,0.16,0.27,Matches
Kamaldeen Sulemana,Atalanta,2023-2024,21,Southampton,eng ENG,2. Championship,4th,25,10,950,10.6,0,3,3,0,0,0,4,1,1.6,1.6,2.4,4.0,66,35,135,0.00,0.28,0.28,0.00,0.28,0.15,0.23,0.38,0.15,0.38,Matches
Kamaldeen Sulemana,Atalanta,2024-2025,22,Southampton,eng ENG,1. Premier League,20th,26,17,1402,15.6,1,1,2,1,0,0,2,0,1.5,1.5,1.0,2.5,63,27,87,0.06,0.06,0.13,0.06,0.13,0.10,0.06,0.16,0.10,0.16,Matches
Kamaldeen Sulemana,Atalanta,2025-2026,23,Atalanta,it ITA,1. Serie A,9th,1,0,20,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kamaldeen Sulemana,Atalanta,7 Seasons,7 Seasons,4 Clubs,,5 Leagues,,146,85,7721,85.8,22,12,34,21,1,2,26,2,8.5,8.5,7.1,15.6,236,162,459,0.26,0.14,0.40,0.24,0.38,0.16,0.14,0.30,0.16,0.30,
Kamaldeen Sulemana,Atalanta,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Kamaldeen Sulemana,Atalanta,Southampton (3 Seasons),Southampton (3 Seasons),Southampton (3 Seasons),,2 Leagues,,69,37,3318,36.9,3,5,8,3,0,0,7,1,4.8,4.8,4.7,9.5,161,98,302,0.08,0.14,0.22,0.08,0.22,0.13,0.13,0.26,0.13,0.26,
Kamaldeen Sulemana,Atalanta,Nordsjælland (2 Seasons),Nordsjælland (2 Seasons),Nordsjælland (2 Seasons),,1 League,,42,35,3042,33.8,14,5,19,13,1,2,14,1,,,,,,,,0.41,0.15,0.56,0.38,0.53,,,,,,
Kamaldeen Sulemana,Atalanta,Rennes (2 Seasons),Rennes (2 Seasons),Rennes (2 Seasons),,1 League,,34,13,1341,14.9,5,2,7,5,0,0,4,0,3.7,3.7,2.4,6.1,73,60,153,0.34,0.13,0.47,0.34,0.47,0.25,0.16,0.41,0.25,0.41,
Kamaldeen Sulemana,Atalanta,Atalanta (1 Season),Atalanta (1 Season),Atalanta (1 Season),,1 League,,1,0,20,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Kamaldeen Sulemana,Atalanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamaldeen Sulemana,Atalanta,Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,44,27,2368,26.3,3,2,5,3,0,0,3,0,3.2,3.2,2.2,5.4,95,63,167,0.11,0.08,0.19,0.11,0.19,0.12,0.09,0.21,0.12,0.21,
Kamaldeen Sulemana,Atalanta,Danish Superliga (2 Seasons),Danish Superliga (2 Seasons),Danish Superliga (2 Seasons),,,,42,35,3042,33.8,14,5,19,13,1,2,14,1,,,,,,,,0.41,0.15,0.56,0.38,0.53,,,,,,
Kamaldeen Sulemana,Atalanta,Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,34,13,1341,14.9,5,2,7,5,0,0,4,0,3.7,3.7,2.4,6.1,73,60,153,0.34,0.13,0.47,0.34,0.47,0.25,0.16,0.41,0.25,0.41,
Kamaldeen Sulemana,Atalanta,Championship (1 Season),Championship (1 Season),Championship (1 Season),,,,25,10,950,10.6,0,3,3,0,0,0,4,1,1.6,1.6,2.4,4.0,66,35,135,0.00,0.28,0.28,0.00,0.28,0.15,0.23,0.38,0.15,0.38,
Kamaldeen Sulemana,Atalanta,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,0,20,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
