Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mario Pašalić,Atalanta,2012-2013,17,Hajduk Split,hr CRO,1. 1. HNL,4th,2,0,11,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Mario Pašalić,Atalanta,2013-2014,18,Hajduk Split,hr CRO,1. 1. HNL,3rd,30,27,2436,27.1,11,4,15,11,0,0,9,0,,,,,,,,0.41,0.15,0.55,0.41,0.55,,,,,,Matches
Mario Pašalić,Atalanta,2014-2015,19,Elche,es ESP,1. La Liga,13th,31,26,2188,24.3,3,0,3,3,0,0,5,0,,,,,,,,0.12,0.00,0.12,0.12,0.12,,,,,,Matches
Mario Pašalić,Atalanta,2015-2016,20,Monaco,fr FRA,1. Ligue 1,3rd,16,12,995,11.1,3,0,3,3,0,0,1,0,,,,,,,,0.27,0.00,0.27,0.27,0.27,,,,,,Matches
Mario Pašalić,Atalanta,2016-2017,21,Milan,it ITA,1. Serie A,6th,24,20,1758,19.5,5,1,6,5,0,0,5,0,,,,,,,,0.26,0.05,0.31,0.26,0.31,,,,,,Matches
Mario Pašalić,Atalanta,2017-2018,22,Spartak Moscow,ru RUS,1. Premier League,3rd,21,10,1037,11.5,4,1,5,4,0,0,1,0,,,,,,,,0.35,0.09,0.43,0.35,0.43,,,,,,Matches
Mario Pašalić,Atalanta,2018-2019,23,Atalanta,it ITA,1. Serie A,3rd,33,17,1618,18.0,5,3,8,5,0,0,1,0,4.2,4.2,1.8,6.0,34,82,62,0.28,0.17,0.44,0.28,0.44,0.24,0.10,0.33,0.24,0.33,Matches
Mario Pašalić,Atalanta,2019-2020,24,Atalanta,it ITA,1. Serie A,3rd,35,30,2417,26.9,9,5,14,9,0,0,6,0,9.5,9.5,3.9,13.3,50,176,88,0.34,0.19,0.52,0.34,0.52,0.35,0.14,0.50,0.35,0.50,Matches
Mario Pašalić,Atalanta,2020-2021,25,Atalanta,it ITA,1. Serie A,3rd,25,10,1122,12.5,6,2,8,6,0,0,2,0,4.3,4.3,2.5,6.8,32,86,91,0.48,0.16,0.64,0.48,0.64,0.35,0.20,0.55,0.35,0.55,Matches
Mario Pašalić,Atalanta,2021-2022,26,Atalanta,it ITA,1. Serie A,8th,37,24,2002,22.2,13,6,19,13,0,0,3,0,8.7,8.7,5.7,14.4,38,105,142,0.58,0.27,0.85,0.58,0.85,0.39,0.26,0.65,0.39,0.65,Matches
Mario Pašalić,Atalanta,2022-2023,27,Atalanta,it ITA,1. Serie A,5th,32,24,1769,19.7,5,2,7,5,0,0,3,0,5.7,5.7,2.2,7.9,24,82,83,0.25,0.10,0.36,0.25,0.36,0.29,0.11,0.40,0.29,0.40,Matches
Mario Pašalić,Atalanta,2023-2024,28,Atalanta,it ITA,1. Serie A,4th,34,23,2051,22.8,6,6,12,4,2,2,3,0,7.1,5.5,4.1,9.6,48,129,74,0.26,0.26,0.53,0.18,0.44,0.31,0.18,0.49,0.24,0.42,Matches
Mario Pašalić,Atalanta,2024-2025,29,Atalanta,it ITA,1. Serie A,3rd,34,23,1967,21.9,3,4,7,3,0,1,1,0,6.6,5.8,3.3,9.1,44,149,68,0.14,0.18,0.32,0.14,0.32,0.30,0.15,0.45,0.26,0.42,Matches
Mario Pašalić,Atalanta,2025-2026,30,Atalanta,it ITA,1. Serie A,9th,1,1,70,0.8,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,5,2,0.00,1.29,1.29,0.00,1.29,0.00,0.14,0.14,0.00,0.14,Matches
