Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Raoul Bellanova,Atalanta,2017-2018,17,Milan,it ITA,1. Serie A,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Raoul Bellanova,Atalanta,2018-2019,18,Milan,it ITA,1. Serie A,5th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Raoul Bellanova,Atalanta,2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,1,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Raoul Bellanova,Atalanta,2019-2020,19,Atalanta,it ITA,1. Serie A,3rd,1,0,18,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.44,0.44,Matches
Raoul Bellanova,Atalanta,2020-2021,20,Pescara,it ITA,2. Serie B,19th,30,27,2342,26.0,0,0,0,0,0,0,4,1,1.5,1.5,1.0,2.5,82,65,106,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,Matches
Raoul Bellanova,Atalanta,2021-2022,21,Bordeaux,fr FRA,1. Ligue 1,20th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Raoul Bellanova,Atalanta,2021-2022,21,Cagliari,it ITA,1. Serie A,18th,31,27,2496,27.7,1,2,3,1,0,0,3,0,1.7,1.7,3.5,5.3,81,46,146,0.04,0.07,0.11,0.04,0.11,0.06,0.13,0.19,0.06,0.19,Matches
Raoul Bellanova,Atalanta,2022-2023,22,Inter,it ITA,1. Serie A,3rd,18,3,496,5.5,0,0,0,0,0,0,0,0,0.6,0.6,0.4,1.0,25,12,37,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.19,0.12,0.19,Matches
Raoul Bellanova,Atalanta,2023-2024,23,Torino,it ITA,1. Serie A,9th,37,36,3046,33.8,1,7,8,1,0,0,5,0,2.0,2.0,5.0,7.1,141,98,202,0.03,0.21,0.24,0.03,0.24,0.06,0.15,0.21,0.06,0.21,Matches
Raoul Bellanova,Atalanta,2024-2025,24,Torino,it ITA,1. Serie A,11th,1,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,0,5,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.11,0.03,0.11,Matches
