Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Charalampos Lykogiannis,Bologna,2012-2013,18,Olympiacos,gr GRE,1. Super League,1st,4,2,207,2.3,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Charalampos Lykogiannis,Bologna,2013-2014,19,Levadiakos,gr GRE,1. Super League,8th,21,18,1614,17.9,0,0,0,0,0,0,7,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Charalampos Lykogiannis,Bologna,2014-2015,20,Ergotelis,gr GRE,1. Super League,15th,22,20,1914,21.3,1,1,2,1,0,0,9,0,,,,,,,,0.05,0.05,0.09,0.05,0.09,,,,,,Matches
Charalampos Lykogiannis,Bologna,2015-2016,21,Sturm Graz,at AUT,1. Bundesliga,5th,20,19,1718,19.1,1,1,2,1,0,0,4,0,,,,,,,,0.05,0.05,0.10,0.05,0.10,,,,,,Matches
Charalampos Lykogiannis,Bologna,2016-2017,22,Sturm Graz,at AUT,1. Bundesliga,3rd,34,34,3050,33.9,3,2,5,3,0,0,6,2,,,,,,,,0.09,0.06,0.15,0.09,0.15,,,,,,Matches
Charalampos Lykogiannis,Bologna,2017-2018,23,Sturm Graz,at AUT,1. Bundesliga,2nd,17,17,1466,16.3,2,1,3,2,0,0,4,0,,,,,,,,0.12,0.06,0.18,0.12,0.18,,,,,,Matches
Charalampos Lykogiannis,Bologna,2017-2018,23,Cagliari,it ITA,1. Serie A,16th,11,8,687,7.6,0,1,1,0,0,0,2,0,0.2,0.2,0.8,1.0,6,14,21,0.00,0.13,0.13,0.00,0.13,0.03,0.10,0.13,0.03,0.13,Matches
Charalampos Lykogiannis,Bologna,2018-2019,24,Cagliari,it ITA,1. Serie A,15th,11,9,830,9.2,0,1,1,0,0,0,1,0,0.3,0.3,1.6,1.8,17,24,22,0.00,0.11,0.11,0.00,0.11,0.03,0.17,0.20,0.03,0.20,Matches
Charalampos Lykogiannis,Bologna,2019-2020,25,Cagliari,it ITA,1. Serie A,14th,20,14,1338,14.9,0,1,1,0,0,0,4,0,0.6,0.6,1.1,1.7,19,41,37,0.00,0.07,0.07,0.00,0.07,0.04,0.08,0.12,0.04,0.12,Matches
Charalampos Lykogiannis,Bologna,2020-2021,26,Cagliari,it ITA,1. Serie A,16th,31,29,2418,26.9,4,2,6,4,0,0,10,2,2.1,2.1,1.8,3.9,39,79,92,0.15,0.07,0.22,0.15,0.22,0.08,0.07,0.14,0.08,0.14,Matches
Charalampos Lykogiannis,Bologna,2021-2022,27,Cagliari,it ITA,1. Serie A,18th,28,21,1817,20.2,1,0,1,1,0,0,2,0,1.1,1.1,1.1,2.1,28,34,57,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.11,0.05,0.11,Matches
Charalampos Lykogiannis,Bologna,2022-2023,28,Bologna,it ITA,1. Serie A,9th,21,11,1108,12.3,2,0,2,2,0,0,3,0,0.8,0.8,1.5,2.3,32,60,47,0.16,0.00,0.16,0.16,0.16,0.06,0.12,0.19,0.06,0.19,Matches
Charalampos Lykogiannis,Bologna,2023-2024,29,Bologna,it ITA,1. Serie A,5th,22,10,904,10.0,2,1,3,2,0,0,2,0,1.3,1.3,1.6,2.9,36,35,41,0.20,0.10,0.30,0.20,0.30,0.13,0.16,0.29,0.13,0.29,Matches
Charalampos Lykogiannis,Bologna,2024-2025,30,Bologna,it ITA,1. Serie A,9th,17,12,1048,11.6,0,4,4,0,0,0,3,0,0.2,0.2,1.6,1.8,10,49,36,0.00,0.34,0.34,0.00,0.34,0.02,0.14,0.16,0.02,0.16,Matches
Charalampos Lykogiannis,Bologna,2025-2026,31,Bologna,it ITA,1. Serie A,16th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches
Charalampos Lykogiannis,Bologna,14 Seasons,14 Seasons,6 Clubs,,3 Leagues,,280,225,20209,224.5,16,15,31,16,0,0,58,4,6.5,6.5,11.2,17.7,188,338,354,0.07,0.07,0.14,0.07,0.14,0.06,0.10,0.16,0.06,0.16,
Charalampos Lykogiannis,Bologna,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Charalampos Lykogiannis,Bologna,Cagliari (5 Seasons),Cagliari (5 Seasons),Cagliari (5 Seasons),,1 League,,101,81,7090,78.8,5,5,10,5,0,0,19,2,4.2,4.2,6.4,10.6,109,192,229,0.06,0.06,0.13,0.06,0.13,0.05,0.08,0.13,0.05,0.13,
Charalampos Lykogiannis,Bologna,Bologna (4 Seasons),Bologna (4 Seasons),Bologna (4 Seasons),,1 League,,61,34,3150,35.0,4,5,9,4,0,0,8,0,2.3,2.3,4.9,7.1,79,146,125,0.11,0.14,0.26,0.11,0.26,0.06,0.14,0.20,0.06,0.20,
Charalampos Lykogiannis,Bologna,Sturm Graz (3 Seasons),Sturm Graz (3 Seasons),Sturm Graz (3 Seasons),,1 League,,71,70,6234,69.3,6,4,10,6,0,0,14,2,,,,,,,,0.09,0.06,0.14,0.09,0.14,,,,,,
Charalampos Lykogiannis,Bologna,Ergotelis (1 Season),Ergotelis (1 Season),Ergotelis (1 Season),,1 League,,22,20,1914,21.3,1,1,2,1,0,0,9,0,,,,,,,,0.05,0.05,0.09,0.05,0.09,,,,,,
Charalampos Lykogiannis,Bologna,Levadiakos (1 Season),Levadiakos (1 Season),Levadiakos (1 Season),,1 League,,21,18,1614,17.9,0,0,0,0,0,0,7,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Charalampos Lykogiannis,Bologna,Olympiacos (1 Season),Olympiacos (1 Season),Olympiacos (1 Season),,1 League,,4,2,207,2.3,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Charalampos Lykogiannis,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charalampos Lykogiannis,Bologna,Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,162,115,10240,113.8,9,10,19,9,0,0,27,2,6.5,6.5,11.2,17.7,188,338,354,0.08,0.09,0.17,0.08,0.17,0.06,0.10,0.16,0.06,0.16,
Charalampos Lykogiannis,Bologna,Bundesliga (3 Seasons),Bundesliga (3 Seasons),Bundesliga (3 Seasons),,,,71,70,6234,69.3,6,4,10,6,0,0,14,2,,,,,,,,0.09,0.06,0.14,0.09,0.14,,,,,,
Charalampos Lykogiannis,Bologna,Super League (3 Seasons),Super League (3 Seasons),Super League (3 Seasons),,,,47,40,3735,41.5,1,1,2,1,0,0,17,0,,,,,,,,0.02,0.02,0.05,0.02,0.05,,,,,,
