Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Federico Ravaglia,Bologna,2016-2017,16,Bologna,it ITA,1. Serie A,15th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Federico Ravaglia,Bologna,2017-2018,17,Bologna,it ITA,1. Serie A,15th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Federico Ravaglia,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Ravaglia,Bologna,2020-2021,20,Bologna,it ITA,1. Serie A,12th,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Federico Ravaglia,Bologna,2021-2022,21,Frosinone,it ITA,2. Serie B,9th,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Federico Ravaglia,Bologna,2022-2023,22,US Reggina,it ITA,2. Serie B,7th,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Federico Ravaglia,Bologna,2022-2023,22,Bologna,it ITA,1. Serie A,9th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Federico Ravaglia,Bologna,2023-2024,23,Bologna,it ITA,1. Serie A,5th,6,6,535,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Federico Ravaglia,Bologna,2024-2025,24,Bologna,it ITA,1. Serie A,9th,12,11,1056,11.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Federico Ravaglia,Bologna,2025-2026,25,Bologna,it ITA,1. Serie A,16th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Federico Ravaglia,Bologna,8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,53,52,4741,52.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Federico Ravaglia,Bologna,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Federico Ravaglia,Bologna,Bologna (7 Seasons),Bologna (7 Seasons),Bologna (7 Seasons),,1 League,,22,21,1951,21.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Federico Ravaglia,Bologna,Frosinone (1 Season),Frosinone (1 Season),Frosinone (1 Season),,1 League,,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Federico Ravaglia,Bologna,US Reggina (1 Season),US Reggina (1 Season),US Reggina (1 Season),,1 League,,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Federico Ravaglia,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Ravaglia,Bologna,Serie A (7 Seasons),Serie A (7 Seasons),Serie A (7 Seasons),,,,22,21,1951,21.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Federico Ravaglia,Bologna,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,31,31,2790,31.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
