Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jesper Karlsson,Bologna,2016,17,Falkenberg,se SWE,1. Allsvenskan,16th,26,20,1861,20.7,7,2,9,6,1,1,0,0,,,,,,,,0.34,0.10,0.44,0.29,0.39,,,,,,Matches
Jesper Karlsson,Bologna,2017,18,Elfsborg,se SWE,1. Allsvenskan,8th,14,2,347,3.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Jesper Karlsson,Bologna,2018,19,Elfsborg,se SWE,1. Allsvenskan,12th,22,4,694,7.7,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.13,0.13,0.00,0.13,,,,,,Matches
Jesper Karlsson,Bologna,2019,20,Elfsborg,se SWE,1. Allsvenskan,8th,25,15,1468,16.3,8,4,12,8,0,1,1,0,,,,,,,,0.49,0.25,0.74,0.49,0.74,,,,,,Matches
Jesper Karlsson,Bologna,2020,21,Elfsborg,se SWE,1. Allsvenskan,2nd,22,22,1878,20.9,11,4,15,8,3,3,3,0,,,,,,,,0.53,0.19,0.72,0.38,0.58,,,,,,Matches
Jesper Karlsson,Bologna,2020-2021,22,AZ Alkmaar,nl NED,1. Eredivisie,3rd,32,31,2445,27.2,11,9,20,10,1,1,1,0,7.8,6.9,6.4,13.3,121,123,347,0.40,0.33,0.74,0.37,0.70,0.29,0.24,0.53,0.25,0.49,Matches
Jesper Karlsson,Bologna,2021-2022,23,AZ Alkmaar,nl NED,1. Eredivisie,5th,34,34,2906,32.3,15,12,27,10,5,5,3,0,12.6,8.7,9.7,18.4,95,178,385,0.46,0.37,0.84,0.31,0.68,0.39,0.30,0.69,0.27,0.57,Matches
Jesper Karlsson,Bologna,2022-2023,24,AZ Alkmaar,nl NED,1. Eredivisie,4th,23,21,1777,19.7,9,4,13,8,1,2,5,0,4.6,3.0,4.7,7.8,49,114,231,0.46,0.20,0.66,0.41,0.61,0.23,0.24,0.47,0.15,0.39,Matches
Jesper Karlsson,Bologna,2023-2024,25,Bologna,it ITA,1. Serie A,5th,7,4,344,3.8,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,13,16,35,0.00,0.00,0.00,0.00,0.00,0.11,0.08,0.19,0.11,0.19,Matches
Jesper Karlsson,Bologna,2024-2025,26,Lecce,it ITA,1. Serie A,17th,13,6,495,5.5,1,0,1,0,1,1,2,0,1.5,0.7,0.6,1.3,11,12,32,0.18,0.00,0.18,0.00,0.00,0.26,0.12,0.38,0.12,0.24,Matches
Jesper Karlsson,Bologna,2024-2025,26,Bologna,it ITA,1. Serie A,9th,7,3,298,3.3,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,6,6,31,0.30,0.00,0.30,0.30,0.30,0.22,0.03,0.25,0.22,0.25,Matches
Jesper Karlsson,Bologna,2025-2026,27,Bologna,it ITA,1. Serie A,16th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jesper Karlsson,Bologna,10 Seasons,10 Seasons,5 Clubs,,3 Leagues,,225,162,14513,161.3,63,36,99,51,12,14,17,0,27.7,20.5,21.9,42.4,295,449,1061,0.39,0.22,0.61,0.32,0.54,0.30,0.24,0.54,0.22,0.46,
Jesper Karlsson,Bologna,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
