Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nadir Zortea,Bologna,2019-2020,20,Cremonese,it ITA,2. Serie B,12th,23,16,1476,16.4,1,2,3,1,0,0,2,0,0.4,0.4,3.6,4.0,66,50,62,0.06,0.12,0.18,0.06,0.18,0.03,0.22,0.25,0.03,0.25,Matches
Nadir Zortea,Bologna,2020-2021,21,Cremonese,it ITA,2. Serie B,13th,29,22,2003,22.3,0,1,1,0,0,0,4,0,0.5,0.5,2.0,2.5,69,81,88,0.00,0.04,0.04,0.00,0.04,0.02,0.09,0.11,0.02,0.11,Matches
Nadir Zortea,Bologna,2021-2022,22,Salernitana,it ITA,1. Serie A,17th,29,13,1410,15.7,1,2,3,1,0,0,3,0,0.5,0.5,1.5,2.0,49,31,74,0.06,0.13,0.19,0.06,0.19,0.03,0.10,0.13,0.03,0.13,Matches
Nadir Zortea,Bologna,2022-2023,23,Sassuolo,it ITA,1. Serie A,13th,10,7,657,7.3,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.8,24,38,25,0.00,0.14,0.14,0.00,0.14,0.02,0.09,0.11,0.02,0.11,Matches
Nadir Zortea,Bologna,2022-2023,23,Atalanta,it ITA,1. Serie A,5th,9,1,222,2.5,1,0,1,1,0,0,1,0,0.1,0.1,0.6,0.7,11,9,13,0.41,0.00,0.41,0.41,0.41,0.05,0.23,0.28,0.05,0.28,Matches
Nadir Zortea,Bologna,2023-2024,24,Atalanta,it ITA,1. Serie A,4th,5,0,149,1.7,1,0,1,1,0,0,1,0,0.1,0.1,0.3,0.4,7,10,22,0.60,0.00,0.60,0.60,0.60,0.05,0.16,0.21,0.05,0.21,Matches
Nadir Zortea,Bologna,2023-2024,24,Frosinone,it ITA,1. Serie A,18th,14,14,1258,14.0,1,5,6,1,0,0,3,0,0.4,0.4,2.8,3.3,31,42,71,0.07,0.36,0.43,0.07,0.43,0.03,0.20,0.23,0.03,0.23,Matches
Nadir Zortea,Bologna,2024-2025,25,Cagliari,it ITA,1. Serie A,15th,35,33,2713,30.1,6,2,8,6,0,0,2,0,3.1,3.1,2.4,5.5,69,63,144,0.20,0.07,0.27,0.20,0.27,0.10,0.08,0.18,0.10,0.18,Matches
Nadir Zortea,Bologna,2025-2026,26,Bologna,it ITA,1. Serie A,16th,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nadir Zortea,Bologna,7 Seasons,7 Seasons,7 Clubs,,2 Leagues,,155,106,9907,110.1,11,13,24,11,0,0,20,0,5.4,5.4,13.8,19.2,326,324,499,0.10,0.12,0.22,0.10,0.22,0.05,0.13,0.17,0.05,0.17,
Nadir Zortea,Bologna,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nadir Zortea,Bologna,Cremonese (2 Seasons),Cremonese (2 Seasons),Cremonese (2 Seasons),,1 League,,52,38,3479,38.7,1,3,4,1,0,0,6,0,0.9,0.9,5.6,6.5,135,131,150,0.03,0.08,0.10,0.03,0.10,0.02,0.14,0.17,0.02,0.17,
Nadir Zortea,Bologna,Atalanta (2 Seasons),Atalanta (2 Seasons),Atalanta (2 Seasons),,1 League,,14,1,371,4.1,2,0,2,2,0,0,2,0,0.2,0.2,0.8,1.0,18,19,35,0.49,0.00,0.49,0.49,0.49,0.05,0.21,0.26,0.05,0.26,
Nadir Zortea,Bologna,Cagliari (1 Season),Cagliari (1 Season),Cagliari (1 Season),,1 League,,35,33,2713,30.1,6,2,8,6,0,0,2,0,3.1,3.1,2.4,5.5,69,63,144,0.20,0.07,0.27,0.20,0.27,0.10,0.08,0.18,0.10,0.18,
Nadir Zortea,Bologna,Salernitana (1 Season),Salernitana (1 Season),Salernitana (1 Season),,1 League,,29,13,1410,15.7,1,2,3,1,0,0,3,0,0.5,0.5,1.5,2.0,49,31,74,0.06,0.13,0.19,0.06,0.19,0.03,0.10,0.13,0.03,0.13,
Nadir Zortea,Bologna,Frosinone (1 Season),Frosinone (1 Season),Frosinone (1 Season),,1 League,,14,14,1258,14.0,1,5,6,1,0,0,3,0,0.4,0.4,2.8,3.3,31,42,71,0.07,0.36,0.43,0.07,0.43,0.03,0.20,0.23,0.03,0.23,
Nadir Zortea,Bologna,Sassuolo (1 Season),Sassuolo (1 Season),Sassuolo (1 Season),,1 League,,10,7,657,7.3,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.8,24,38,25,0.00,0.14,0.14,0.00,0.14,0.02,0.09,0.11,0.02,0.11,
Nadir Zortea,Bologna,Bologna (1 Season),Bologna (1 Season),Bologna (1 Season),,1 League,,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Nadir Zortea,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nadir Zortea,Bologna,Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,103,68,6428,71.4,10,10,20,10,0,0,14,0,4.4,4.4,8.2,12.7,191,193,349,0.14,0.14,0.28,0.14,0.28,0.06,0.12,0.18,0.06,0.18,
Nadir Zortea,Bologna,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,52,38,3479,38.7,1,3,4,1,0,0,6,0,0.9,0.9,5.6,6.5,135,131,150,0.03,0.08,0.10,0.03,0.10,0.02,0.14,0.17,0.02,0.17,
