Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolò Cambiaghi,Bologna,2018-2019,17,Atalanta,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolò Cambiaghi,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolò Cambiaghi,Bologna,2020-2021,19,Reggiana,it ITA,2. Serie B,18th,18,2,522,5.8,0,0,0,0,0,0,0,1,0.7,0.7,0.1,0.8,24,14,40,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.13,0.12,0.13,Matches
Nicolò Cambiaghi,Bologna,2021-2022,20,Pordenone,it ITA,2. Serie B,20th,36,29,2752,30.6,7,4,11,7,0,0,3,0,7.0,7.0,3.4,10.4,153,101,209,0.23,0.13,0.36,0.23,0.36,0.23,0.11,0.34,0.23,0.34,Matches
Nicolò Cambiaghi,Bologna,2022-2023,21,Empoli,it ITA,1. Serie A,14th,28,12,1285,14.3,6,1,7,6,0,0,5,1,3.4,3.4,1.1,4.5,73,42,99,0.42,0.07,0.49,0.42,0.49,0.23,0.08,0.31,0.23,0.31,Matches
Nicolò Cambiaghi,Bologna,2023-2024,22,Empoli,it ITA,1. Serie A,17th,37,29,2553,28.4,1,1,2,1,0,0,3,0,3.9,3.9,2.8,6.7,128,63,197,0.04,0.04,0.07,0.04,0.07,0.14,0.10,0.24,0.14,0.24,Matches
Nicolò Cambiaghi,Bologna,2024-2025,23,Bologna,it ITA,1. Serie A,9th,18,4,620,6.9,1,3,4,1,0,0,0,0,0.8,0.8,1.9,2.7,45,25,63,0.15,0.44,0.58,0.15,0.58,0.11,0.27,0.39,0.11,0.39,Matches
Nicolò Cambiaghi,Bologna,2025-2026,24,Bologna,it ITA,1. Serie A,16th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
Nicolò Cambiaghi,Bologna,7 Seasons,7 Seasons,5 Clubs,,2 Leagues,,138,77,7822,86.9,15,9,24,15,0,0,11,2,15.7,15.7,9.4,25.1,425,248,610,0.17,0.10,0.28,0.17,0.28,0.18,0.11,0.29,0.18,0.29,
Nicolò Cambiaghi,Bologna,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolò Cambiaghi,Bologna,Empoli (2 Seasons),Empoli (2 Seasons),Empoli (2 Seasons),,1 League,,65,41,3838,42.6,7,2,9,7,0,0,8,1,7.2,7.2,4.0,11.2,201,105,296,0.16,0.05,0.21,0.16,0.21,0.17,0.09,0.26,0.17,0.26,
Nicolò Cambiaghi,Bologna,Bologna (2 Seasons),Bologna (2 Seasons),Bologna (2 Seasons),,1 League,,19,5,710,7.9,1,3,4,1,0,0,0,0,0.8,0.8,1.9,2.7,47,28,65,0.13,0.38,0.51,0.13,0.51,0.10,0.25,0.35,0.10,0.35,
Nicolò Cambiaghi,Bologna,Pordenone (1 Season),Pordenone (1 Season),Pordenone (1 Season),,1 League,,36,29,2752,30.6,7,4,11,7,0,0,3,0,7.0,7.0,3.4,10.4,153,101,209,0.23,0.13,0.36,0.23,0.36,0.23,0.11,0.34,0.23,0.34,
Nicolò Cambiaghi,Bologna,Reggiana (1 Season),Reggiana (1 Season),Reggiana (1 Season),,1 League,,18,2,522,5.8,0,0,0,0,0,0,0,1,0.7,0.7,0.1,0.8,24,14,40,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.13,0.12,0.13,
Nicolò Cambiaghi,Bologna,Atalanta (1 Season),Atalanta (1 Season),Atalanta (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolò Cambiaghi,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolò Cambiaghi,Bologna,Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,84,46,4548,50.5,8,5,13,8,0,0,8,1,8.0,8.0,5.9,13.9,248,133,361,0.16,0.10,0.26,0.16,0.26,0.16,0.12,0.28,0.16,0.28,
Nicolò Cambiaghi,Bologna,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,54,31,3274,36.4,7,4,11,7,0,0,3,1,7.7,7.7,3.5,11.2,177,115,249,0.19,0.11,0.30,0.19,0.30,0.21,0.10,0.31,0.21,0.31,
