Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolò Casale,Bologna,2017-2018,19,Perugia,it ITA,2. Serie B,8th,1,0,12,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Nicolò Casale,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolò Casale,Bologna,2019-2020,21,Venezia,it ITA,2. Serie B,11th,20,16,1455,16.2,0,0,0,0,0,0,2,0,1.1,1.1,0.3,1.5,18,118,2,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Nicolò Casale,Bologna,2020-2021,22,Empoli,it ITA,2. Serie B,1st,24,20,1853,20.6,1,0,1,1,0,0,2,0,1.6,1.6,0.6,2.2,33,80,17,0.05,0.00,0.05,0.05,0.05,0.08,0.03,0.11,0.08,0.11,Matches
Nicolò Casale,Bologna,2020-2021,22,Hellas Verona,it ITA,1. Serie A,10th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolò Casale,Bologna,2021-2022,23,Hellas Verona,it ITA,1. Serie A,9th,36,30,2586,28.7,0,1,1,0,0,0,10,0,0.7,0.7,1.0,1.7,40,91,29,0.00,0.03,0.03,0.00,0.03,0.03,0.03,0.06,0.03,0.06,Matches
Nicolò Casale,Bologna,2022-2023,24,Lazio,it ITA,1. Serie A,2nd,29,27,2437,27.1,1,1,2,1,0,0,6,0,0.6,0.6,0.3,0.9,11,70,3,0.04,0.04,0.07,0.04,0.07,0.02,0.01,0.03,0.02,0.03,Matches
Nicolò Casale,Bologna,2023-2024,25,Lazio,it ITA,1. Serie A,7th,20,16,1559,17.3,0,0,0,0,0,0,5,0,0.9,0.9,0.0,0.9,20,49,4,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Nicolò Casale,Bologna,2024-2025,26,Lazio,it ITA,1. Serie A,7th,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Nicolò Casale,Bologna,2024-2025,26,Bologna,it ITA,1. Serie A,9th,15,9,900,10.0,0,1,1,0,0,0,1,0,0.5,0.5,0.5,0.9,3,29,2,0.00,0.10,0.10,0.00,0.10,0.05,0.05,0.09,0.05,0.09,Matches
Nicolò Casale,Bologna,2025-2026,27,Bologna,it ITA,1. Serie A,16th,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nicolò Casale,Bologna,8 Seasons,8 Seasons,6 Clubs,,2 Leagues,,148,121,10982,122.0,2,3,5,2,0,0,26,0,5.5,5.5,2.8,8.2,125,445,57,0.02,0.02,0.04,0.02,0.04,0.04,0.02,0.07,0.04,0.07,
Nicolò Casale,Bologna,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolò Casale,Bologna,Lazio (3 Seasons),Lazio (3 Seasons),Lazio (3 Seasons),,1 League,,51,45,4131,45.9,1,1,2,1,0,0,11,0,1.5,1.5,0.4,1.9,31,125,7,0.02,0.02,0.04,0.02,0.04,0.03,0.01,0.04,0.03,0.04,
Nicolò Casale,Bologna,Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),,1 League,,36,30,2586,28.7,0,1,1,0,0,0,10,0,0.7,0.7,1.0,1.7,40,91,29,0.00,0.03,0.03,0.00,0.03,0.03,0.03,0.06,0.03,0.06,
Nicolò Casale,Bologna,Bologna (2 Seasons),Bologna (2 Seasons),Bologna (2 Seasons),,1 League,,16,10,945,10.5,0,1,1,0,0,0,1,0,0.5,0.5,0.5,0.9,3,31,2,0.00,0.10,0.10,0.00,0.10,0.04,0.04,0.09,0.04,0.09,
Nicolò Casale,Bologna,Empoli (1 Season),Empoli (1 Season),Empoli (1 Season),,1 League,,24,20,1853,20.6,1,0,1,1,0,0,2,0,1.6,1.6,0.6,2.2,33,80,17,0.05,0.00,0.05,0.05,0.05,0.08,0.03,0.11,0.08,0.11,
Nicolò Casale,Bologna,Venezia (1 Season),Venezia (1 Season),Venezia (1 Season),,1 League,,20,16,1455,16.2,0,0,0,0,0,0,2,0,1.1,1.1,0.3,1.5,18,118,2,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,
Nicolò Casale,Bologna,Perugia (1 Season),Perugia (1 Season),Perugia (1 Season),,1 League,,1,0,12,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Nicolò Casale,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolò Casale,Bologna,Serie A (6 Seasons),Serie A (6 Seasons),Serie A (6 Seasons),,,,103,85,7662,85.1,1,3,4,1,0,0,22,0,2.7,2.7,1.8,4.5,74,247,38,0.01,0.04,0.05,0.01,0.05,0.03,0.02,0.05,0.03,0.05,
Nicolò Casale,Bologna,Serie B (3 Seasons),Serie B (3 Seasons),Serie B (3 Seasons),,,,45,36,3320,36.9,1,0,1,1,0,0,4,0,2.8,2.8,0.9,3.7,51,198,19,0.03,0.00,0.03,0.03,0.03,0.08,0.03,0.10,0.08,0.10,
