Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Santiago Castro,Bologna,2021,16,Vélez Sarsfield,ar ARG,1. Liga Argentina,5th,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Santiago Castro,Bologna,2022,17,Vélez Sarsfield,ar ARG,1. Liga Argentina,26th,17,4,483,5.4,1,1,2,1,0,0,4,0,2.0,2.0,0.3,2.3,10,14,45,0.19,0.19,0.37,0.19,0.37,0.38,0.05,0.43,0.38,0.43,Matches
Santiago Castro,Bologna,2023,18,Vélez Sarsfield,ar ARG,1. Liga Argentina,25th,21,5,640,7.1,1,1,2,1,0,0,1,0,1.0,1.0,0.4,1.4,13,13,52,0.14,0.14,0.28,0.14,0.28,0.14,0.05,0.20,0.14,0.20,Matches
Santiago Castro,Bologna,2023-2024,18,Bologna,it ITA,1. Serie A,5th,8,2,242,2.7,1,1,2,1,0,0,1,0,1.0,1.0,0.5,1.5,1,1,15,0.37,0.37,0.74,0.37,0.74,0.35,0.20,0.55,0.35,0.55,Matches
Santiago Castro,Bologna,2024-2025,19,Bologna,it ITA,1. Serie A,9th,36,27,2294,25.5,8,4,12,8,0,1,7,0,7.7,6.9,2.9,9.8,17,39,136,0.31,0.16,0.47,0.31,0.47,0.30,0.11,0.41,0.27,0.38,Matches
Santiago Castro,Bologna,2025-2026,20,Bologna,it ITA,1. Serie A,16th,1,0,61,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,3,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,Matches
Santiago Castro,Bologna,5 Seasons,5 Seasons,2 Clubs,,2 Leagues,,85,38,3729,41.4,11,7,18,11,0,1,13,0,11.9,11.1,4.1,15.2,42,67,254,0.27,0.17,0.43,0.27,0.43,0.29,0.10,0.39,0.27,0.37,
Santiago Castro,Bologna,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Santiago Castro,Bologna,Bologna (3 Seasons),Bologna (3 Seasons),Bologna (3 Seasons),,1 League,,45,29,2597,28.9,9,5,14,9,0,1,8,0,8.8,8.1,3.4,11.5,19,40,154,0.31,0.17,0.49,0.31,0.49,0.31,0.12,0.43,0.28,0.40,
Santiago Castro,Bologna,Vélez Sarsfield (3 Seasons),Vélez Sarsfield (3 Seasons),Vélez Sarsfield (3 Seasons),,1 League,,40,9,1132,12.6,2,2,4,2,0,0,5,0,3.0,3.0,0.7,3.7,23,27,100,0.16,0.16,0.32,0.16,0.32,0.24,0.05,0.30,0.24,0.30,
Santiago Castro,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Castro,Bologna,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,45,29,2597,28.9,9,5,14,9,0,1,8,0,8.8,8.1,3.4,11.5,19,40,154,0.31,0.17,0.49,0.31,0.49,0.31,0.12,0.43,0.28,0.40,
Santiago Castro,Bologna,Liga Argentina (3 Seasons),Liga Argentina (3 Seasons),Liga Argentina (3 Seasons),,,,40,9,1132,12.6,2,2,4,2,0,0,5,0,3.0,3.0,0.7,3.7,23,27,100,0.16,0.16,0.32,0.16,0.32,0.24,0.05,0.30,0.24,0.30,
