Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tommaso Corazza,Bologna,2023-2024,19,Bologna,it ITA,1. Serie A,5th,9,1,195,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,10,14,9,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches
Tommaso Corazza,Bologna,2024-2025,20,Salernitana,it ITA,2. Serie B,16th,13,10,950,10.6,1,4,5,1,0,0,1,0,0.9,0.9,2.7,3.6,13,29,62,0.09,0.38,0.47,0.09,0.47,0.09,0.26,0.35,0.09,0.35,Matches
Tommaso Corazza,Bologna,2024-2025,20,Bologna,it ITA,1. Serie A,9th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tommaso Corazza,Bologna,2025-2026,21,Bologna,it ITA,1. Serie A,16th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tommaso Corazza,Bologna,3 Seasons,3 Seasons,2 Clubs,,2 Leagues,,22,11,1145,12.7,1,4,5,1,0,0,2,0,1.0,1.0,2.8,3.8,23,43,71,0.08,0.31,0.39,0.08,0.39,0.08,0.22,0.30,0.08,0.30,
Tommaso Corazza,Bologna,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tommaso Corazza,Bologna,Bologna (3 Seasons),Bologna (3 Seasons),Bologna (3 Seasons),,1 League,,9,1,195,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,10,14,9,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,
Tommaso Corazza,Bologna,Salernitana (1 Season),Salernitana (1 Season),Salernitana (1 Season),,1 League,,13,10,950,10.6,1,4,5,1,0,0,1,0,0.9,0.9,2.7,3.6,13,29,62,0.09,0.38,0.47,0.09,0.47,0.09,0.26,0.35,0.09,0.35,
Tommaso Corazza,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommaso Corazza,Bologna,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,9,1,195,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,10,14,9,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,
Tommaso Corazza,Bologna,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,13,10,950,10.6,1,4,5,1,0,0,1,0,0.9,0.9,2.7,3.6,13,29,62,0.09,0.38,0.47,0.09,0.47,0.09,0.26,0.35,0.09,0.35,
