Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gabriele Zappa,Cagliari,2019-2020,19,Pescara,it ITA,2. Serie B,17th,23,22,1996,22.2,5,1,6,5,0,0,0,0,2.8,2.8,2.5,5.3,64,66,182,0.23,0.05,0.27,0.23,0.27,0.13,0.11,0.24,0.13,0.24,Matches
Gabriele Zappa,Cagliari,2020-2021,20,Cagliari,it ITA,1. Serie A,16th,34,27,2395,26.6,0,4,4,0,0,0,3,0,0.6,0.6,4.3,4.8,49,108,141,0.00,0.15,0.15,0.00,0.15,0.02,0.16,0.18,0.02,0.18,Matches
Gabriele Zappa,Cagliari,2021-2022,21,Cagliari,it ITA,1. Serie A,18th,25,11,1144,12.7,0,0,0,0,0,0,4,1,0.6,0.6,0.7,1.3,22,41,37,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
Gabriele Zappa,Cagliari,2022-2023,22,Cagliari,it ITA,2. Serie B,5th,29,27,2347,26.1,3,1,4,3,0,0,7,0,2.1,2.1,2.0,4.1,75,149,112,0.12,0.04,0.15,0.12,0.15,0.08,0.08,0.16,0.08,0.16,Matches
Gabriele Zappa,Cagliari,2023-2024,23,Cagliari,it ITA,1. Serie A,16th,38,25,2561,28.5,1,3,4,1,0,0,2,0,1.5,1.5,3.3,4.8,35,99,84,0.04,0.11,0.14,0.04,0.14,0.05,0.12,0.17,0.05,0.17,Matches
Gabriele Zappa,Cagliari,2024-2025,24,Cagliari,it ITA,1. Serie A,15th,37,35,3060,34.0,2,0,2,2,0,0,4,0,0.9,0.9,3.6,4.5,57,146,82,0.06,0.00,0.06,0.06,0.06,0.03,0.11,0.13,0.03,0.13,Matches
Gabriele Zappa,Cagliari,2025-2026,25,Cagliari,it ITA,1. Serie A,10th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Gabriele Zappa,Cagliari,7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,187,148,13593,151.0,11,9,20,11,0,0,20,1,8.4,8.4,16.4,24.8,303,614,640,0.07,0.06,0.13,0.07,0.13,0.06,0.11,0.16,0.06,0.16,
Gabriele Zappa,Cagliari,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gabriele Zappa,Cagliari,Cagliari (6 Seasons),Cagliari (6 Seasons),Cagliari (6 Seasons),,2 Leagues,,164,126,11597,128.9,6,8,14,6,0,0,20,1,5.6,5.6,13.9,19.5,239,548,458,0.05,0.06,0.11,0.05,0.11,0.04,0.11,0.15,0.04,0.15,
Gabriele Zappa,Cagliari,Pescara (1 Season),Pescara (1 Season),Pescara (1 Season),,1 League,,23,22,1996,22.2,5,1,6,5,0,0,0,0,2.8,2.8,2.5,5.3,64,66,182,0.23,0.05,0.27,0.23,0.27,0.13,0.11,0.24,0.13,0.24,
Gabriele Zappa,Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriele Zappa,Cagliari,Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,135,99,9250,102.8,3,7,10,3,0,0,13,1,3.5,3.5,11.9,15.4,164,399,346,0.03,0.07,0.10,0.03,0.10,0.03,0.12,0.15,0.03,0.15,
Gabriele Zappa,Cagliari,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,52,49,4343,48.3,8,2,10,8,0,0,7,0,4.9,4.9,4.5,9.4,139,215,294,0.17,0.04,0.21,0.17,0.21,0.10,0.09,0.20,0.10,0.20,
