Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gennaro Borrelli,Cagliari,2018-2019,18,Pescara,it ITA,2. Serie B,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gennaro Borrelli,Cagliari,2019-2020,19,Pescara,it ITA,2. Serie B,17th,20,9,843,9.4,1,0,1,1,0,0,2,0,2.4,2.4,0.2,2.6,5,10,47,0.11,0.00,0.11,0.11,0.11,0.26,0.02,0.28,0.26,0.28,Matches
Gennaro Borrelli,Cagliari,2020-2021,20,Cosenza,it ITA,2. Serie B,17th,2,1,72,0.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,0,1,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.12,0.08,0.12,Matches
Gennaro Borrelli,Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gennaro Borrelli,Cagliari,2022-2023,22,Frosinone,it ITA,2. Serie B,1st,23,4,597,6.6,6,1,7,5,1,1,6,0,3.5,2.7,0.3,3.0,7,11,38,0.90,0.15,1.06,0.75,0.90,0.53,0.04,0.57,0.41,0.46,Matches
Gennaro Borrelli,Cagliari,2023-2024,23,Frosinone,it ITA,1. Serie A,18th,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gennaro Borrelli,Cagliari,2023-2024,23,Brescia,it ITA,2. Serie B,8th,28,16,1450,16.1,9,2,11,8,1,1,4,0,6.7,5.9,1.1,7.0,10,19,66,0.56,0.12,0.68,0.50,0.62,0.41,0.07,0.48,0.37,0.43,Matches
Gennaro Borrelli,Cagliari,2024-2025,24,Brescia,it ITA,2. Serie B,18th,34,28,2544,28.3,6,1,7,5,1,1,8,0,8.3,7.5,1.7,9.2,34,44,128,0.21,0.04,0.25,0.18,0.21,0.29,0.06,0.35,0.27,0.33,Matches
Gennaro Borrelli,Cagliari,2025-2026,25,Cagliari,it ITA,1. Serie A,10th,1,1,80,0.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,1,2,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34,Matches
