Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matteo Prati,Cagliari,2022-2023,18,SPAL,it ITA,2. Serie B,19th,20,17,1476,16.4,2,1,3,2,0,0,4,0,1.2,1.2,1.0,2.2,11,66,23,0.12,0.06,0.18,0.12,0.18,0.07,0.06,0.13,0.07,0.13,Matches
Matteo Prati,Cagliari,2023-2024,19,Cagliari,it ITA,1. Serie A,16th,26,19,1972,21.9,1,1,2,1,0,0,4,0,2.0,2.0,0.8,2.8,8,66,17,0.05,0.05,0.09,0.05,0.09,0.09,0.03,0.13,0.09,0.13,Matches
Matteo Prati,Cagliari,2024-2025,20,Cagliari,it ITA,1. Serie A,15th,12,8,570,6.3,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,2,23,7,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.12,0.02,0.12,Matches
Matteo Prati,Cagliari,2025-2026,21,Cagliari,it ITA,1. Serie A,10th,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Matteo Prati,Cagliari,4 Seasons,4 Seasons,2 Clubs,,2 Leagues,,59,45,4078,45.3,3,2,5,3,0,0,9,0,3.3,3.3,2.5,5.8,21,157,47,0.07,0.04,0.11,0.07,0.11,0.07,0.05,0.13,0.07,0.13,
Matteo Prati,Cagliari,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matteo Prati,Cagliari,Cagliari (3 Seasons),Cagliari (3 Seasons),Cagliari (3 Seasons),,1 League,,39,28,2602,28.9,1,1,2,1,0,0,5,0,2.1,2.1,1.4,3.6,10,91,24,0.03,0.03,0.07,0.03,0.07,0.07,0.05,0.12,0.07,0.12,
Matteo Prati,Cagliari,SPAL (1 Season),SPAL (1 Season),SPAL (1 Season),,1 League,,20,17,1476,16.4,2,1,3,2,0,0,4,0,1.2,1.2,1.0,2.2,11,66,23,0.12,0.06,0.18,0.12,0.18,0.07,0.06,0.13,0.07,0.13,
Matteo Prati,Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Prati,Cagliari,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,39,28,2602,28.9,1,1,2,1,0,0,5,0,2.1,2.1,1.4,3.6,10,91,24,0.03,0.03,0.07,0.03,0.07,0.07,0.05,0.12,0.07,0.12,
Matteo Prati,Cagliari,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,20,17,1476,16.4,2,1,3,2,0,0,4,0,1.2,1.2,1.0,2.2,11,66,23,0.12,0.06,0.18,0.12,0.18,0.07,0.06,0.13,0.07,0.13,
