Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mattia Felici,Cagliari,2018-2019,17,Lecce,it ITA,2. Serie B,2nd,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mattia Felici,Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mattia Felici,Cagliari,2020-2021,19,Lecce,it ITA,2. Serie B,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mattia Felici,Cagliari,2021-2022,20,Lecce,it ITA,2. Serie B,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mattia Felici,Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mattia Felici,Cagliari,2023-2024,22,FeralpiSalò,it ITA,2. Serie B,19th,36,30,2657,29.5,4,5,9,4,0,0,7,1,2.2,2.2,5.2,7.5,131,89,219,0.14,0.17,0.30,0.14,0.30,0.08,0.18,0.25,0.08,0.25,Matches
Mattia Felici,Cagliari,2024-2025,23,Cagliari,it ITA,1. Serie A,15th,20,9,925,10.3,0,3,3,0,0,0,1,0,0.6,0.6,1.0,1.6,39,19,75,0.00,0.29,0.29,0.00,0.29,0.06,0.10,0.16,0.06,0.16,Matches
Mattia Felici,Cagliari,2025-2026,24,Cagliari,it ITA,1. Serie A,10th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mattia Felici,Cagliari,6 Seasons,6 Seasons,3 Clubs,,2 Leagues,,57,39,3603,40.0,4,8,12,4,0,0,8,1,2.8,2.8,6.3,9.1,171,108,296,0.10,0.20,0.30,0.10,0.30,0.07,0.16,0.23,0.07,0.23,
Mattia Felici,Cagliari,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mattia Felici,Cagliari,Lecce (3 Seasons),Lecce (3 Seasons),Lecce (3 Seasons),,1 League,,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Mattia Felici,Cagliari,Cagliari (2 Seasons),Cagliari (2 Seasons),Cagliari (2 Seasons),,1 League,,20,9,925,10.3,0,3,3,0,0,0,1,0,0.6,0.6,1.0,1.6,39,19,75,0.00,0.29,0.29,0.00,0.29,0.06,0.10,0.16,0.06,0.16,
Mattia Felici,Cagliari,FeralpiSalò (1 Season),FeralpiSalò (1 Season),FeralpiSalò (1 Season),,1 League,,36,30,2657,29.5,4,5,9,4,0,0,7,1,2.2,2.2,5.2,7.5,131,89,219,0.14,0.17,0.30,0.14,0.30,0.08,0.18,0.25,0.08,0.25,
Mattia Felici,Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mattia Felici,Cagliari,Serie B (4 Seasons),Serie B (4 Seasons),Serie B (4 Seasons),,,,37,30,2678,29.8,4,5,9,4,0,0,7,1,2.2,2.2,5.2,7.5,132,89,221,0.13,0.17,0.30,0.13,0.30,0.07,0.18,0.25,0.07,0.25,
Mattia Felici,Cagliari,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,20,9,925,10.3,0,3,3,0,0,0,1,0,0.6,0.6,1.0,1.6,39,19,75,0.00,0.29,0.29,0.00,0.29,0.06,0.10,0.16,0.06,0.16,
