Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sebastiano Esposito,Cagliari,2019-2020,17,Inter,it ITA,1. Serie A,2nd,7,2,199,2.2,1,0,1,0,1,1,2,0,1.8,1.0,0.1,1.1,2,5,19,0.45,0.00,0.45,0.00,0.00,0.81,0.06,0.87,0.45,0.52,Matches
Sebastiano Esposito,Cagliari,2020-2021,18,SPAL,it ITA,2. Serie B,9th,10,5,492,5.5,1,0,1,1,0,0,2,0,1.5,1.5,0.1,1.6,16,11,39,0.18,0.00,0.18,0.18,0.18,0.29,0.02,0.31,0.29,0.31,Matches
Sebastiano Esposito,Cagliari,2020-2021,18,Venezia,it ITA,2. Serie B,5th,18,8,792,8.8,2,1,3,2,0,0,2,0,0.8,0.8,1.9,2.7,23,17,68,0.23,0.11,0.34,0.23,0.34,0.09,0.22,0.30,0.09,0.30,Matches
Sebastiano Esposito,Cagliari,2021-2022,19,Basel,ch SUI,1. Super Lg,2nd,23,18,1455,16.2,6,5,11,5,1,1,1,1,,,,,,,,0.37,0.31,0.68,0.31,0.62,,,,,,Matches
Sebastiano Esposito,Cagliari,2022-2023,20,Bari,it ITA,2. Serie B,3rd,11,9,603,6.7,4,2,6,4,0,0,2,0,2.1,2.1,0.7,2.8,11,18,39,0.60,0.30,0.90,0.60,0.90,0.31,0.10,0.41,0.31,0.41,Matches
Sebastiano Esposito,Cagliari,2022-2023,20,Anderlecht,be BEL,1. Pro League A,11th,14,5,514,5.7,1,0,1,1,0,0,0,0,1.4,1.4,1.0,2.4,4,16,41,0.18,0.00,0.18,0.18,0.18,0.25,0.17,0.42,0.25,0.42,Matches
Sebastiano Esposito,Cagliari,2023-2024,21,Sampdoria,it ITA,2. Serie B,7th,22,18,1570,17.4,6,4,10,6,0,0,5,0,4.4,4.4,2.0,6.5,17,68,122,0.34,0.23,0.57,0.34,0.57,0.25,0.12,0.37,0.25,0.37,Matches
Sebastiano Esposito,Cagliari,2024-2025,22,Empoli,it ITA,1. Serie A,18th,33,27,2331,25.9,8,0,8,7,1,2,1,0,5.7,4.2,2.1,6.3,31,93,106,0.31,0.00,0.31,0.27,0.27,0.22,0.08,0.30,0.16,0.24,Matches
Sebastiano Esposito,Cagliari,2025-2026,23,Cagliari,it ITA,1. Serie A,10th,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,3,3,0.00,0.00,0.00,0.00,0.00,0.06,0.18,0.24,0.06,0.24,Matches
Sebastiano Esposito,Cagliari,7 Seasons,7 Seasons,9 Clubs,,4 Leagues,,139,93,8016,89.1,29,12,41,26,3,4,15,1,17.8,15.5,8.1,23.6,104,231,437,0.33,0.13,0.46,0.29,0.43,0.25,0.11,0.36,0.21,0.32,
Sebastiano Esposito,Cagliari,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sebastiano Esposito,Cagliari,Empoli (1 Season),Empoli (1 Season),Empoli (1 Season),,1 League,,33,27,2331,25.9,8,0,8,7,1,2,1,0,5.7,4.2,2.1,6.3,31,93,106,0.31,0.00,0.31,0.27,0.27,0.22,0.08,0.30,0.16,0.24,
Sebastiano Esposito,Cagliari,Basel (1 Season),Basel (1 Season),Basel (1 Season),,1 League,,23,18,1455,16.2,6,5,11,5,1,1,1,1,,,,,,,,0.37,0.31,0.68,0.31,0.62,,,,,,
Sebastiano Esposito,Cagliari,Sampdoria (1 Season),Sampdoria (1 Season),Sampdoria (1 Season),,1 League,,22,18,1570,17.4,6,4,10,6,0,0,5,0,4.4,4.4,2.0,6.5,17,68,122,0.34,0.23,0.57,0.34,0.57,0.25,0.12,0.37,0.25,0.37,
Sebastiano Esposito,Cagliari,Venezia (1 Season),Venezia (1 Season),Venezia (1 Season),,1 League,,18,8,792,8.8,2,1,3,2,0,0,2,0,0.8,0.8,1.9,2.7,23,17,68,0.23,0.11,0.34,0.23,0.34,0.09,0.22,0.30,0.09,0.30,
Sebastiano Esposito,Cagliari,Anderlecht (1 Season),Anderlecht (1 Season),Anderlecht (1 Season),,1 League,,14,5,514,5.7,1,0,1,1,0,0,0,0,1.4,1.4,1.0,2.4,4,16,41,0.18,0.00,0.18,0.18,0.18,0.25,0.17,0.42,0.25,0.42,
