Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Semih Kılıçsoy,Cagliari,2022-2023,16,Beşiktaş,tr TUR,1. Süper Lig,3rd,4,0,44,0.5,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Semih Kılıçsoy,Cagliari,2023-2024,17,Beşiktaş,tr TUR,1. Süper Lig,6th,23,20,1677,18.6,11,3,14,11,0,0,5,0,,,,,,,,0.59,0.16,0.75,0.59,0.75,,,,,,Matches
Semih Kılıçsoy,Cagliari,2024-2025,18,Beşiktaş,tr TUR,1. Süper Lig,4th,32,11,1315,14.6,3,2,5,2,1,1,3,1,,,,,,,,0.21,0.14,0.34,0.14,0.27,,,,,,Matches
Semih Kılıçsoy,Cagliari,2025-2026,19,Cagliari,it ITA,1. Serie A,10th,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.91,0.00,0.91,Matches
Semih Kılıçsoy,Cagliari,4 Seasons,4 Seasons,2 Clubs,,2 Leagues,,60,31,3046,33.8,14,5,19,13,1,1,10,1,0.0,0.0,0.1,0.1,0,0,2,0.41,0.15,0.56,0.38,0.53,0.00,0.91,0.91,0.00,0.91,
Semih Kılıçsoy,Cagliari,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Semih Kılıçsoy,Cagliari,Beşiktaş (3 Seasons),Beşiktaş (3 Seasons),Beşiktaş (3 Seasons),,1 League,,59,31,3036,33.7,14,5,19,13,1,1,9,1,,,,,,,,0.42,0.15,0.56,0.39,0.53,,,,,,
Semih Kılıçsoy,Cagliari,Cagliari (1 Season),Cagliari (1 Season),Cagliari (1 Season),,1 League,,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.91,0.00,0.91,
Semih Kılıçsoy,Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semih Kılıçsoy,Cagliari,Süper Lig (3 Seasons),Süper Lig (3 Seasons),Süper Lig (3 Seasons),,,,59,31,3036,33.7,14,5,19,13,1,1,9,1,,,,,,,,0.42,0.15,0.56,0.39,0.53,,,,,,
Semih Kılıçsoy,Cagliari,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.91,0.00,0.91,
