Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Zito Luvumbo,Cagliari,2021-2022,19,Como,it ITA,2. Serie B,13th,3,0,111,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,3,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Zito Luvumbo,Cagliari,2021-2022,19,Cagliari,it ITA,1. Serie A,18th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Zito Luvumbo,Cagliari,2022-2023,20,Cagliari,it ITA,2. Serie B,5th,36,15,1560,17.3,3,2,5,3,0,0,4,0,3.3,3.3,2.8,6.1,70,39,202,0.17,0.12,0.29,0.17,0.29,0.19,0.16,0.35,0.19,0.35,Matches
Zito Luvumbo,Cagliari,2023-2024,21,Cagliari,it ITA,1. Serie A,16th,30,19,1946,21.6,4,5,9,4,0,0,5,0,4.0,4.0,3.1,7.1,85,21,181,0.18,0.23,0.42,0.18,0.42,0.18,0.14,0.33,0.18,0.33,Matches
Zito Luvumbo,Cagliari,2024-2025,22,Cagliari,it ITA,1. Serie A,15th,26,19,1606,17.8,2,2,4,2,0,0,2,0,2.1,2.1,3.1,5.2,70,31,125,0.11,0.11,0.22,0.11,0.22,0.12,0.17,0.29,0.12,0.29,Matches
Zito Luvumbo,Cagliari,2025-2026,23,Cagliari,it ITA,1. Serie A,10th,1,0,30,0.3,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,0,6,0.00,0.00,0.00,0.00,0.00,1.05,0.00,1.05,1.05,1.05,Matches
Zito Luvumbo,Cagliari,5 Seasons,5 Seasons,2 Clubs,,2 Leagues,,96,53,5253,58.4,9,9,18,9,0,0,11,0,9.7,9.7,9.0,18.7,232,94,523,0.15,0.15,0.31,0.15,0.31,0.17,0.15,0.32,0.17,0.32,
Zito Luvumbo,Cagliari,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Zito Luvumbo,Cagliari,Cagliari (5 Seasons),Cagliari (5 Seasons),Cagliari (5 Seasons),,2 Leagues,,93,53,5142,57.1,9,9,18,9,0,0,11,0,9.7,9.7,9.0,18.7,228,91,514,0.16,0.16,0.32,0.16,0.32,0.17,0.16,0.33,0.17,0.33,
Zito Luvumbo,Cagliari,Como (1 Season),Como (1 Season),Como (1 Season),,1 League,,3,0,111,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,3,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Zito Luvumbo,Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zito Luvumbo,Cagliari,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,57,38,3582,39.8,6,7,13,6,0,0,7,0,6.4,6.4,6.2,12.6,158,52,312,0.15,0.18,0.33,0.15,0.33,0.16,0.16,0.32,0.16,0.32,
Zito Luvumbo,Cagliari,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,39,15,1671,18.6,3,2,5,3,0,0,4,0,3.3,3.3,2.8,6.1,74,42,211,0.16,0.11,0.27,0.16,0.27,0.18,0.15,0.33,0.18,0.33,
