Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alberto Moreno,Como,2011-2012,19,Sevilla,es ESP,1. La Liga,9th,1,0,13,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Alberto Moreno,Como,2012-2013,20,Sevilla,es ESP,1. La Liga,9th,15,12,1110,12.3,0,2,2,0,0,0,5,0,,,,,,,,0.00,0.16,0.16,0.00,0.16,,,,,,Matches
Alberto Moreno,Como,2013-2014,21,Sevilla,es ESP,1. La Liga,5th,28,26,2324,25.8,3,0,3,3,0,0,5,1,,,,,,,,0.12,0.00,0.12,0.12,0.12,,,,,,Matches
Alberto Moreno,Como,2014-2015,22,Liverpool,eng ENG,1. Premier League,6th,28,26,2254,25.0,2,0,2,2,0,0,6,0,,,,,,,,0.08,0.00,0.08,0.08,0.08,,,,,,Matches
Alberto Moreno,Como,2015-2016,23,Liverpool,eng ENG,1. Premier League,8th,32,28,2548,28.3,1,4,5,1,0,0,3,0,,,,,,,,0.04,0.14,0.18,0.04,0.18,,,,,,Matches
Alberto Moreno,Como,2016-2017,24,Liverpool,eng ENG,1. Premier League,4th,12,2,305,3.4,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Alberto Moreno,Como,2017-2018,25,Liverpool,eng ENG,1. Premier League,4th,16,14,1266,14.1,0,0,0,0,0,0,1,0,0.5,0.5,0.8,1.3,32,59,81,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.09,0.04,0.09,Matches
Alberto Moreno,Como,2018-2019,26,Liverpool,eng ENG,1. Premier League,2nd,2,2,154,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,3,12,10,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.10,0.02,0.10,Matches
Alberto Moreno,Como,2019-2020,27,Villarreal,es ESP,1. La Liga,5th,18,17,1471,16.3,0,0,0,0,0,0,6,0,0.9,0.9,0.4,1.2,51,63,70,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.08,0.05,0.08,Matches
Alberto Moreno,Como,2020-2021,28,Villarreal,es ESP,1. La Liga,7th,5,2,193,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,10,9,16,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
Alberto Moreno,Como,2021-2022,29,Villarreal,es ESP,1. La Liga,7th,24,13,1223,13.6,3,2,5,3,0,0,3,0,3.1,3.1,1.9,5.0,34,53,87,0.22,0.15,0.37,0.22,0.37,0.23,0.14,0.37,0.23,0.37,Matches
Alberto Moreno,Como,2022-2023,30,Villarreal,es ESP,1. La Liga,5th,24,14,1296,14.4,0,1,1,0,0,0,7,0,0.9,0.9,1.4,2.3,41,47,97,0.00,0.07,0.07,0.00,0.07,0.07,0.10,0.16,0.07,0.16,Matches
Alberto Moreno,Como,2023-2024,31,Villarreal,es ESP,1. La Liga,8th,27,17,1484,16.5,2,2,4,2,0,0,5,2,0.7,0.7,1.6,2.4,26,55,79,0.12,0.12,0.24,0.12,0.24,0.04,0.10,0.14,0.04,0.14,Matches
Alberto Moreno,Como,2024-2025,32,Como,it ITA,1. Serie A,10th,24,21,1727,19.2,0,0,0,0,0,0,4,0,0.4,0.4,1.2,1.6,23,81,58,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
Alberto Moreno,Como,2025-2026,33,Como,it ITA,1. Serie A,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alberto Moreno,Como,15 Seasons,15 Seasons,4 Clubs,,3 Leagues,,256,194,17368,193.0,11,11,22,11,0,0,46,3,6.8,6.8,7.4,14.2,220,379,498,0.06,0.06,0.11,0.06,0.11,0.07,0.08,0.15,0.07,0.15,
Alberto Moreno,Como,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alberto Moreno,Como,Villarreal (5 Seasons),Villarreal (5 Seasons),Villarreal (5 Seasons),,1 League,,98,63,5667,63.0,5,5,10,5,0,0,21,2,5.9,5.9,5.3,11.1,162,227,349,0.08,0.08,0.16,0.08,0.16,0.09,0.08,0.18,0.09,0.18,
