Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Edoardo Goldaniga,Como,2014-2015,20,Perugia,it ITA,2. Serie B,6th,35,35,3145,34.9,3,0,3,3,0,0,10,1,,,,,,,,0.09,0.00,0.09,0.09,0.09,,,,,,Matches
Edoardo Goldaniga,Como,2015-2016,21,Palermo,it ITA,1. Serie A,16th,17,14,1213,13.5,2,0,2,2,0,0,5,0,,,,,,,,0.15,0.00,0.15,0.15,0.15,,,,,,Matches
Edoardo Goldaniga,Como,2016-2017,22,Palermo,it ITA,1. Serie A,19th,28,26,2326,25.8,2,0,2,2,0,0,11,1,,,,,,,,0.08,0.00,0.08,0.08,0.08,,,,,,Matches
Edoardo Goldaniga,Como,2017-2018,23,Sassuolo,it ITA,1. Serie A,11th,13,13,1153,12.8,1,0,1,1,0,0,7,2,0.4,0.4,0.2,0.6,2,18,2,0.08,0.00,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04,Matches
Edoardo Goldaniga,Como,2018-2019,24,Frosinone,it ITA,1. Serie A,19th,29,29,2610,29.0,1,1,2,1,0,0,6,0,2.0,2.0,0.8,2.8,19,87,21,0.03,0.03,0.07,0.03,0.07,0.07,0.03,0.10,0.07,0.10,Matches
Edoardo Goldaniga,Como,2019-2020,25,Sassuolo,it ITA,1. Serie A,8th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Edoardo Goldaniga,Como,2019-2020,25,Genoa,it ITA,1. Serie A,17th,13,8,784,8.7,1,0,1,1,0,0,4,0,1.0,1.0,0.3,1.3,10,34,7,0.11,0.00,0.11,0.11,0.11,0.12,0.03,0.15,0.12,0.15,Matches
Edoardo Goldaniga,Como,2020-2021,26,Genoa,it ITA,1. Serie A,11th,25,19,1857,20.6,0,1,1,0,0,0,8,0,0.5,0.5,0.8,1.3,21,68,41,0.00,0.05,0.05,0.00,0.05,0.02,0.04,0.06,0.02,0.06,Matches
Edoardo Goldaniga,Como,2021-2022,27,Sassuolo,it ITA,1. Serie A,11th,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Edoardo Goldaniga,Como,2021-2022,27,Cagliari,it ITA,1. Serie A,18th,11,11,934,10.4,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,3,35,12,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Edoardo Goldaniga,Como,2022-2023,28,Cagliari,it ITA,2. Serie B,5th,18,16,1376,15.3,0,0,0,0,0,0,4,0,0.5,0.5,0.1,0.6,5,46,5,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Edoardo Goldaniga,Como,2023-2024,29,Cagliari,it ITA,1. Serie A,16th,13,12,1011,11.2,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.7,9,50,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Edoardo Goldaniga,Como,2023-2024,29,Como,it ITA,2. Serie B,2nd,16,16,1440,16.0,2,0,2,2,0,0,4,0,1.3,1.3,0.0,1.4,15,46,8,0.12,0.00,0.12,0.12,0.12,0.08,0.00,0.08,0.08,0.08,Matches
Edoardo Goldaniga,Como,2024-2025,30,Como,it ITA,1. Serie A,10th,32,28,2532,28.1,1,0,1,1,0,0,12,1,2.5,2.5,0.3,2.8,20,81,8,0.04,0.00,0.04,0.04,0.04,0.09,0.01,0.10,0.09,0.10,Matches
Edoardo Goldaniga,Como,2025-2026,31,Como,it ITA,1. Serie A,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
