Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ignace Van Der Brempt,Como,2019-2020,17,Club Brugge,be BEL,1. First Division A,1st,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,Matches
Ignace Van Der Brempt,Como,2020-2021,18,Club NXT,be BEL,2. First Division B,8th,11,11,872,9.7,2,0,2,2,0,0,5,0,,,,,,,,0.21,0.00,0.21,0.21,0.21,,,,,,Matches
Ignace Van Der Brempt,Como,2020-2021,18,Club Brugge,be BEL,1. First Division A,1st,5,2,213,2.4,1,0,1,1,0,0,1,0,0.5,0.5,0.5,1.0,14,18,25,0.42,0.00,0.42,0.42,0.42,0.21,0.19,0.40,0.21,0.40,Matches
Ignace Van Der Brempt,Como,2021-2022,19,Club Brugge,be BEL,1. First Division A,2nd,12,4,357,4.0,0,1,1,0,0,0,2,1,0.2,0.2,0.5,0.7,8,8,17,0.00,0.25,0.25,0.00,0.25,0.05,0.12,0.17,0.05,0.17,Matches
Ignace Van Der Brempt,Como,2021-2022,19,RB Salzburg,at AUT,1. Bundesliga,1st,6,3,399,4.4,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.23,0.23,0.00,0.23,,,,,,Matches
Ignace Van Der Brempt,Como,2022-2023,20,RB Salzburg,at AUT,1. Bundesliga,1st,15,6,623,6.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Ignace Van Der Brempt,Como,2023-2024,21,Hamburger SV,de GER,2. 2. Bundesliga,4th,23,22,1774,19.7,0,3,3,0,0,0,3,0,,,,,,,,0.00,0.15,0.15,0.00,0.15,,,,,,Matches
Ignace Van Der Brempt,Como,2024-2025,22,RB Salzburg,at AUT,1. Bundesliga,2nd,1,1,67,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Ignace Van Der Brempt,Como,2024-2025,22,Como,it ITA,1. Serie A,10th,20,14,1257,14.0,0,1,1,0,0,0,3,0,0.5,0.5,0.5,0.9,19,42,34,0.00,0.07,0.07,0.00,0.07,0.03,0.03,0.07,0.03,0.07,Matches
