Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ivan Azón,Como,2020-2021,17,Zaragoza,es ESP,2. La Liga 2,15th,30,10,1066,11.8,3,0,3,3,0,0,2,0,0.25,0.00,0.25,0.25,0.25,Matches
Ivan Azón,Como,2021-2022,18,Zaragoza,es ESP,2. La Liga 2,10th,35,15,1418,15.8,7,1,8,7,0,0,2,0,0.44,0.06,0.51,0.44,0.51,Matches
Ivan Azón,Como,2022-2023,19,Zaragoza,es ESP,2. La Liga 2,13th,19,13,1071,11.9,3,1,4,3,0,0,0,0,0.25,0.08,0.34,0.25,0.34,Matches
Ivan Azón,Como,2023-2024,20,Zaragoza,es ESP,2. La Liga 2,15th,36,30,2456,27.3,5,1,6,5,0,0,1,0,0.18,0.04,0.22,0.18,0.22,Matches
Ivan Azón,Como,2024-2025,21,Zaragoza,es ESP,2. La Liga 2,18th,24,15,1457,16.2,7,2,9,7,0,0,2,0,0.43,0.12,0.56,0.43,0.56,Matches
Ivan Azón,Como,2024-2025,21,Como,it ITA,1. Serie A,10th,0,0,,,,,,,,,,,,,,,,Matches
Ivan Azón,Como,2025-2026,22,Como,it ITA,1. Serie A,4th,0,0,,,,,,,,,,,,,,,,Matches
Ivan Azón,Como,6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,144,83,7468,83.0,25,5,30,25,0,0,7,0,0.30,0.06,0.36,0.30,0.36,
Ivan Azón,Como,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ivan Azón,Como,Zaragoza (5 Seasons),Zaragoza (5 Seasons),Zaragoza (5 Seasons),,1 League,,144,83,7468,83.0,25,5,30,25,0,0,7,0,0.30,0.06,0.36,0.30,0.36,
Ivan Azón,Como,Como (2 Seasons),Como (2 Seasons),Como (2 Seasons),,1 League,,0,0,,,,,,,,,,,,,,,,
Ivan Azón,Como,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Azón,Como,La Liga 2 (5 Seasons),La Liga 2 (5 Seasons),La Liga 2 (5 Seasons),,,,144,83,7468,83.0,25,5,30,25,0,0,7,0,0.30,0.06,0.36,0.30,0.36,
Ivan Azón,Como,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,0,0,,,,,,,,,,,,,,,,
