Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ivan Smolčić,Como,2018-2019,17,Rijeka,hr CRO,1. 1. HNL,2nd,1,0,8,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Ivan Smolčić,Como,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Smolčić,Como,2021-2022,20,Hrvatski Dragovoljac,hr CRO,1. 1. HNL,10th,15,15,1350,15.0,0,,,0,0,0,0,0,,,,,,,,0.00,,,0.00,,,,,,,Matches
Ivan Smolčić,Como,2021-2022,20,Rijeka,hr CRO,1. 1. HNL,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ivan Smolčić,Como,2022-2023,21,Rijeka,hr CRO,1. HNL,4th,21,14,1380,15.3,0,1,1,0,0,0,2,0,,,,,,,,0.00,0.07,0.07,0.00,0.07,,,,,,Matches
Ivan Smolčić,Como,2023-2024,22,Rijeka,hr CRO,1. HNL,2nd,30,28,2633,29.3,0,2,2,0,0,0,9,0,,,,,,,,0.00,0.07,0.07,0.00,0.07,,,,,,Matches
Ivan Smolčić,Como,2024-2025,23,Rijeka,hr CRO,1. HNL,1st,18,17,1563,17.4,1,2,3,1,0,0,4,0,,,,,,,,0.06,0.12,0.17,0.06,0.17,,,,,,Matches
Ivan Smolčić,Como,2024-2025,23,Como,it ITA,1. Serie A,10th,9,7,630,7.0,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.6,3,23,9,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
Ivan Smolčić,Como,2025-2026,24,Como,it ITA,1. Serie A,4th,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ivan Smolčić,Como,6 Seasons,6 Seasons,3 Clubs,,2 Leagues,,95,81,7585,84.3,1,5,6,1,0,0,17,0,0.4,0.4,0.1,0.6,3,24,9,0.01,0.07,0.09,0.01,0.09,0.06,0.02,0.08,0.06,0.08,
Ivan Smolčić,Como,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ivan Smolčić,Como,Rijeka (5 Seasons),Rijeka (5 Seasons),Rijeka (5 Seasons),,1 League,,70,59,5584,62.0,1,5,6,1,0,0,15,0,,,,,,,,0.02,0.08,0.10,0.02,0.10,,,,,,
Ivan Smolčić,Como,Como (2 Seasons),Como (2 Seasons),Como (2 Seasons),,1 League,,10,7,651,7.2,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.6,3,24,9,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,
Ivan Smolčić,Como,Hrvatski Dragovoljac (1 Season),Hrvatski Dragovoljac (1 Season),Hrvatski Dragovoljac (1 Season),,1 League,,15,15,1350,15.0,0,,,0,0,0,0,0,,,,,,,,0.00,,,0.00,,,,,,,
Ivan Smolčić,Como,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Smolčić,Como,1. HNL (5 Seasons),1. HNL (5 Seasons),1. HNL (5 Seasons),,,,85,74,6934,77.0,1,5,6,1,0,0,15,0,,,,,,,,0.01,0.08,0.10,0.01,0.10,,,,,,
Ivan Smolčić,Como,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,10,7,651,7.2,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.6,3,24,9,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,
