Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jacobo Ramón,Como,2023-2024,18,Real Madrid,es ESP,1. La Liga,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jacobo Ramón,Como,2024-2025,19,Real Madrid,es ESP,1. La Liga,2nd,3,2,204,2.3,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,0,1,2,0.44,0.00,0.44,0.44,0.44,0.07,0.09,0.16,0.07,0.16,Matches
Jacobo Ramón,Como,2025-2026,20,Como,it ITA,1. Serie A,4th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,2,3,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.20,0.12,0.20,Matches
Jacobo Ramón,Como,3 Seasons,3 Seasons,2 Clubs,,2 Leagues,,4,3,294,3.3,1,0,1,1,0,0,1,0,0.3,0.3,0.3,0.6,1,3,5,0.31,0.00,0.31,0.31,0.31,0.09,0.09,0.17,0.09,0.17,
Jacobo Ramón,Como,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jacobo Ramón,Como,Real Madrid (2 Seasons),Real Madrid (2 Seasons),Real Madrid (2 Seasons),,1 League,,3,2,204,2.3,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,0,1,2,0.44,0.00,0.44,0.44,0.44,0.07,0.09,0.16,0.07,0.16,
Jacobo Ramón,Como,Como (1 Season),Como (1 Season),Como (1 Season),,1 League,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,2,3,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.20,0.12,0.20,
Jacobo Ramón,Como,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacobo Ramón,Como,La Liga (2 Seasons),La Liga (2 Seasons),La Liga (2 Seasons),,,,3,2,204,2.3,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,0,1,2,0.44,0.00,0.44,0.44,0.44,0.07,0.09,0.16,0.07,0.16,
Jacobo Ramón,Como,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,2,3,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.20,0.12,0.20,
