Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lucas Da Cunha,Como,2019-2020,18,Rennes,fr FRA,1. Ligue 1,3rd,2,1,72,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,3,3,0.00,0.00,0.00,0.00,0.00,0.08,0.16,0.24,0.08,0.24,Matches
Lucas Da Cunha,Como,2020-2021,19,Lausanne-Sport,ch SUI,1. Super Lg,6th,27,12,1115,12.4,6,1,7,6,0,0,0,0,,,,,,,,0.48,0.08,0.57,0.48,0.57,,,,,,Matches
Lucas Da Cunha,Como,2021-2022,20,Nice,fr FRA,1. Ligue 1,5th,10,5,393,4.4,0,1,1,0,0,0,0,0,0.8,0.8,1.3,2.1,15,11,18,0.00,0.23,0.23,0.00,0.23,0.19,0.29,0.48,0.19,0.48,Matches
Lucas Da Cunha,Como,2021-2022,20,Clermont Foot,fr FRA,1. Ligue 1,17th,15,11,836,9.3,2,0,2,2,0,0,0,0,1.7,1.7,0.8,2.4,25,30,58,0.22,0.00,0.22,0.22,0.22,0.18,0.08,0.26,0.18,0.26,Matches
Lucas Da Cunha,Como,2022-2023,21,Como,it ITA,2. Serie B,13th,14,8,693,7.7,2,2,4,2,0,0,1,0,1.0,1.0,1.6,2.5,9,33,38,0.26,0.26,0.52,0.26,0.52,0.13,0.20,0.33,0.13,0.33,Matches
Lucas Da Cunha,Como,2023-2024,22,Como,it ITA,2. Serie B,2nd,35,32,2605,28.9,7,6,13,7,0,0,7,0,3.4,3.4,3.9,7.3,75,144,181,0.24,0.21,0.45,0.24,0.45,0.12,0.14,0.25,0.12,0.25,Matches
Lucas Da Cunha,Como,2024-2025,23,Como,it ITA,1. Serie A,10th,36,30,2613,29.0,3,2,5,3,0,0,4,0,2.0,2.0,3.8,5.8,63,154,85,0.10,0.07,0.17,0.10,0.17,0.07,0.13,0.20,0.07,0.20,Matches
Lucas Da Cunha,Como,2025-2026,24,Como,it ITA,1. Serie A,4th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,3,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.24,0.30,0.06,0.30,Matches
Lucas Da Cunha,Como,7 Seasons,7 Seasons,5 Clubs,,4 Leagues,,140,100,8417,93.5,20,12,32,20,0,0,12,0,9.0,9.0,11.7,20.7,190,378,384,0.21,0.13,0.34,0.21,0.34,0.11,0.14,0.26,0.11,0.26,
Lucas Da Cunha,Como,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lucas Da Cunha,Como,Como (4 Seasons),Como (4 Seasons),Como (4 Seasons),,2 Leagues,,86,71,6001,66.7,12,10,22,12,0,0,12,0,6.5,6.5,9.5,16.0,150,334,305,0.18,0.15,0.33,0.18,0.33,0.10,0.14,0.24,0.10,0.24,
Lucas Da Cunha,Como,Lausanne-Sport (1 Season),Lausanne-Sport (1 Season),Lausanne-Sport (1 Season),,1 League,,27,12,1115,12.4,6,1,7,6,0,0,0,0,,,,,,,,0.48,0.08,0.57,0.48,0.57,,,,,,
Lucas Da Cunha,Como,Clermont Foot (1 Season),Clermont Foot (1 Season),Clermont Foot (1 Season),,1 League,,15,11,836,9.3,2,0,2,2,0,0,0,0,1.7,1.7,0.8,2.4,25,30,58,0.22,0.00,0.22,0.22,0.22,0.18,0.08,0.26,0.18,0.26,
Lucas Da Cunha,Como,Nice (1 Season),Nice (1 Season),Nice (1 Season),,1 League,,10,5,393,4.4,0,1,1,0,0,0,0,0,0.8,0.8,1.3,2.1,15,11,18,0.00,0.23,0.23,0.00,0.23,0.19,0.29,0.48,0.19,0.48,
