Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marc-Oliver Kempf,Como,2012-2013,17,Eint Frankfurt,de GER,1. Bundesliga,6th,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Marc-Oliver Kempf,Como,2013-2014,18,Eint Frankfurt,de GER,1. Bundesliga,13th,3,1,166,1.8,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Marc-Oliver Kempf,Como,2014-2015,19,Freiburg,de GER,1. Bundesliga,17th,13,10,919,10.2,2,0,2,2,0,0,3,0,,,,,,,,0.20,0.00,0.20,0.20,0.20,,,,,,Matches
Marc-Oliver Kempf,Como,2015-2016,20,Freiburg,de GER,2. 2. Bundesliga,1st,30,29,2620,29.1,5,3,8,5,0,0,3,0,,,,,,,,0.17,0.10,0.27,0.17,0.27,,,,,,Matches
Marc-Oliver Kempf,Como,2016-2017,21,Freiburg,de GER,1. Bundesliga,7th,13,12,1147,12.7,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Marc-Oliver Kempf,Como,2017-2018,22,Freiburg,de GER,1. Bundesliga,15th,12,11,901,10.0,0,1,1,0,0,0,1,0,0.5,0.5,1.0,1.4,4,35,2,0.00,0.10,0.10,0.00,0.10,0.05,0.10,0.14,0.05,0.14,Matches
Marc-Oliver Kempf,Como,2018-2019,23,Stuttgart,de GER,1. Bundesliga,16th,23,23,2025,22.5,2,0,2,2,0,0,3,0,1.7,1.7,0.3,2.0,20,99,4,0.09,0.00,0.09,0.09,0.09,0.07,0.02,0.09,0.07,0.09,Matches
Marc-Oliver Kempf,Como,2019-2020,24,Stuttgart,de GER,2. 2. Bundesliga,2nd,21,19,1577,17.5,2,2,4,2,0,0,2,1,,,,,,,,0.11,0.11,0.23,0.11,0.23,,,,,,Matches
Marc-Oliver Kempf,Como,2020-2021,25,Stuttgart,de GER,1. Bundesliga,9th,32,32,2727,30.3,2,1,3,2,0,0,5,0,1.1,1.1,0.5,1.6,51,199,13,0.07,0.03,0.10,0.07,0.10,0.04,0.02,0.05,0.04,0.05,Matches
